Age_At_Death,Total_Deaths,Nbr_Male_Deaths,Nbr_Female_Deaths
0,27937.0,15646.0,12291.0
1,1989.0,1103.0,886.0
2,1376.0,797.0,579.0
3,1046.0,601.0,445.0
4,838.0,474.0,364.0
5,763.0,446.0,317.0
6,696.0,384.0,312.0
7,683.0,386.0,297.0
8,692.0,389.0,303.0
9,640.0,359.0,281.0
10,687.0,394.0,293.0
11,711.0,415.0,296.0
12,717.0,414.0,303.0
13,847.0,551.0,296.0
14,1159.0,754.0,405.0
15,1509.0,997.0,512.0
16,2354.0,1570.0,784.0
17,2904.0,2012.0,892.0
18,3404.0,2500.0,904.0
19,3607.0,2701.0,906.0
20,3501.0,2616.0,885.0
21,3538.0,2678.0,860.0
22,3373.0,2541.0,832.0
23,3288.0,2461.0,827.0
24,3178.0,2338.0,840.0
25,3137.0,2253.0,884.0
26,3277.0,2368.0,909.0
27,3549.0,2512.0,1037.0
28,3762.0,2642.0,1120.0
29,3978.0,2767.0,1211.0
30,4005.0,2710.0,1295.0
31,4184.0,2828.0,1356.0
32,4599.0,3113.0,1486.0
33,4965.0,3331.0,1634.0
34,5610.0,3752.0,1858.0
35,6275.0,4165.0,2110.0
36,6667.0,4288.0,2379.0
37,7306.0,4714.0,2592.0
38,8041.0,5113.0,2928.0
39,8515.0,5401.0,3114.0
40,9036.0,5780.0,3256.0
41,9807.0,6270.0,3537.0
42,10473.0,6646.0,3827.0
43,11212.0,7183.0,4029.0
44,11924.0,7558.0,4366.0
45,12407.0,7839.0,4568.0
46,13106.0,8392.0,4714.0
47,13550.0,8645.0,4905.0
48,14039.0,8930.0,5109.0
49,15018.0,9497.0,5521.0
50,15633.0,9775.0,5858.0
51,16870.0,10470.0,6400.0
52,18686.0,11509.0,7177.0
53,16198.0,9885.0,6313.0
54,17467.0,10717.0,6750.0
55,19151.0,11728.0,7423.0
56,21335.0,12919.0,8416.0
57,20641.0,12509.0,8132.0
58,21328.0,12865.0,8463.0
59,22429.0,13420.0,9009.0
60,23520.0,14016.0,9504.0
61,25087.0,14881.0,10206.0
62,26240.0,15506.0,10734.0
63,28216.0,16626.0,11590.0
64,31032.0,18254.0,12778.0
65,31942.0,18538.0,13404.0
66,34234.0,19743.0,14491.0
67,36624.0,21115.0,15509.0
68,40061.0,23073.0,16988.0
69,43834.0,25060.0,18774.0
70,45803.0,25849.0,19954.0
71,49997.0,28204.0,21793.0
72,53562.0,29893.0,23669.0
73,56456.0,31073.0,25383.0
74,60087.0,32372.0,27715.0
75,62824.0,33584.0,29240.0
76,64443.0,33944.0,30499.0
77,68654.0,35701.0,32953.0
78,70776.0,36020.0,34756.0
79,71652.0,35604.0,36048.0
80,70344.0,33930.0,36414.0
81,72038.0,34429.0,37609.0
82,72361.0,33404.0,38957.0
83,72459.0,32623.0,39836.0
84,73039.0,31731.0,41308.0
85,72299.0,30524.0,41775.0
86,70110.0,27775.0,42335.0
87,66398.0,25418.0,40980.0
88,63168.0,22655.0,40513.0
89,58928.0,20159.0,38769.0
90,53410.0,17257.0,36153.0
91,49652.0,15012.0,34640.0
92,43121.0,12385.0,30736.0
93,36454.0,9988.0,26466.0
94,31354.0,7869.0,23485.0
95,25851.0,6219.0,19632.0
96,20738.0,4639.0,16099.0
97,15821.0,3281.0,12540.0
98,12093.0,2270.0,9823.0
99,8831.0,1702.0,7129.0
100,6025.0,1031.0,4994.0
101,4278.0,688.0,3590.0
102,2831.0,430.0,2401.0
103,1808.0,301.0,1507.0
104,1209.0,154.0,1055.0
105,750.0,90.0,660.0
106,431.0,58.0,373.0
107,263.0,31.0,232.0
108,136.0,23.0,113.0
109,84.0,14.0,70.0
110,40.0,9.0,31.0
111,21.0,1.0,20.0
112,12.0,2.0,10.0
113,9.0,2.0,7.0
114,6.0,,6.0
115,3.0,,3.0
116,,,
117,3.0,2.0,1.0
118,1.0,,1.0
119,2.0,,2.0
120,1.0,,1.0
121,,,
122,,,
123,,,
124,,,
