company,fragrance,strength,size,score,category,season,time
Aaron Terence Hughes,Addicted+,EDP,30,4.54,Gourmand,Cool,Night
Aaron Terence Hughes,Boss Bastard,EDP,5,3.95,Creamy Resinous Woods,Cool,Day/Night
Aaron Terence Hughes,Carbon,EDP,10,4.23,Floral,Warm/Cool,Day/Night
Aaron Terence Hughes,Daddy,EDP,10,4.42,Vanilla Gourmand,Warm/Cool,Day/Night
Aaron Terence Hughes,Fever,EDP,5,5,Floral,Warm/Cool,Day/Night
Aaron Terence Hughes,Forbidden,EDP,10,4.41,Gourmand,Cool,Day/Night
Aaron Terence Hughes,Ging Sling,EDP,5,4.52,Fresh Citrus,Warm,Day/Night
Aaron Terence Hughes,Guapo Extreme,EDP,10,4.07,Creamy Resinous Woods,Cool,Day/Night
Aaron Terence Hughes,Hard Candy Elixir,Elixir,5,4.67,Vanilla Gourmand,Cool,Day/Night
Aaron Terence Hughes,Homme,EDP,10,4.45,Floral,Cool,Day/Night
Aaron Terence Hughes,Maverick,EDP,10,4.42,Spicy,Cool,Day/Night
Aaron Terence Hughes,Notorious,EDP,10,4.46,Vanilla Gourmand,Warm/Cool,Day/Night
Aaron Terence Hughes,Onyx extreme,EDP,10,,Floral,Cool,Night
Aaron Terence Hughes,Ozone,EDP,10,4.4,Fresh Citrus,Warm,Day
Aaron Terence Hughes,Raw Cherry,EDP,10,4.05,Gourmand,Cool,Day/Night
Aaron Terence Hughes,Raw Cherry Extreme,EDP,5,4.32,Gourmand,Cool,Day/Night
Aaron Terence Hughes,Slut Elixir,EDP,10,4.43,Fruity,Warm/Cool,Day/Night
Aaron Terence Hughes,Supernova,EDP,5,4.38,Fruity,Warm/Cool,Day
Aaron Terence Hughes,Supersonic,EDP,5,4.38,Fruity,Warm/Cool,Day
Aaron Terence Hughes,Tabac Extreme,EDP,5,4.33,Tobacco,Cool,Day/Night
Acqua di Parma,Arancia di Capri Acqua di Parma,EDP,5,4.15,Fresh Citrus,Warm,Day
Acqua di Parma,Colonia Futura,EDC,5,3.85,Fresh Citrus,Warm/Cool,Day
Acqua di Parma,Blu Mediterraneo Arancia di Capri,EDP,5,4.14,Fresh Citrus,Warm,Day
Acqua di Parma,Blu Mediterraneo Fico Di Amalfi,EDT,5,4.33,Fruity,Warm,Day
Acqua di Parma,Essenza,EDC,5,4.34,Fresh Citrus,Warm/Cool,Day
Afnan,Afnan 9 PM,EDP,100,4.44,Vanilla Gourmand,Cool,Day/Night
Akro,Smile Akro,EDP,100,3.64,Fruity,Warm,Day
ALT. Fragrances,Atlantic Breeze,EDP,120,4.47,Fruity,Cool,Day
ALT. Fragrances,Daytime Drift,EDP,60,4.39,Fresh Citrus,Warm/Cool,Day
ALT. Fragrances,Immense,EDP,60,4.36,Spicy,Warm,Day/Night
ALT. Fragrances,Nomadic Shadow,EDP,60,4.3,Ambery/Resinous,Cool,Night
Amouage,Decision,EDP,5,4.14,Spicy,Warm/Cool,Day/Night
Amouage,Enclave,EDP,5,4.16,Fougere,,
Amouage,Interlude Black Iris,EDP,5,4.21,Creamy Resinous Woods,Cool,Day/Night
Amouage,Jubilation 40,EDP,5,4.44,Creamy Resinous Woods,Cool,Day/Night
Amouage,Memoir Man,EDP,5,4.27,Leather,Cool,Day/Night
Argos,Adonis Awakens,EDP,5,4.25,Floral,Warm/Cool,Day/Night
Argos,Bacio Immortale,EDP,5,4.07,Creamy Resinous Woods,Warm/Cool,Day/Night
Argos,Danae,EDP,5,4.29,Creamy Resinous Woods,Cool,Day/Night
Argos,Fall of Phaeton,EDP,5,4.5,Fresh Citrus,Warm/Cool,Day/Night
Argos,Midas Touch,EDP,5,,Leather,Cool,Night
Argos,Sacred Flame,EDP,5,4.25,Floral,Cool,Day/Night
Argos,Triumph Of Bacchus,EDP,5,4.41,Tobacco,Cool,Day/Night
Armaf,Club de Nuit Intense Man Parfum,Parfum,100,4.34,Fruity,Warm/Cool,Day/Night
Armani,Armani code,EDP,1,4.38,Dry Aromatic Woods,Warm,Day/Night
Armani,Stronger With You Leather,EDP,100,4.54,Leather,Cool,Night
Atelier des Ors,Riviera Drive,EDP,5,3.99,Fresh Citrus,Warm,Day
Atelier des Ors,Rouge Saray,EDP,5,4.1,Ambery/Resinous,Cool,Day/Night
Atelier des Ors,Lune Feline Extrait,EDP,5,4.22,Spicy,Cool,Day/Night
Azzaro,Forever Wanted Absolu,Parfum,5,4.42,Ambery/Resinous,Cool,Day/Night
Azzaro,Forever Wanted,Elixir,100,4.33,Leather,Cool,Night
Azzaro,Forever Wanted,Elixir,5,4.33,Leather,Cool,Night
Azzaro,The Most Wanted,EDP,100,4.57,Spicy,Cool,Night
Azzaro,The Most Wanted Parfum,EDP,100,4.61,Spicy,Cool,Night
BDK,Tabac Rose,EDP,5,4.05,Spicy,Cool,Day/Night
BDK,Gris Charnel Extrait,EDP,5,4.38,Creamy Resinous Woods,Cool,Day/Night
Bharara,King,EDP,5,4.36,Fresh Citrus,Warm/Cool,Day/Night
Bond No. 9,The Scent Of Peace for Him,EDP,5,4.14,Dry Aromatic Woods,Warm/Cool,Day/Night
Bond No. 9,Bleecker Street,EDP,5,4.2,Creamy Resinous Woods,Warm/Cool,Day/Night
Bond No. 9,Lafayette Street,EDP,5,4.38,Fougere,Warm/Cool,Day/Night
Bond No. 9,New York Nights,EDP,5,4.29,Gourmand,Cool,Day/Night
Boss,Absolu,Elixir,100,4.46,Ambery/Resinous,Cool,Night
Bvlgari,Man in Black,EDP,5,4.33,Floral,Cool,Day/Night
By Kilian,Intoxicated,EDP,5,4.11,Spicy,Cool,Day/Night
By Kilian,Bamboo Harmony,EDP,5,3.88,Fresh Citrus,Warm/Cool,Day
By Kilian,Black Phantom,EDP,5,4.08,Vanilla Gourmand,Cool,Night
By Kilian,Gold Knight,EDP,5,4.21,Spicy,Cool,Night
By Kilian,Old Fashioned,EDP,5,4.01,Dry Aromatic Woods,Cool,Day/Night
By Kilian,Smoking Hot,EDP,5,4.35,Tobacco,Cool,Day/Night
By Kilian,Angels' Share,EDP,5,4.37,Spicy,Cool,Day/Night
By Kilian,Angels' Share Paradis,EDP,5,4.32,Floral,Cool,Day/Night
By Kilian,Back to Black,EDP,5,4.02,Dry Aromatic Woods,Cool,Day/Night
Byredo,Black Saffron,EDP,5,3.93,Spicy,Warm/Cool,Day/Night
Byredo,Bal D'Afrique,EDP,5,4.15,Floral,Warm/Cool,Day/Night
Byredo,Mojave Ghost,EDP,5,3.95,Floral,Warm/Cool,Day
Carolina Herrera,212 VIP Black NYC,Elixir,100,4.1,Fougere,Cool,Night
Carolina Herrera,212 VIP Black NYC,Elixir,5,4.1,Fougere,Cool,Night
Carolina Herrera,Bad Boy Cobalt Parfum Electrique,EDP,100,4.32,Dry Aromatic Woods,Warm,Day/Night
Carolina Herrera,Bad Boy Cobalt Parfum Electrique,EDP,5,4.32,Dry Aromatic Woods,Warm,Day/Night
Carolina Herrera,Bad Boy Elixir,Elixir,100,3.98,Dry Aromatic Woods,Cool,Day/Night
Carolina Herrera,Bad Boy Elixir,Elixir,8,3.98,Dry Aromatic Woods,Cool,Day/Night
Carolina Herrera,Bad Boy Extreme,EDP,100,4.18,Leather,Cool,Night
Carolina Herrera,Bad Boy Extreme,EDP,5,4.18,Leather,Cool,Night
Carolina Herrera,CH Prive,EDT,5,4.3,Leather,Cool,Day/Night
Cartier,Declaration,EDT,5,4.04,Spicy,Warm/Cool,Day/Night
Cartier,Pasha De Cartier,EDT,5,4.13,Dry Aromatic Woods,Warm/Cool,Day/Night
Chanel,Allure Homme Sports,EDT,5,4.26,Aquatic,Warm,Day
Chanel,Bleu de Chanel,EDP,5,4.42,Dry Aromatic Woods,Warm/Cool,Day/Night
Chanel,Homme Sport Eau Extreme,EDP,5,4.34,Creamy Resinous Woods,Warm/Cool,Day/Night
Clive Christian,1872 Men,Parfum,5,4.3,Fresh Citrus,Warm,Day/Night
Clive Christian,X Masculine,EDP,5,4.36,Fougere,Cool,Day/Night
Comme des Garcon,Comme des Garcons 2,EDP,8,4.18,Floral,Warm/Cool,Day/Night
Creed,Aventus,EDP,5,4.33,Fresh Citrus,Warm/Cool,Day/Night
Creed,Original Santal,EDP,5,4.05,Creamy Resinous Woods,Warm/Cool,Day/Night
Creed,Virgin Island Water,EDP,5,4.31,Fresh Citrus,Warm,Day
d'Annam,Japanese Whiskey,EDP,5,4.17,Creamy Resinous Woods,Cool,Day/Night
d'Annam,Tokyo Nights,EDP,5,4.15,Ambery/Resinous,Cool,Night
d'Annam,Vietnamese Coffee,EDP,5,4.05,Gourmand,Cool,Day/Night
Dior,Fahrenheit Parfum,Parfum,5,4.29,Spicy,Cool,Night
Dior,Homme 2020,EDT,5,4.2,Dry Aromatic Woods,Warm/Cool,Day/Night
Dior,Tobacolor,EDP,5,4.18,Tobacco,Cool,Day/Night
Dior,Homme Sport,EDP,5,4.36,Creamy Resinous Woods,Warm/Cool,Day/Night
Dior,Sauvage EDT,EDT,200,3.87,Fougere,Warm/Cool,Day/Night
Dior,Sauvage Elixir,Elixir,5,4.32,Fougere,Warm,Night
Diptyque,L'Eau de Neroli,EDT,5,3.99,Fresh Citrus,Cool,Day
Diptyque,Philosykos,EDP,5,4.16,Aromatic green,Cool,Day/Night
Dolce & Gabbana,The One,EDT,5,4.49,Ambery/Resinous,Cool,Night
Dumont,Nitro Red Intensely,EDP,100,4.86,Spicy,Warm,Day/Night
Electimuss,Imperium,EDP,5,4.29,Ambery/Resinous,Warm/Cool,Day/Night
Electimuss,Trajan,EDP,5,4.23,Fruity,Warm/Cool,Day/Night
Electimuss,Black Caviar,EDP,5,3.95,Floral,Cool,Day/Night
Etat Libre d'Orange,You or Someone Like You,EDP,5,4.07,Fresh Citrus,Warm,Day
Ex Nihilo,Blue Talisman,EDP,5,4.16,Fruity,Warm/Cool,Day/Night
Fragrance Du Bois,London Spice,EDP,5,3.87,Spicy,Warm/Cool,Day/Night
Fragrance Du Bois,Lucius,Parfum,5,4.09,Ambery/Resinous,Warm/Cool,Day/Night
Frapin,L`Humaniste,EDP,5,4.22,Fresh Citrus,Warm/Cool,Day
Frederic Malle,Monsieur,EDT,5,4.05,Gourmand,Cool,Day/Night
Giardini Di Toscana,Bianco Latte,EDP,5,4.11,Vanilla Gourmand,Cool,Day/Night
Giorgio Armani,The Yulong,EDT,5,4.25,Aromatic Green,Cool,Day
Giorgio Armani,Acqua di Gio Profondo,EDP,5,4.35,Aquatic,Warm/Cool,Day
Giorgio Armani,Acqua di Gio Profumo,Parfum,5,4.41,Aquatic,Warm/Cool,Day/Night
Giorgio Armani,Stronger With You Leather,EDP,100,4.54,Leather,Cool,Night
Giorgio Armani,Stronger With You Leather,EDP,5,4.54,Leather,Cool,Night
Giorgio Armani,Acqua di Gio Profumo,EDP,125,4.41,Aquatic,Warm/Cool,Day/Night
Giorgio Armani,The Yulong,EDP,5,4.25,Aromatic Green,Cool,Day/Night
Giorgio Armani,Bois d'Encens,EDP,5,4.3,Dry Aromatic Woods,Cool,Day/Night
Givenchy,Gentleman,EDP,5,4.29,Ambery/Resinous,Cool,Night
Givenchy,Gentleman Reserve Privee,EDP,5,4.44,Ambery/Resinous,Cool,Night
Givenchy,Gentleman Society,EDP,5,4.17,Spicy,Cool,Night
Goldfield & Banks,Bohemian Lime,EDP,5,4.1,Fresh Citrus,Warm,Day
Guerlain,Feve Gourmande,EDP,5,4.32,Vanilla Gourmand,Cool,Day/Night
Guerlain,L'Homme Ideal,EDP,5,4.43,Creamy Resinous Woods,Warm/Cool,Day/Night
Guerlain,Peche Mirage,EDP,5,3.89,Floral,Warm/Cool,Day/Night
Guerlain,Spiritueuse Double Vanille,EDP,5,4.4,Vanilla Gourmand,Cool,Day/Night
Guerlain,Tobacco Honey,EDP,5,4.18,Tobacco,Cool,Night
Guerlain,Vetiver,Parfum,5,4.1,Fougere,Warm/Cool,Day/Night
Halloween,Man X,EDT,5,4.23,Fougere,Cool,Day/Night
Hermes,Concentre D'Orange Verte,EDT,5,4.32,Fresh Citrus,Cool,Day
Houbigant,Ambre des Abysses,EDP,5,4.39,Floral,Warm/Cool,Day/Night
House of Dastan,Five Senses,EDP,5,3.91,Ambery/Resinous,Warm/Cool,Day/Night
House of Dastan,Unseen,EDP,5,4.24,Ambery/Resinous,Warm/Cool,Day/Night
House of Dastan,Game of Joy,EDP,5,4.27,Fruity,Warm,Day
House of Dastan,12 Faces,EDP,5,,Creamy Resinous Woods,,
Initio,Side Effect,EDP,5,4.35,Tobacco,Cool,Day/Night
Issey Miyake,L'eau D'issey Pour Homme Intense,EDT,5,4.12,Aquatic,Warm/Cool,Day/Night
Issey Miyake,LEau dIssey Pour Homme Vetiver,EDT,5,4.16,Aquatic,Warm,Day
Intelligent,H20,EDP,5,4.64,Aquatic,Warm/Cool,Day/Night
Intelligent,Neon,EDP,5,4.3,Creamy Resinous Woods,Warm,Day
Intelligent,Iron,EDP,5,4.64,Fougere,Warm/Cool,Day/Night
Intelligent,Gold,EDP,5,4.43,Ambery/Resinous,Warm/Cool,Day/Night
Jean Paul Gaultier,Le Beau Le Parfum,EDP,125,4.54,Fougere,Cool,Day/Night
Jean Paul Gaultier,Le Male Elixir,Elixir,125,4.54,Fougere,Cool,Day/Night
Jean Paul Gaultier,Le Male Elixir,Elixir,3,4.54,Fougere,Cool,Day/Night
Jean Paul Gaultier,Le Male Le Parfum,EDP,125,4.6,Ambery/Resinous,Cool,Day/Night
Jean Paul Gaultier,Scandal Pour Homme Absolu,EDP,150,4.49,Spicy,Cool,Night
Jean Paul Gaultier,Scandal Pour Homme Absolu,EDP,10,4.49,Spicy,Cool,Night
Jean Paul Gaultier,Le Beau,EDT,5,4.32,Fruity,Cool,Day/Night
Jean Paul Gaultier,Le Beau Le Parfum,EDP,5,4.54,Fruity,Cool,Day/Night
Jean Paul Gaultier,Le Beau Flower Edition,EDP,5,4.06,Floral,Warm,Day
Jo Malone,Scarlet Poppy,Cologne,9,4.24,Floral,Cool,Day/Night
Jo Malone,Myrrh & Tonka,Cologne,100,4.21,Ambery/Resinous,Cool,Day/Night
Jo Malone,Myrrh & Tonka,Cologne,5,4.21,Ambery/Resinous,Cool,Day/Night
Jo Malone,Myrrh & Tonka,Cologne,9,4.21,Ambery/Resinous,Cool,Day/Night
Jo Malone,Red Hibiscus,Cologne,9,4.03,Floral,Warm/Cool,Day/Night
Jo Malone,English Pear and Freesia,Cologne,9,3.83,Floral,Warm/Cool,Day
Jo Malone,Wood Sage & Sea Salt,Cologne,5,4.07,Aquatic,Cool,Day
Jousset Parfums,Accident A La Vanille,EDP,5,4.05,Vanilla Gourmand,Cool,Day/Night
Jusbox,Fifty Four,EDP,5,4.12,Tobacco,Cool,Day/Night
Kenzo,Kenzo Homme,EDP,5,4.28,Aquatic,Warm/Cool,Day/Night
Kilian,Apple Brandy,EDP,5,4.12,Fruity,Cool,Day/Night
