timestamp,activity,category,size,season,time,mode,suggestions
2026-07-10T12:04:35,Gym,Any,5,Any,Any,claude,Aaron Terence Hughes - Ging Sling; Acqua di Parma - Colonia Futura; Aaron Terence Hughes - Supersonic
2026-07-10T12:07:45,Gym,Any,5,Any,Any,claude,Aaron Terence Hughes - Ging Sling; Aaron Terence Hughes - Supernova; Acqua di Parma - Colonia Futura
2026-07-10T12:13:30,Gym,Any,5,Any,Any,claude,Jo Malone - Wood Sage & Sea Salt; Louis Vuitton - Afternoon Swim; Acqua di Parma - Blu Mediterraneo Fico Di Amalfi
2026-07-10T12:14:07,Gym,Any,5,Any,Any,claude,Issey Miyake - LEau dIssey Pour Homme Vetiver; Xerjoff - 40 Knots; Chanel - Allure Homme Sports
2026-07-10T12:14:14,Gym,Any,5,Any,Any,claude,Issey Miyake - LEau dIssey Pour Homme Vetiver; Louis Vuitton - Orage; Le Labo - The Matcha 26
2026-07-10T12:15:13,Gym,Any,5,Any,Any,claude,Etat Libre d'Orange - You or Someone Like You; Giorgio Armani - Thé Yulong; Intelligent - H20
2026-07-14T12:11:26,Gym,Floral,5,Any,Any,claude,Electimuss - Black Caviar; Jean Paul Gaultier - Le Beau Flower Edition; Byredo - Bal D'Afrique
2026-07-16T09:02:45,Gym,Fougere,5,Any,Any,claude,Xerjoff - Casamorati 1888 Mefisto Gentiluomo; Intelligent - Iron; Roja - Elysium Pour Homme
2026-07-17T09:07:34,Gym,Spicy,5,Any,Any,claude,Fragrance Du Bois - London Spice; M. Micallef - GNTONIC; Cartier - Declaration
2026-07-18T14:25:24,Gym,Fresh Citrus,5,Any,Any,claude,Louis Vuitton - Afternoon Swim; Hermès - Concentre D'Orange Verte; Louis Vuitton - Cactus Garden
2026-07-20T09:07:43,Gym,Any,5,Any,Any,claude,Xerjoff - Torino21; Aaron Terence Hughes - Supernova; Mes Bisous - Out of Reach
2026-07-21T11:35:02,Gym,Any,5,Any,Any,claude,Xerjoff - 40 Knots; Loumari - Aomak; Spirit Of Dubai - Bahar
