Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Address,City,State,ZIP,Geo Code,Census Tract,SPA,SD,CD,SSD,AD,Inventory Type,TH Unit Type,Bed Type,Target Pop. A,Target Pop. B,Youth Program,Veteran Program,HMIS,McKinney- Vento,LAHSA Funded,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Utilization Rate
251047,045-001002,2016,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 2,,,CA,,,,SPA 6,SD 2,CD10,SSD 24,AD 53,C,,Facility-based beds,SFHC,DV,0,0,Non-HMIS,No,No,0.0,0.0,1,0.0,0.0,0.0,,0.0,0.0,,,1,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,1.0,1,1.0
251049,045-001022,2016,ES,1736 Family Crisis Center,Emergency Youth Shelter,1736 Monterey Blvd.,Hermosa Beach,CA,90254.0,69037.0,621004.0,SPA 8,SD 4,NA ,SSD 26,AD 66,C,,Facility-based beds,YMF,,1,0,Non-HMIS,Yes,Yes,0.0,0.0,0,6.0,0.0,0.0,,0.0,0.0,,,6,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,3.0,6,0.5
253623,045-001023,2016,ES,1736 Family Crisis Center,RHY Basic Center,1736 Monterey Blvd.,Hermosa Beach,CA,90254.0,69037.0,621004.0,SPA 8,SD 4,NA ,SSD 26,AD 66,C,,Facility-based beds,SMF,,1,0,HMIS,Yes,Yes,0.0,0.0,6,0.0,0.0,0.0,,0.0,6.0,,,6,0.0,6.0,0.0,,1.0,,0.0,0.0,,,0.0,0.0,3.0,6,0.5
251088,045-001021,2016,ES,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,,,CA,,,,SPA 6,SD 2,CD10,SSD 24,AD 53,C,,Facility-based beds,SFHC,DV,0,0,Non-HMIS,Yes,Yes,8.0,2.0,4,0.0,0.0,0.0,,0.0,0.0,,,12,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,7.0,12,0.58
251048,045-001003,2016,TH,1736 Family Crisis Center,South Bay 1 Domestic Violence Transitional Shelter,,,CA,,,,SPA 6,SD 2,CD10,SSD 24,AD 53,C,Single,,SFHC,DV,0,0,Non-HMIS,No,No,12.0,3.0,0,0.0,0.0,0.0,,0.0,0.0,,,12,0.0,0.0,0.0,,,,,,,,,,8.0,12,0.67
251293,045-001020,2016,RRH,1736 Family Crisis Center,SSVF - RRH,"2116 Arlington Ave., Suite 200",Los Angeles,CA,90018.0,62118.0,221402.0,SPA 6,SD 2,CD10,SSD 24,AD 53,C,,,SMF+HC,,0,1,HMIS,Yes,Yes,0.0,0.0,9,0.0,0.0,0.0,,9.0,0.0,,,9,0.0,9.0,0.0,,1.0,,,,,,,,9.0,9,1.0
251050,045-001012,2016,TH,1736 Family Crisis Center,Transitional Program-LA 1,,,CA,,,,SPA 6,SD 2,CD10,SSD 24,AD 53,C,Multiple,,SMHC,DV,0,0,Non-HMIS,Yes,Yes,20.0,4.0,0,0.0,0.0,0.0,,0.0,0.0,,,20,,,0.0,,,,,,,,,,20.0,20,1.0
251171,045-001014,2016,TH,1736 Family Crisis Center,Transitional Program-LA 2,,,CA,,,,SPA 6,SD 2,CD10,SSD 24,AD 53,C,Multiple,,SFHC,DV,0,0,Non-HMIS,No,No,18.0,4.0,1,0.0,0.0,0.0,,0.0,0.0,,,19,0.0,0.0,0.0,,,,,,,,,,11.0,19,0.58
251053,011-001100,2016,PSH,A Community of Friends,39 West Apartments,3885 S. Western Ave.,Los Angeles,CA,90062.0,62118.0,231400.0,SPA 6,SD 2,CD8,SSD 30,AD 54,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,33,0.0,33.0,0.0,,1.0,,,,,,,,29.0,33,0.88
251195,011-001101,2016,PSH,A Community of Friends,Amistad,2037 N. Lincoln Park Ave.,Los Angeles,CA,90031.0,62118.0,199120.0,SPA 4,SD 1,CD1,SSD 24,AD 51,C,,,HC,,0,0,HMIS,Yes,Yes,83.0,21.0,2,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,85,83.0,2.0,0.0,1.0,1.0,,,,,,,,21.0,85,0.25
251384,011-001141,2016,PSH,A Community of Friends,Arlington Square,1553 S Arlington Ave,Los Angeles,CA,90019.0,62118.0,218120.0,SPA 4,SD 2,CD10,SSD 30,AD 54,U,,,SMF+HC,,0,1,Non-HMIS,No,No,46.0,23.0,24,0.0,0.0,0.0,46.0,16.0,0.0,24.0,0.0,70,,,,,,,,,,,,,,70,
251348,011-001138,2016,PSH,A Community of Friends,Avalon Apartments,13218 Avalon Boulevard,Los Angeles,CA,90061.0,62118.0,540800.0,SPA 6,SD 2,NA ,SSD 35,AD 64,N,,,SMF+HC,,0,0,HMIS,Yes,Yes,122.0,27.0,44,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,166,122.0,44.0,0.0,1.0,1.0,,,,,,,,114.0,166,0.69
251390,011-001139,2016,PSH,A Community of Friends,Beverly Terrace Apartments,3330 W Beverly Blvd,Los Angeles,CA,90004.0,62118.0,211121.0,SPA 4,SD 2,CD13,SSD 24,AD 53,U,,,SMF+HC,,0,0,Non-HMIS,No,No,102.0,39.0,0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,102,,,,,,,,,,,,,,102,
251099,011-001102,2016,PSH,A Community of Friends,Brandon Apartments,733 Hartford Ave.,Los Angeles,CA,90017.0,62118.0,209300.0,SPA 4,SD 1,CD1,SSD 24,AD 53,C,,,HC,,0,0,HMIS,Yes,Yes,76.0,27.0,4,0.0,0.0,0.0,21.0,0.0,0.0,4.0,0.0,80,76.0,4.0,0.0,1.0,1.0,,,,,,,,66.0,80,0.82
251008,011-001103,2016,PSH,A Community of Friends,California Hotel Apartments,1140 S. Pacific Ave.,San Pedro,CA,90731.0,62118.0,297110.0,SPA 8,SD 4,CD15,SSD 35,AD 70,C,,,SMF,,1,0,HMIS,Yes,Yes,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,33.0,18.0,0.0,39,0.0,39.0,0.0,,1.0,,,,,,,,33.0,39,0.85
251009,011-001104,2016,PSH,A Community of Friends,Central Court Apartments,1316 E. 21st St.,Los Angeles,CA,90011.0,62118.0,227010.0,SPA 6,SD 2,CD9,SSD 30,AD 59,C,,,SMF+HC,,0,1,HMIS,Yes,Yes,14.0,3.0,4,0.0,1.0,0.0,5.0,0.0,0.0,4.0,,18,14.0,4.0,0.0,1.0,1.0,,,,,,,,12.0,18,0.67
251010,011-001105,2016,PSH,A Community of Friends,Cornerstone Apartments,14128 Calvert St.,Van Nuys,CA,91401.0,62118.0,128210.0,SPA 2,SD 3,CD6,SSD 18,AD 46,C,,,SMF+HC,,0,0,HMIS,Yes,Yes,40.0,15.0,20,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,60,40.0,20.0,0.0,1.0,1.0,,,,,,,,21.0,60,0.35
251196,011-001106,2016,PSH,A Community of Friends,Fedora Apartments,836 Fedora St.,Los Angeles,CA,90005.0,62118.0,212305.0,SPA 4,SD 2,CD10,SSD 24,AD 53,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,22,0.0,22.0,0.0,,1.0,,,,,,,,21.0,22,0.95
251054,011-001107,2016,PSH,A Community of Friends,Figueroa Court Apartments,9130 S. Figueroa St.,Los Angeles,CA,90003.0,62118.0,240300.0,SPA 6,SD 2,CD8,SSD 30,AD 64,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,39,0.0,39.0,0.0,,1.0,,,,,,,,35.0,39,0.9
251197,011-001108,2016,PSH,A Community of Friends,Fox Normandie Apartments,849 S. Normandie Ave.,Los Angeles,CA,90005.0,62118.0,212420.0,SPA 4,SD 2,CD10,SSD 24,AD 53,C,,,SMF+HC,,0,0,HMIS,Yes,Yes,20.0,10.0,41,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,61,20.0,41.0,0.0,1.0,1.0,,,,,,,,49.0,61,0.8
251100,011-001110,2016,PSH,A Community of Friends,Gower Street Apartments,1140 N. Gower St.,Los Angeles,CA,90038.0,62118.0,190902.0,SPA 4,SD 3,CD13,SSD 24,AD 50,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,54,0.0,54.0,0.0,,1.0,,,,,,,,49.0,54,0.91
251101,011-001111,2016,PSH,A Community of Friends,La Primavera Apartments,1330 S. Olive St.,Los Angeles,CA,90015.0,62118.0,224010.0,SPA 4,SD 1,CD14,SSD 30,AD 53,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35,0.0,35.0,0.0,,1.0,,,,,,,,33.0,35,0.94
251102,011-001112,2016,PSH,A Community of Friends,Las Flores Apartments,1063 S. Eastman Ave.,Los Angeles,CA,90023.0,62118.0,531301.0,SPA 7,SD 1,NA ,SSD 24,AD 51,C,,,HC,,0,0,HMIS,Yes,Yes,56.0,18.0,1,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,57,56.0,1.0,0.0,1.0,1.0,,,,,,,,45.0,57,0.79
251103,011-001113,2016,PSH,A Community of Friends,Las Palomas Hotel,2201 E. First St.,Los Angeles,CA,90033.0,62118.0,204420.0,SPA 4,SD 1,CD14,SSD 24,AD 53,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,61,0.0,61.0,0.0,,1.0,,,,,,,,59.0,61,0.97
251056,011-001114,2016,PSH,A Community of Friends,Maryland Apartments,1340 Maryland St.,Los Angeles,CA,90017.0,62118.0,209200.0,SPA 4,SD 1,CD1,SSD 24,AD 53,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,33,0.0,33.0,0.0,,1.0,,,,,,,,29.0,33,0.88
251359,011-001115,2016,PSH,A Community of Friends,Osborne Place Apartments,12232 West Osborne Place,Los Angeles,CA,91331.0,62118.0,104703.0,SPA 2,SD 3,CD7,SSD 18,AD 39,N,,,SMF+HC,,0,0,HMIS,Yes,Yes,144.0,33.0,29,0.0,0.0,0.0,18.0,0.0,0.0,29.0,0.0,173,144.0,29.0,0.0,1.0,1.0,,,,,,,,137.0,173,0.79
251057,011-001116,2016,PSH,A Community of Friends,Parker Hotel Apartments,725 S. Witmer St.,Los Angeles,CA,90017.0,62118.0,209300.0,SPA 4,SD 1,CD1,SSD 24,AD 53,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30,0.0,30.0,0.0,,1.0,,,,,,,,26.0,30,0.87
251055,011-001109,2016,PSH,A Community of Friends,Project Independence/Gateways,450 N. Hoover St.,Los Angeles,CA,90004.0,62118.0,195903.0,SPA 4,SD 1,CD13,SSD 24,AD 51,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29,0.0,29.0,0.0,,1.0,,,,,,,,28.0,29,0.97
251139,011-001117,2016,PSH,A Community of Friends,Santos Plaza,3837 S. Western Ave.,Los Angeles,CA,90062.0,62118.0,231400.0,SPA 6,SD 2,CD8,SSD 30,AD 54,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,36,0.0,36.0,0.0,,1.0,,,,,,,,36.0,36,1.0
251058,011-001129,2016,PSH,A Community of Friends,Selby Hotel,1740 N Hudson Ave,Hollywood,CA,90028.0,62118.0,190201.0,SPA 4,SD 3,CD13,SSD 26,AD 50,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,28.0,0.0,,1.0,,,,,,,,14.0,28,0.5
263744,011-001145,2016,PSH,A Community of Friends,Silver Star,6570 West Blvd,Los Angeles,CA,90043.0,62118.0,234902.0,SPA 6,SD 2,CD8,SSD 30,AD 54,U,,,SMF,,0,1,Non-HMIS,No,No,0.0,0.0,48,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48,,,,,,,,,,,,,,48,
251011,011-001119,2016,PSH,A Community of Friends,Step Out Apartments,2010 E. El Segundo Blvd.,Compton,CA,90222.0,60804.0,541400.0,SPA 6,SD 2,NA ,SSD 35,AD 64,C,,,SMF,,1,0,HMIS,Yes,Yes,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20,0.0,20.0,0.0,,1.0,,,,,,,,18.0,20,0.9
251012,011-001120,2016,PSH,A Community of Friends,Vendome Palms,975 N. Vendome St.,Los Angeles,CA,90026.0,62118.0,195803.0,SPA 4,SD 1,CD13,SSD 24,AD 51,C,,,SMF+HC,,0,0,HMIS,Yes,Yes,4.0,2.0,33,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,37,4.0,33.0,0.0,1.0,1.0,,,,,,,,34.0,37,0.92
251013,011-001121,2016,PSH,A Community of Friends,Vista Nueva Apartments,130 S. Lafayette Park Pl.,Los Angeles,CA,90057.0,62118.0,208620.0,SPA 4,SD 1,CD13,SSD 24,AD 51,C,,,SMF+HC,,0,0,HMIS,Yes,Yes,101.0,24.0,10,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,111,101.0,10.0,0.0,1.0,1.0,,,,,,,,101.0,111,0.91
251014,011-001122,2016,PSH,A Community of Friends,Willis Avenue Apartments,14731 Rayen Street,Panorama City,CA,91402.0,62118.0,120108.0,SPA 2,SD 3,CD6,SSD 18,AD 46,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,43,0.0,43.0,0.0,,1.0,,,,,,,,40.0,43,0.93
251169,011-001134,2016,PSH,A Community of Friends,Willow Apartments (S+C),12612 Wilmington Ave.,Compton,CA,90222.0,60804.0,541400.0,SPA 6,SD 2,NA ,SSD 35,AD 64,C,,,SMF+HC,,0,0,HMIS,Yes,Yes,56.0,23.0,10,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,66,56.0,10.0,0.0,1.0,1.0,,,,,,,,53.0,66,0.8
251015,011-001124,2016,PSH,A Community of Friends,Woodland Terrace,15532 Nordhoff St.,North Hills,CA,91343.0,62118.0,117405.0,SPA 2,SD 3,CD7,SSD 18,AD 46,C,,,HC,,0,0,HMIS,Yes,Yes,106.0,24.0,14,0.0,0.0,0.0,52.0,0.0,0.0,14.0,0.0,120,106.0,14.0,0.0,1.0,1.0,,,,,,,,97.0,120,0.81
