Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Address,Address 2,City,State,ZIP,Geo Code,Census Tract,SPA,SD,CD,SSD,AD,USCD,Community,Inventory Type,Bed Type,Rental Assistance Type,Target Pop. A,Target Pop. B,LAHSA Funded,In HMIS,Veteran Program,Youth Program,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/ Children,Youth Beds HH w/o Children,CH Beds HH w/ Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Other Federal Funding?,Other Federal Funding: HUD-VASH,Other Federal Funding: SSVF,Other Federal Funding: GPD,Other Federal Funding: HCHV,Other Federal Funding: CWT/TR,Other Federal Funding: BCP,Other Federal Funding: TLP,Other Federal Funding: MGH,Other Federal Funding: HOPWA,Other Federal Funding: PIH,Housing Type,McKinney- Vento,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Bed Utilization Rate,Unit Utilization Rate
283051,045-001002,2017,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 2,2116 Arlington Ave,Suite 200,Los Angeles,CA,90018,,,SPA 6,SD 2,CD10,SSD 24,AD 53,USCD 34,,C,Facility-based beds,Not Applicable,SFHC,DV,No,No,No,No,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,1,,,,,,,0.0,0.0,,,0.0,0.0,1.0,1,1.0,1.0
283337,045-001023,2017,ES,1736 Family Crisis Center,RHY Basic Center,1736 Monterey Blvd.,,Hermosa Beach,CA,90254,69037.0,621004.0,SPA 8,SD 4,NA ,SSD 26,AD 66,USCD 33,Hermosa Beach,C,Facility-based beds,Not Applicable,YMF,,No,Yes,No,Yes,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,Single,No,6,0.0,0.0,6.0,,,1.0,0.0,0.0,,,0.0,0.0,2.0,6,0.33,0.3333333333333333
283087,045-001021,2017,ES,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,1044 Figueroa St.,,Wilmington,CA,90744,,,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,,C,Facility-based beds,Not Applicable,SFHC,DV,No,No,No,No,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Scattered,No,12,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,9.0,12,0.75,0.42857142857142855
282932,214-001850,2017,ES,Beacon Light Mission and Doors of Hope,Beacon Light Mission ES,525 Broad Ave.,,Wilmington,CA,90744,62118.0,294701.0,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,Wilmington,C,Facility-based beds,Not Applicable,SM,,No,No,Yes,No,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,20,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,20.0,20,1.0,1.0
296631,214-001852,2017,ES,Beacon Light Mission and Doors of Hope,Doors of Hope ES,525 Broad Ave.,,Wilmington,CA,90744,62118.0,294701.0,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,Wilmington,C,Facility-based beds,Not Applicable,SF,,No,No,Yes,No,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,20,0.0,0.0,0.0,,,,,,,,0.0,0.0,20.0,20,1.0,1.0
296635,164-002365,2017,ES,"California Hispanic Commission on Alcohol & Drug Abuse, Inc. (CHCADA)",FSC Emergency Crisis Beds,310 E Foothill Blvd,,Pomona,CA,91767,62850.0,401704.0,SPA 3,SD 1,NA ,SSD 20,AD 52,USCD 35,Pomona,N,Facility-based beds,Not Applicable,HC,,No,No,No,No,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,15,0.0,0.0,0.0,,,,,,,,0.0,0.0,15.0,15,1.0,1.0
307265,013-002601,2017,ES,"Catholic Charities of Los Angeles, Inc.",Angel's Flight Youth Shelter a Part of Catholic Charities Los Angeles,357 So Westlake St,,Los Angeles,CA,90057,62118.0,208903.0,SPA 4,SD 1,CD1,SSD 24,AD 53,USCD 34,Westlake,C,Facility-based beds,Not Applicable,YMF,,No,No,No,Yes,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,16,0.0,0.0,0.0,,,,,,,,0.0,0.0,8.0,16,0.5,0.5
282921,128-002750,2017,ES,"Center for the Pacific Asian Family, Inc.",CPAF Emergency Shelter,543 N Fairfax,,Los Angeles,CA,90036,,,SPA 4,SD 3,CD5,SSD 26,AD 50,USCD 28,,C,Facility-based beds,Not Applicable,SMF+HC,DV,No,No,No,No,40.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,45,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,8.0,45,0.18,0.38461538461538464
283170,229-002950,2017,ES,Children of the Night,Children of the Night Housing Program,14530 Sylvan St.,,Van Nuys,CA,91411,62118.0,128303.0,SPA 2,SD 3,CD6,SSD 18,AD 46,USCD 29,Van Nuys,C,Facility-based beds,Not Applicable,YMF,,No,No,No,Yes,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,24,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,15.0,24,0.62,0.625
283305,508-019800,2017,ES,Claremont Homeless Advocacy Program,Overnight Accomodation,727 Harrison Ave,,Claremont,CA,91711,69037.0,401902.0,SPA 3,SD 1,NA ,SSD 25,AD 41,USCD 27,Claremont,C,Facility-based beds,Not Applicable,SMF,,No,No,No,No,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,15,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,12.0,15,0.8,0.8
