Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Geo Code,Address_1,Address_2,City,State,ZIP,Census Tract,SPA,SD,CD,SSD,SAD,USCD,Community,Inventory Type,Bed Type,Target Pop. A,Target Pop. B,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: CWT/TR,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: PIH,Additional Federal Funding: Other,Housing Type,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: Shp,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Utilization Rate,Unit Utilization Rate
343812,045-001030,2018,RRH,1736 Family Crisis Center,2017 DV/IPV RRH Pilot Program,63744,,,,,,,8,4,0,26,66,33,,C,,SFHC,DV,15.0,4.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,Yes,No,Yes,No,No,No,No,No,No,No,No,No,15,0,0,0,,,,0,0,,,0,0,15,15,1.0,1.0
343815,045-001028,2018,RRH,1736 Family Crisis Center,CalOES - Housing First,62118,,,,,,,6,2,10,24,53,34,,C,,SFHC,DV,33.0,10.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,33,0,0,0,,,,0,0,,,0,0,33,33,1.0,1.0
340938,045-001025,2018,ES,1736 Family Crisis Center,Crisis and Bridge Housing Individuals (1736),62118,,,,,,,8,4,15,35,64,44,,C,Facility-based beds,SF,DV,0.0,0.0,10,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,10,0,0,0,,,,0,0,,,0,0,4,10,0.4,0.4
342191,045-001001,2018,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 1,62118,,,,,,,6,2,10,24,53,34,,C,Facility-based beds,SF,DV,0.0,0.0,5,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,5,0,0,0,,,,0,0,,,0,0,1,5,0.2,0.2
342586,045-001002,2018,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 2,62118,,,,,,,6,2,10,24,53,34,,C,Facility-based beds,SF,DV,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,1,0,0,0,,,,0,0,,,0,0,1,1,1.0,1.0
342603,045-001029,2018,TH,1736 Family Crisis Center,OVW - TH,62118,,,,,,,6,2,10,24,53,34,,C,,HC,DV,35.0,11.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,35,0,0,0,,,,0,0,,,0,0,35,35,1.0,1.0
343625,045-001026,2018,RRH,1736 Family Crisis Center,RRH Individual (1736),63744,,,,,,,8,4,0,26,66,33,,C,,SF,DV,0.0,0.0,6,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,Yes,No,Yes,No,No,No,No,No,No,No,No,No,6,0,0,0,,,,0,0,,,0,0,6,6,1.0,1.0
342590,045-001024,2018,TH,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,62118,,,,,,,8,4,15,35,64,44,,C,,HC,DV,20.0,5.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,20,0,0,0,,,,0,0,,,0,0,17,20,0.85,1.0
342587,045-001012,2018,TH,1736 Family Crisis Center,Transitional Program-LA 1,62118,,,,,,,6,2,10,24,53,34,,C,,HC,DV,15.0,3.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,15,0,0,0,,,,0,0,,,0,0,8,15,0.53,1.0
342588,045-001014,2018,TH,1736 Family Crisis Center,Transitional Program-LA 2,62118,,,,,,,6,2,10,24,53,34,,C,,HC,DV,20.0,4.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,20,0,0,0,,,,0,0,,,0,0,5,20,0.25,0.25
