Project ID,Row #,Year,Proj. Type,Organization Name,Project Name,Address,City,State,ZIP,SPA,CD,SD,Community,Geo Code,Inventory Type,Bed Type,Target Pop.,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Victim Service Provider,Additional Federal Funding?,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: PIH,Additional Federal Funding: Other,Housing Type,McKinney- Vento,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: SHP,McKinney- Vento: YHDP,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Utilization Rate
3254,368497,2019,ES,1736 Family Crisis Center,1736 FSC Bridge Housing,CONFIDENTIAL,CONFIDENTIAL,CA,90503,8,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,63744,C,Facility-based beds,DV,18,9,0,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,18,0,0,0,0,0,0,0,0,,,0,0,9,18,0.5
3163,366782,2019,RRH,1736 Family Crisis Center,CalOES - Housing First,CONFIDENTIAL,CONFIDENTIAL,CA,90018,6,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,C,,DV,43,13,0,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,0,0,0,0,0,0,0,0,,,0,0,43,43,1.0
2824,366776,2019,ES,1736 Family Crisis Center,CES Bridge Housing for Women SPA 8,CONFIDENTIAL,CONFIDENTIAL,CA,90254,8,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,63744,C,Facility-based beds,DV,0,0,20,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20,0,0,0,0,0,0,0,0,,,0,0,4,20,0.2
3301,368496,2019,ES,1736 Family Crisis Center,CES Bridge Housing Individuals SPA 8,CONFIDENTIAL,CONFIDENTIAL,CA,90503,8,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,63744,C,Facility-based beds,DV,0,0,5,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,0,0,0,0,0,0,0,0,,,0,0,3,5,0.6
3164,374989,2019,ES,1736 Family Crisis Center,CES Crisis Housing Individuals SPA 8,CONFIDENTIAL,CONFIDENTIAL,CA,90503,8,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,C,Facility-based beds,DV,0,0,10,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10,0,0,0,0,0,0,0,0,,,0,0,7,10,0.7
3166,366784,2019,RRH,1736 Family Crisis Center,CES RRH Individual SPA 8,CONFIDENTIAL,CONFIDENTIAL,CA,90503,8,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,63744,C,,DV,0,0,11,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11,0,0,0,0,0,0,0,0,,,0,0,11,11,1.0
2981,366778,2019,ES,1736 Family Crisis Center,Domestic Violence Shelter - LA1,CONFIDENTIAL,CONFIDENTIAL,CA,90018,6,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,C,Facility-based beds,DV,5,2,0,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,0,0,0,0,0,0,0,0,,,0,0,5,5,1.0
3162,368195,2019,RRH,1736 Family Crisis Center,DV/IPV RRH Pilot Program,CONFIDENTIAL,CONFIDENTIAL,CA,90503,8,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,63744,C,,DV,113,34,0,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,113,0,0,0,0,0,0,0,0,,,0,0,113,113,1.0
3165,366783,2019,TH,1736 Family Crisis Center,OVW - TH,CONFIDENTIAL,CONFIDENTIAL,CA,90018,6,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,C,,DV,22,11,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22,0,0,0,0,0,0,0,0,,,0,0,3,22,0.14
3167,366785,2019,TH,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,CONFIDENTIAL,CONFIDENTIAL,CA,90018,6,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,C,,DV,20,5,0,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20,0,0,0,0,0,0,0,0,,,0,0,7,20,0.35
