HMIS Proj ID,Row #,Year,Proj. Type,Organization Name,Project Name,Address,City,State,ZIP,SPA,SD,CD,Community,Geo Code,HMIS-Participating,Inventory Type,Bed Type,Target Pop.,Project Gender,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Victim Service Provider,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: PIH,Additional Federal Funding: Other,Housing Type,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: SHP,McKinney- Vento: YHDP,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,Overflow Beds,Individual Household Counted as Domestic Violence Victim,Family Household Members Counted as Domestic Violence Victim,Youth Household Members Counted as Domestic Violence Victim,PIT Count,Total Beds,Utilization Rate
1167,441226,2020,OPH,Step Up on Second,Homeless Program HACLA Section 8,1328 2nd St.,Santa Monica,CA,90401,5,3,0,Santa Monica,63384,Yes,C,,,All,0,0,40,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,40,0,,,0,0.0,0.0,0.0,20.0,40,0.5
1172,440946,2020,ES,Volunteers of America of Los Angeles,Family Emergency Housing Program,8224 S. Broadway.,Los Angeles,CA,90003,6,2,9,Florence,62118,Yes,C,Facility-based beds,,All,32,8,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,32,0,,,0,0.0,1.0,0.0,32.0,32,1.0
1175,441227,2020,PSH,Housing Works,CA0994 Housing Works Home First,1277 N. Wilcox Ave.,Los Angeles,CA,90038,4,3,13,Hollywood,62118,Yes,C,,,,0,0,38,0,0,0,0,0,0,38,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,38,0,,,0,,,,21.0,38,0.55
1177,441228,2020,PSH,City of Pomona,CA0462 Shelter Plus Care,505 S. Garey Ave.,Pomona,CA,91766,3,1,0,Pomona,62850,Yes,C,,,All,113,22,32,0,0,0,0,0,0,5,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,145,0,,,0,0.0,0.0,0.0,117.0,145,0.81
1192,441230,2020,PSH,Coalition for Responsible Community Development,Broadway Apartments,4775 S. Broadway,Los Angeles,CA,90037,6,2,9,South Park,62118,Yes,C,,,All,0,0,16,0,0,0,0,0,16,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,16,0,,,0,0.0,0.0,0.0,5.0,16,0.31
1193,441231,2020,PSH,Coalition for Responsible Community Development,CA0997 Epworth Apartments,6525 S. Normandie Ave.,Los Angeles,CA,90044,6,2,8,Harvard Park,62118,Yes,C,,,All,0,0,19,0,0,0,0,0,19,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,19,0,,,0,0.0,0.0,0.0,18.0,19,0.95
1197,441232,2020,PSH,PATH Ventures,La Kretz Villas,335 N. Juanita Ave.,Los Angeles,CA,90810,4,2,13,East Hollywood,62118,Yes,C,,,All,0,0,34,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,34,0,,,0,0.0,0.0,0.0,33.0,34,0.97
1201,441233,2020,PSH,A Community of Friends,CA0347 Willis Avenue Apartments,14731 Rayen St.,Panorama City,CA,91402,2,3,6,Panorama City,62118,Yes,C,,,All,0,0,42,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,42,0,,,0,0.0,0.0,0.0,37.0,42,0.88
1207,441234,2020,PSH,Affordable Living for the Aging,Bonnie Brae Village,208 S. Bonnie Brae St.,Los Angeles,CA,90057,4,1,13,Westlake,62118,No,C,,,All,0,0,86,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,86,0,,,0,0.0,0.0,0.0,86.0,86,1.0
1208,441235,2020,PSH,Downtown Womens Center,LA Residence LAHSA - Supportive Services,331 S. Los Angeles St.,Los Angeles,CA,90013,4,1,14,Downtown,62118,Yes,C,,,,0,0,45,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,45,0,,,0,,,,46.0,45,1.02
