Row #,Year,Proj. Type,Organization Name,Project Name,City,State,ZIP,SPA,SD,CD,Geo Code,Inventory Type,Bed Type,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,Overflow Beds,PIT Count,Total Beds
441226,2020,OPH,Step Up on Second,Homeless Program HACLA Section 8,Santa Monica,CA,90401,5,3,0,63384.0,C,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,,,0.0,20.0,40
440946,2020,ES,Volunteers of America of Los Angeles,Family Emergency Housing Program,Los Angeles,CA,90003,6,2,9,62118.0,C,Facility-based beds,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,,,0.0,32.0,32
441227,2020,PSH,Housing Works,CA0994 Housing Works Home First,Los Angeles,CA,90038,4,3,13,62118.0,C,,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38,0.0,,,0.0,21.0,38
441228,2020,PSH,City of Pomona,CA0462 Shelter Plus Care,Pomona,CA,91766,3,1,0,62850.0,C,,113.0,22.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,145,0.0,,,0.0,117.0,145
441230,2020,PSH,Coalition for Responsible Community Development,Broadway Apartments,Los Angeles,CA,90037,6,2,9,62118.0,C,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16,0.0,,,0.0,5.0,16
441231,2020,PSH,Coalition for Responsible Community Development,CA0997 Epworth Apartments,Los Angeles,CA,90044,6,2,8,62118.0,C,,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19,0.0,,,0.0,18.0,19
441232,2020,PSH,PATH Ventures,La Kretz Villas,Los Angeles,CA,90810,4,2,13,62118.0,C,,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,,,0.0,33.0,34
441233,2020,PSH,A Community of Friends,CA0347 Willis Avenue Apartments,Panorama City,CA,91402,2,3,6,62118.0,C,,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,,,0.0,37.0,42
441234,2020,PSH,Affordable Living for the Aging,Bonnie Brae Village,Los Angeles,CA,90057,4,1,13,62118.0,C,,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,0.0,,,0.0,86.0,86
441235,2020,PSH,Downtown Womens Center,LA Residence LAHSA - Supportive Services,Los Angeles,CA,90013,4,1,14,62118.0,C,,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,,,0.0,46.0,45
441236,2020,PSH,The People Concern,CA0409 Lamp Lodge - Supportive Services,Los Angeles,CA,90021,4,2,14,62118.0,C,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12,0.0,,,0.0,13.0,12
440947,2020,ES,Volunteers of America of Los Angeles,CES Crisis Housing Program P2H,Los Angeles,CA,90037,6,2,9,62118.0,C,Facility-based beds,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.0,,,0.0,98.0,190
441237,2020,PSH,PATH Ventures,NoHo Senior Villas,North Hollywood,CA,91601,2,3,2,62118.0,C,,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0,,,0.0,30.0,48
441238,2020,PSH,PATH Ventures,Villas at Gower,Los Angeles,CA,90028,4,3,13,62118.0,C,,25.0,8.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,87,0.0,,,0.0,82.0,87
441240,2020,PSH,Skid Row Housing Trust,New Genesis Apartments,Los Angeles,CA,90013,4,1,14,62118.0,C,,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,79,0.0,,,0.0,73.0,79
441241,2020,RRH,Valley Oasis,AVD FSC Rapid Re-Housing,Palmdale,CA,93550,1,5,0,62658.0,C,,181.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0.0,,,0.0,181.0,181
441242,2020,RRH,Union Station Homeless Services,USHS FSC Rapid Re-Housing,Pasadena,CA,91104,3,5,0,62724.0,C,,191.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,0.0,,,0.0,191.0,191
441243,2020,RRH,St. Joseph Center,STJ FSC Rapid Re-housing,Venice,CA,90291,5,3,11,62118.0,C,,373.0,117.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,395,0.0,,,0.0,395.0,395
440948,2020,ES,Society of St. Vincent de Paul,Emergency Transitions Program,Los Angeles,CA,90013,4,1,14,62118.0,C,Facility-based beds,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,,,0.0,0.0,5
441245,2020,RRH,LA Family Housing Corporation (LAFH),LFH FSC Rapid Re-Housing,North Hollywood,CA,91605,2,3,6,62118.0,C,,532.0,144.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,556,0.0,,,0.0,556.0,556
441247,2020,PSH,Step Up on Second,CA0401 Permanent Supportive Housing,Santa Monica,CA,90401,5,3,0,63384.0,C,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,,,0.0,15.0,16
441248,2020,PSH,Homeless Health Care Los Angeles,Housing for Health,Los Angeles,CA,90057,4,1,13,62118.0,C,,2.0,1.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,0.0,,,0.0,278.0,237
441250,2020,PSH,Los Angeles County Department of Mental Health (DMH),CA0324 Good Samaritan Bonus,Los Angeles,CA,90020,4,2,13,62118.0,C,,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,,,0.0,93.0,99
441251,2020,PSH,A Community of Friends,CA0374 Osborne Place Apartments - Supportive Services,Los Angeles,CA,91331,2,3,7,62118.0,C,,102.0,10.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,0.0,,,0.0,126.0,154
440949,2020,ES,SRO Housing Corporation,H Crisis Housing,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,62118.0,C,Facility-based beds,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,,,0.0,20.0,25
441253,2020,PSH,Coalition for Responsible Community Development,28th Street Apartments,Los Angeles,CA,90011,6,2,9,62118.0,C,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,,,0.0,10.0,10
441254,2020,PSH,Affordable Living for the Aging,Parkview on the Park Apartments,Los Angeles,CA,90057,4,1,1,62118.0,C,,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,,,0.0,35.0,34
441255,2020,PSH,LA Family Housing Corporation (LAFH),DHS Housing for Health,North Hollywood,CA,91605,2,3,6,62118.0,C,,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,0.0,,,0.0,189.0,295
441256,2020,PSH,People Assisting the Homeless (PATH),Housing for Health,Los Angeles,CA,90004,4,2,13,62118.0,C,,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,0.0,,,0.0,390.0,313
440950,2020,ES,The People Concern,HAUS,Los Angeles,CA,90013,4,2,14,62118.0,C,Facility-based beds,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,,,0.0,19.0,25
441257,2020,PSH,Hollywood Community Housing Corporation,Argyle Court Apartments,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,62118.0,C,,2.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,,,0.0,28.0,29
441259,2020,PSH,Hollywood Community Housing Corporation,Waterloo Heights Apartments,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,62118.0,C,,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,,,0.0,19.0,17
441260,2020,PSH,Hollywood Community Housing Corporation,Allesandro Apartments,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,62118.0,C,,4.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,,,0.0,23.0,23
441262,2020,PSH,Skid Row Housing Trust,Star Apartments,Los Angeles,CA,90013,4,2,14,62118.0,C,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,100,0.0,,,0.0,98.0,100
441263,2020,PSH,SRO Housing Corporation,CA0996 Gateway Apartments,Los Angeles,CA,90011,4,2,14,62118.0,C,,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53,0.0,,,0.0,46.0,53
441264,2020,PSH,SRO Housing Corporation,CA0430 Golden West Permanent Housing Program,Los Angeles,CA,90013,4,1,14,62118.0,C,,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,59,0.0,,,0.0,41.0,59
441265,2020,PSH,SRO Housing Corporation,Ford Apartments,Los Angeles,CA,90021,4,2,14,62118.0,C,,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,0.0,,,0.0,86.0,90
441266,2020,OPH,People Assisting the Homeless (PATH),HACLA Tenant Based Supportive Housing TBSH,Los Angeles,CA,90004,4,2,13,62118.0,C,,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,,,0.0,28.0,51
440951,2020,ES,The Whole Child,TWC FSC Crisis Housing,Santa Fe Springs,CA,90670,7,4,0,69037.0,C,Facility-based beds,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,,,0.0,32.0,37
441267,2020,RRH,The Whole Child,TWC FSC Rapid Re-Housing,Santa Fe Springs,CA,90670,7,4,0,69037.0,C,,354.0,83.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,367,0.0,,,0.0,367.0,367
