dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,crm_cd_2,location,cross_street,lat,lon
090631215,2010-01-05T00:00:00.000,2010-01-05T00:00:00.000,0150,06,Hollywood,0646,2,900,VIOLATION OF COURT ORDER,1100 0400 1402,47,F,W,101,STREET,102,HAND GUN,IC,Invest Cont,900,998,CAHUENGA                     BL,HOLLYWOOD                    BL,34.1016,-118.3295
100100501,2010-01-03T00:00:00.000,2010-01-02T00:00:00.000,2100,01,Central,0176,1,122,"RAPE, ATTEMPTED",0400,47,F,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122,,8TH                          ST,SAN PEDRO                    ST,34.0387,-118.2488
100100509,2010-01-09T00:00:00.000,2010-01-08T00:00:00.000,2100,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,51,M,B,710,OTHER PREMISE,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,500    CROCKER                      ST,,34.0435,-118.2427
100100510,2010-01-09T00:00:00.000,2010-01-09T00:00:00.000,0230,01,Central,0171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416,30,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,800 W  OLYMPIC                      BL,,34.0450,-118.2640
100100521,2010-01-14T00:00:00.000,2010-01-14T00:00:00.000,1445,01,Central,0118,2,624,BATTERY - SIMPLE ASSAULT,0400 0429 2000,38,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,900 N  BROADWAY,,34.0640,-118.2375
100100522,2010-01-15T00:00:00.000,2010-01-14T00:00:00.000,2000,01,Central,0158,1,210,ROBBERY,0344,40,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,ALAMEDA                      ST,7TH                          ST,34.0350,-118.2386
100100529,2010-01-16T00:00:00.000,2010-01-15T00:00:00.000,1745,01,Central,0152,2,755,BOMB SCARE,0404,29,F,B,738,LIBRARY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,755,,600 W  5TH                          ST,,34.0502,-118.2540
100100531,2010-01-16T00:00:00.000,2010-01-15T00:00:00.000,2030,01,Central,0127,1,210,ROBBERY,0344 0416 1218,47,M,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,1ST,LOS ANGELES,34.0515,-118.2424
100100553,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,1100,01,Central,0166,1,210,ROBBERY,0344 0416,50,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100100555,2010-01-23T00:00:00.000,2010-01-23T00:00:00.000,2000,01,Central,0132,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000,18,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,200 S  GRAND                        AV,,34.0545,-118.2499
