Date,Crime_Code,Crime_Desc,Area,Weapon_Code,Weapon_Desc,Vict_Age,Vict_Sex,Vict_Desc,Status,Lat,Lng,Year
2019-02-15,Battery - misdemeanor,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Olympic,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",15,F,Hispanic/Latin/Mexican,Invest Cont,34.0763,-118.2937,2019
2019-05-28,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,Olympic,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5,F,Hispanic/Latin/Mexican,Invest Cont,34.0598,-118.2979,2019
2019-07-11,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,Central,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",12,F,Black,Invest Cont,34.053000000000004,-118.2444,2019
2019-03-08,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,Mission,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",38,M,Other,Adult Arrest,34.2267,-118.4704,2019
2019-04-17,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,West Valley,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4,F,Hispanic/Latin/Mexican,Invest Cont,34.2085,-118.4771,2019
2019-05-28,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,Olympic,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7,F,Hispanic/Latin/Mexican,Invest Cont,34.0598,-118.2979,2019
2019-02-10,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,Pacific,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",37,F,Other,Adult Other,33.9845,-118.4059,2019
2019-09-24,Battery - misdemeanor,BATTERY - SIMPLE ASSAULT,Rampart,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",9,F,Hispanic/Latin/Mexican,Invest Cont,34.0713,-118.2597,2019
2019-03-14,Spousal/Cohab Abuse - Simple Assault,INTIMATE PARTNER - SIMPLE ASSAULT,Van Nuys,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34,F,Other Asian,Invest Cont,34.1903,-118.4399,2019
2019-08-14,Spousal/Cohab Abuse - Simple Assault,INTIMATE PARTNER - SIMPLE ASSAULT,Wilshire,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",46,M,Black,Invest Cont,34.04,-118.3624,2019
2019-10-19,Spousal/Cohab Abuse - Simple Assault,INTIMATE PARTNER - SIMPLE ASSAULT,Southeast,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",14,M,Black,Invest Cont,33.9365,-118.2848,2019
2019-11-07,Spousal/Cohab Abuse - Simple Assault,INTIMATE PARTNER - SIMPLE ASSAULT,Hollenbeck,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",29,F,Hispanic/Latin/Mexican,Invest Cont,34.0256,-118.1992,2019
2019-11-07,Spousal/Cohab Abuse - Simple Assault,INTIMATE PARTNER - SIMPLE ASSAULT,Rampart,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",14,F,Hispanic/Latin/Mexican,Invest Cont,34.0493,-118.2697,2019
2019-07-08,Spousal/Cohab Abuse - Simple Assault,INTIMATE PARTNER - SIMPLE ASSAULT,Wilshire,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",38,M,White,Adult Other,34.0538,-118.3622,2019
