,budget_fiscal_year,department_name,fund_name,account_name,total_expenditures,total_budget,account_group_name,department
0,2021,AGING,GENERAL FUND (GENERAL BUDGET),TRAVEL,,8650,EXPENSES,2
1,2021,AGING,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,49621.15,164038,SALARIES AND BENEFITS,2
2,2021,AGING,OMBUDSMAN INITIATIVE PROGRAM F,SNF QUALITY AND ACCOUNTABILITY,,151335,,2
3,2021,AGING,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,28523.71,38900,SALARIES AND BENEFITS,2
4,2021,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES III B,970662,3477687,,2
5,2021,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS III C2,1761038,4003837,,2
6,2021,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS FOR SENIORS,559110,2667230,,2
7,2021,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES FOR SENIORS,12609,92436,,2
8,2021,AGING,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,3038.3,6788,EXPENSES,2
9,2021,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS FOR SENIORS,128539.75,813615,,2
10,2021,AGING,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,2750,9125,EXPENSES,2
11,2021,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT PROGRAM III E,85764,937723,,2
12,2021,AGING,AREA PLAN FOR THE AGING TIT 7,HOME FALL PREVENTION,,129375,,2
13,2021,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 3 MONTH,,44170,,2
14,2021,AGING,OTHER PROGRAMS FOR THE AGING,ENROLLEE WAGES,709110,1662249,,2
15,2021,AGING,OMBUDSMAN INITIATIVE PROGRAM F,STATE HEALTH FACILITIES CITATION PENALTIES ACT,,137954,,2
16,2021,AGING,OMBUDSMAN INITIATIVE PROGRAM F,PUBLIC HEALTH LCPF,,31860,,2
