revenue_source,amount
Property Tax,2297080000
Property Tax,2113630000
Property Tax,1961509000
Property Tax,1833755000
Property Tax,1786069000
Property Tax,1765230000
Property Tax,1644811000
Property Tax,1549568000
Property Tax,1457022000
Property Tax,1436363000
Property Tax,1418870000
Property Tax,1408529000
Licenses Permits Fees and Fines,1335289161
Licenses Permits Fees and Fines,1186881980
Sewer Construction and Maintenance Fund,1177611644
Licenses Permits Fees and Fines,1128045130
Sewer Construction and Maintenance Fund,1092498889
Licenses Permits Fees and Fines,1046994015
Sewer Construction and Maintenance Fund,1040816486
Sewer Construction and Maintenance Fund,999789050
Sewer Construction and Maintenance Fund,921945412
Licenses Permits Fees and Fines,908774878
Licenses Permits Fees and Fines,872713014
Licenses Permits Fees and Fines,832712064
Licenses Permits Fees and Fines,830285944
Sewer Construction and Maintenance Fund,801858911
Licenses Permits Fees and Fines,778176527
Licenses Permits Fees and Fines,769917363
Sewer Construction and Maintenance Fund,757832209
Licenses Permits Fees and Fines,725092271
Licenses Permits Fees and Fines,723126115
Sewer Construction and Maintenance Fund,703467529
Sewer Construction and Maintenance Fund,692749362
Business Tax,686540000
Utility Users Tax,667875000
Sewer Construction and Maintenance Fund,663210876
Utility Users Tax,661200000
Sewer Construction and Maintenance Fund,660315865
Business Tax,654900000
Utility Users Tax,654790000
Utility Users Tax,654600000
Sewer Construction and Maintenance Fund,647189962
Utility Users Tax,641598000
Utility Users Tax,641570000
Utility Users Tax,634000000
Utility Users Tax,631850000
Utility Users Tax,630300000
Utility Users Tax,627832000
Utility Users Tax,622605000
Utility Users Tax,614620000
Sales Tax,591440000
Business Tax,590000000
Sales Tax,557990000
Sales Tax,557055000
Sales Tax,528670000
Sales Tax,520020000
Business Tax,518900000
Business Tax,502300000
Building and Safety Enterprise Fund,501862561
Business Tax,491000000
Business Tax,470728000
Solid Waste Resources Revenue Fund,470717535
Business Tax,459500000
Business Tax,450026000
Solid Waste Resources Revenue Fund,444725334
Business Tax,439219000
Solid Waste Resources Revenue Fund,428762622
Business Tax,426157000
Sales Tax,426120000
Business Tax,411960000
Building and Safety Enterprise Fund,376332149
Sales Tax,374100000
Sales Tax,352790000
Sales Tax,332939000
Proposition A Local Transit Assistance Fund,328721016
Transient Occupancy Tax,326620000
Solid Waste Resources Revenue Fund,326463021
Transient Occupancy Tax,322160000
Solid Waste Resources Revenue Fund,314833357
Solid Waste Resources Revenue Fund,312904849
Sales Tax,306239000
Solid Waste Resources Revenue Fund,304979590
Sales Tax,304243000
Building and Safety Enterprise Fund,303528718
Solid Waste Resources Revenue Fund,298763127
Solid Waste Resources Revenue Fund,295115029
Solid Waste Resources Revenue Fund,293788665
Power Revenue Transfer,291000000
Solid Waste Resources Revenue Fund,289462233
Sales Tax,289412000
Transient Occupancy Tax,282100000
Solid Waste Resources Revenue Fund,281335565
Power Revenue Transfer,275300000
Building and Safety Enterprise Fund,263698889
Power Revenue Transfer,261000000
Power Revenue Transfer,257000000
Power Revenue Transfer,254000000
Power Revenue Transfer,253000000
Power Revenue Transfer,249100000
Transient Occupancy Tax,244860000
Power Revenue Transfer,242500000
Proposition A Local Transit Assistance Fund,241680529
Proposition A Local Transit Assistance Fund,240976729
Transient Occupancy Tax,240800000
Power Revenue Transfer,238000000
Power Revenue Transfer,235600000
Power Revenue Transfer,232000000
Power Revenue Transfer,224100000
Transient Occupancy Tax,221000000
Documentary Transfer Tax,219096000
Documentary Transfer Tax,215835000
Documentary Transfer Tax,214548000
Documentary Transfer Tax,211960000
Proposition A Local Transit Assistance Fund,209136219
Building and Safety Enterprise Fund,206261000
Documentary Transfer Tax,204115000
Documentary Transfer Tax,200184000
Documentary Transfer Tax,196800000
