model,accuracy,precision_1,recall_1,f1_1,roc_auc,pr_auc,cv_score,tn,fp,fn,tp
SVM (RBF),0.8725,0.6404,0.8215,0.7198,0.9255,0.8043,,1056,137,53,244
CatBoost,0.9013,0.7232,0.8182,0.7678,0.9466,0.8584,,1100,93,54,243
XGBoost,0.9148,0.7707,0.8148,0.7921,0.9529,0.8712,,1121,72,55,242
LightGBM,0.9054,0.7407,0.8081,0.7729,0.9444,0.8567,,1109,84,57,240
Decision Tree,0.8188,0.5301,0.8013,0.6381,0.8697,0.6889,,982,211,59,238
Logistic Regression,0.843,0.5782,0.7845,0.6657,0.8857,0.752,,1023,170,64,233
Random Forest,0.8738,0.6535,0.7811,0.7117,0.9215,0.7814,,1070,123,65,232
Gradient Boosting,0.9161,0.8554,0.697,0.7681,0.9556,0.8754,,1158,35,90,207
QDA,0.7497,0.4205,0.6768,0.5187,0.772,0.5217,,916,277,96,201
MLP,0.9094,0.8432,0.67,0.7467,0.9234,0.8412,,1156,37,98,199
Bagging,0.8839,0.7348,0.6532,0.6916,0.938,0.7969,,1123,70,103,194
LDA,0.8745,0.6993,0.6498,0.6736,0.8838,0.7484,,1110,83,104,193
Gaussian NB,0.8208,0.5424,0.6465,0.5899,0.8206,0.6023,,1031,162,105,192
AdaBoost,0.8799,0.7611,0.5791,0.6577,0.9075,0.7807,,1139,54,125,172
KNN,0.8973,0.8711,0.569,0.6884,0.9219,0.8221,,1168,25,128,169
