iter	Logloss
0	0.6393868596
1	0.6059242511
2	0.5697771855
3	0.5405061297
4	0.5160400527
5	0.4955284229
6	0.4768393696
7	0.4644145238
8	0.453003782
9	0.4440839655
10	0.4368692492
11	0.4310627553
12	0.425777086
13	0.4199704534
14	0.4156384112
15	0.4112945856
16	0.4079075696
17	0.4036995779
18	0.4006474538
19	0.3983271481
20	0.3953480503
21	0.3939222848
22	0.3913188033
23	0.3886024716
24	0.3851220226
25	0.382664684
26	0.3800860902
27	0.3776373356
28	0.3753265498
29	0.3735275958
30	0.3707953535
31	0.3697184732
32	0.3674177382
33	0.3655736038
34	0.3640227266
35	0.3622465578
36	0.3609718959
37	0.3593772075
38	0.3579713079
39	0.3563787594
40	0.354361063
41	0.3522545286
42	0.3512130633
43	0.3502224659
44	0.3493271479
45	0.3483452981
46	0.3473554032
47	0.3462422999
48	0.3454129169
49	0.3446043831
50	0.3432156706
51	0.3422874315
52	0.3412700172
53	0.3395757633
54	0.338222998
55	0.3372943823
56	0.3361668514
57	0.3353625185
58	0.3345035543
59	0.3334143685
60	0.3325271231
61	0.3318065701
62	0.3309712509
63	0.329526597
64	0.3284136719
65	0.3275000542
66	0.3267865376
67	0.3255068494
68	0.3248904256
69	0.3243981872
70	0.3224162173
71	0.3214465142
72	0.3205333707
73	0.3196885072
74	0.318150643
75	0.3171588589
76	0.3159791174
77	0.3153072479
78	0.3140899576
79	0.3134013701
80	0.3124398835
81	0.3116313831
82	0.3099315273
83	0.3096017008
84	0.3078908679
85	0.3066363678
86	0.3052674726
87	0.3044949958
88	0.3035351925
89	0.3025697803
90	0.3019367901
91	0.3005915381
92	0.2999282963
93	0.2979796198
94	0.2968086635
95	0.2955159974
96	0.2951477952
97	0.2933088234
98	0.2919805608
99	0.2908309733
100	0.289410042
101	0.2884779201
102	0.2870519956
103	0.286168115
104	0.2845846837
105	0.2822688162
106	0.281196038
107	0.2801052197
108	0.2789140328
109	0.2766578524
110	0.2755862192
111	0.2746743746
112	0.2732761726
113	0.2720538468
114	0.2711784183
115	0.2701180932
116	0.2694387886
117	0.2684783157
118	0.2673072279
119	0.266376364
120	0.2657493697
121	0.265160751
122	0.2638668452
123	0.2630612301
124	0.2621377421
125	0.2611088689
126	0.2602996309
127	0.2597921786
128	0.2589407726
129	0.2585382563
130	0.257924311
131	0.2570859014
132	0.2562630482
133	0.254653099
134	0.2540509021
135	0.2532426899
136	0.2524288564
137	0.2519079837
138	0.251270836
139	0.2504091947
140	0.2500054313
141	0.2492963807
142	0.2483475666
143	0.2473808846
144	0.2465051155
145	0.2454411897
146	0.2445493082
147	0.2429014341
148	0.2422717425
149	0.2414981428
150	0.2407676189
151	0.2399055798
152	0.2392364655
153	0.2378032249
154	0.2370953425
155	0.2364858339
156	0.2356832276
157	0.2345897964
158	0.2338706492
159	0.2333051492
160	0.2325065473
161	0.2314775301
162	0.230552221
163	0.2296812736
164	0.2291830328
165	0.2281412183
166	0.2271672933
167	0.2264852752
168	0.2257876213
169	0.2248785405
170	0.2237266408
171	0.2232264233
172	0.2228076414
173	0.2223174721
174	0.2218483634
175	0.2209512053
176	0.2203137426
177	0.219640563
178	0.2187787669
179	0.2181529078
180	0.2176399025
181	0.2173255306
182	0.2166063685
183	0.216098645
184	0.2153486425
185	0.2148832631
186	0.2140877607
187	0.2133543865
188	0.2127817772
189	0.2125182455
190	0.2120490326
191	0.2116890061
192	0.2110518301
193	0.2105583974
194	0.20971086
195	0.209058789
196	0.2083379841
197	0.207880416
198	0.2070460307
199	0.2063753995
