iter	Passed	Remaining
0	56	11198
1	57	5681
2	58	3842
3	59	2925
4	60	2373
5	61	2004
6	63	1739
7	64	1541
8	65	1386
9	66	1262
10	67	1159
11	68	1075
12	69	1003
13	71	947
14	72	894
15	73	846
16	74	804
17	75	767
18	76	732
19	78	702
20	79	674
21	80	649
22	81	630
23	83	609
24	84	589
25	85	571
26	86	555
27	87	539
28	88	524
29	90	510
30	91	497
31	92	485
32	93	473
33	94	462
34	95	451
35	96	441
36	98	432
37	99	422
38	100	413
39	101	405
40	102	397
41	103	389
42	104	382
43	105	375
44	106	368
45	107	361
46	109	355
47	110	348
48	111	342
49	112	336
50	113	331
51	114	325
52	115	320
53	116	314
54	117	310
55	118	305
56	119	300
57	121	296
58	122	291
59	123	287
60	124	283
61	125	279
62	126	274
63	127	271
64	128	267
65	129	263
66	130	259
67	131	255
68	132	252
69	133	248
70	135	245
71	136	241
72	137	238
73	138	235
74	139	232
75	140	229
76	141	226
77	142	223
78	143	220
79	145	217
80	146	214
81	147	211
82	148	208
83	149	206
84	150	204
85	151	201
86	153	198
87	154	196
88	155	193
89	156	191
90	157	188
91	158	185
92	159	183
93	160	180
94	161	178
95	162	175
96	163	173
97	164	171
98	165	168
99	166	166
100	167	163
101	168	161
102	169	159
103	170	157
104	171	155
105	172	152
106	173	150
107	174	148
108	175	146
109	176	144
110	177	142
111	178	140
112	179	138
113	180	136
114	181	134
115	182	132
116	183	130
117	184	128
118	185	126
119	186	124
120	187	122
121	188	120
122	189	118
123	190	116
124	191	114
125	192	112
126	193	111
127	194	109
128	195	107
129	196	105
130	197	104
131	198	102
132	199	100
133	200	98
134	201	97
135	202	95
136	203	93
137	205	92
138	206	90
139	207	88
140	208	87
141	209	85
142	210	83
143	211	82
144	212	80
145	213	78
146	214	77
147	215	75
148	216	74
149	217	72
150	218	70
151	219	69
152	220	67
153	221	66
154	222	64
155	223	63
156	224	61
157	225	60
158	226	58
159	228	57
160	229	55
161	230	54
162	231	52
163	232	51
164	233	49
165	234	48
166	235	46
167	236	45
168	237	43
169	239	42
170	240	40
171	241	39
172	242	37
173	243	36
174	244	34
175	245	33
176	246	32
177	247	30
178	248	29
179	249	27
180	250	26
181	251	24
182	253	23
183	254	22
184	255	20
185	256	19
186	257	17
187	258	16
188	259	15
189	260	13
190	261	12
191	262	10
192	263	9
193	264	8
194	265	6
195	266	5
196	267	4
197	268	2
198	270	1
199	271	0
