PlayerID,Team,Number,FirstName,LastName,Position,Status,Height_in,Weight_lbs,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,PlayerSeason,LatestNews
21208,ARI,,Ian,Bunting,TE,Practice Squad,79,255.00,1996-02-10T00:00:00,California,2,TE,TRUE,OFF,Ian Bunting,25,1st Season,10-Feb-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21208.png,8,JAX,0,I.Bunting,,Scrambled,Scrambled,,,ARI,CHI,2019,,,TRUE,6,7,40,39,Scrambled,,307409,38b32cb2-42a0-44ce-87ae-bf16c338b3af,,14132,830692,83395,,55099,830692,32250,Scrambled,Scrambled,,Scrambled,Ian Bunting,Ian Bunting,Ian Bunting,,Scrambled,Scrambled,FALSE,,,,1,1,830692,Ian Bunting,8158691,http://cdn.usatsimg.com/api/download/?imageID=14856814,http://cdn.usatsimg.com/api/download/?imageID=14856815,2020-08-30T11:01:46,2020-08-30T11:01:53,,[]
21266,ARI,,Shaq,Calhoun,G,Practice Squad,75,310.00,1996-02-20T00:00:00,Mississippi State,3,OL,TRUE,OFF,Shaq Calhoun,25,2nd Season,20-Feb-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21266.png,8,BAL,0,S.Calhoun,,Scrambled,Scrambled,,,ARI,MIA,2019,,,TRUE,6,3,7,,Scrambled,,306990,8b7ee20f-238e-4b6f-b43d-4f9624bf2534,,13845,,181654,,,,32432,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158697,,,,,,[]
21822,ARI,,Cole,McDonald,QB,Practice Squad,76,220.00,1998-05-20T00:00:00,Hawaii,0,QB,TRUE,OFF,Cole McDonald,22,Rookie,20-May-98,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21822.png,8,DEN,0,C.McDonald,2326,Scrambled,Scrambled,,,ARI,TEN,2020,12,291,FALSE,6,4,29,30,Scrambled,,307964,2d907c0c-cf4e-4564-b9eb-560d84f16144,,14493,,121186,,72640,943898,32894,Scrambled,Scrambled,,Scrambled,Cole McDonald,Cole McDonald,,5,Scrambled,Scrambled,FALSE,,,,1,1,,,6307159,,,,,,[]
15854,ARI,,Brett,Maher,K,Practice Squad,72,190.00,1989-11-21T00:00:00,Nebraska,5,K,TRUE,ST,Brett Maher,31,3rd Season,21-Nov-89,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15854.png,8,LAR,0,B.Maher,1006,Scrambled,Scrambled,,,ARI,NYJ,2013,,,TRUE,6,0,2,8,Scrambled,,305815,99c9de87-7fe1-4d5e-928e-586f48af2d79,9136,9054,,40632,,27292,462787,27369,Scrambled,Scrambled,,Scrambled,Brett Maher,Brett Maher,Brett Maher,3,Scrambled,Scrambled,FALSE,,,,1,1,,,8158859,http://cdn.usatsimg.com/api/download/?imageID=11705442,http://cdn.usatsimg.com/api/download/?imageID=11705443,2018-11-20T19:12:51,2018-11-20T19:12:53,,[]
16911,ARI,,David,Parry,DT,Practice Squad,73,308.00,1992-03-07T00:00:00,Stanford,7,DL,TRUE,DEF,David Parry,28,4th Season,7-Mar-92,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16911.png,8,PIT,0,D.Parry,,Scrambled,Scrambled,,,ARI,IND,2015,8,196,FALSE,6,1,3,,Scrambled,,303191,376a61bd-de05-4fb1-a698-7f93fd1a102c,10528,10461,553094,50540,,,,28539,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158901,http://cdn.usatsimg.com/api/download/?imageID=9591407,http://cdn.usatsimg.com/api/download/?imageID=10835479,2016-10-06T22:36:46,2018-05-14T08:59:53,,[]
19001,ARI,,Sean,Harlow,G,Practice Squad,76,284.00,1995-03-28T00:00:00,Oregon State,5,OL,TRUE,OFF,Sean Harlow,25,3rd Season,28-Mar-95,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19001.png,8,TB,0,S.Harlow,,Scrambled,Scrambled,,,ARI,ATL,2017,7,177,FALSE,6,4,13,,Scrambled,,304724,f4f08533-c692-4aba-84fe-fc21101c7bda,,11796,,75448,,,,30249,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158788,http://cdn.usatsimg.com/api/download/?imageID=10311423,http://cdn.usatsimg.com/api/download/?imageID=10370480,2017-09-27T19:42:45,2017-10-26T17:52:31,,[]
19129,ARI,,Khalfani,Muhammad,RB,Practice Squad,67,174.00,1994-09-26T00:00:00,California,2,RB,TRUE,OFF,Khalfani Muhammad,26,1st Season,26-Sep-94,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19129.png,8,DET,0,K.Muhammad,1601.7,Scrambled,Scrambled,,,ARI,TEN,2017,12,313,FALSE,5,7,42,42,Scrambled,,305321,d16f5060-d562-492b-9ab8-4a495920e808,,12089,746973,75100,,41371,746973,30355,Scrambled,Scrambled,,Scrambled,Khalfani Muhammad,Khalfani Muhammad,Khalfani Muhammad,8,Scrambled,Scrambled,FALSE,,,,1,1,746973,Khalfani Muhammad,8158881,,,,,,[]
19591,ARI,,Jamal,Carter,SS,Practice Squad,73,215.00,1994-04-12T00:00:00,Miami (FL),7,DB,TRUE,DEF,Jamal Carter,26,4th Season,12-Apr-94,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19591.png,8,CAR,0,J.Carter,1670.5,Scrambled,Scrambled,,,ARI,DEN,2017,,,TRUE,6,1,23,,Scrambled,,304884,1fc0af83-3c6e-4f4d-aadf-233e501c7241,,11987,739797,75638,,,,30848,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,6811935,http://cdn.usatsimg.com/api/download/?imageID=10370801,http://cdn.usatsimg.com/api/download/?imageID=10427423,2017-10-26T22:41:52,2017-11-20T17:25:02,,[]
20194,ARI,,Rico,Gafford,WR,Practice Squad,61,185.00,1996-05-23T00:00:00,Wyoming,3,WR,TRUE,OFF,Rico Gafford,24,2nd Season,23-May-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20194.png,8,DEN,0,R.Gafford,706.1,Scrambled,Scrambled,,,ARI,TEN,2018,,,TRUE,5,10,29,17,Scrambled,,306506,f7365f88-4cd0-42e9-9e4e-7bade08e9e5b,,13297,944604,123606,,72819,944604,31607,Scrambled,Scrambled,,Scrambled,Rico Gafford,Rico Gafford,Rico Gafford,12,Scrambled,Scrambled,FALSE,,,,1,1,944604,Rico Gafford,8158747,http://cdn.usatsimg.com/api/download/?imageID=13236009,http://cdn.usatsimg.com/api/download/?imageID=13264003,2019-08-20T15:49:38,2019-08-26T12:22:23,,[]
20879,ARI,,Shareef,Miller,DE,Practice Squad,76,254.00,1997-03-14T00:00:00,Penn State,3,DL,TRUE,DEF,Shareef Miller,23,2nd Season,14-Mar-97,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20879.png,8,GB,0,S.Miller,2050.8,Scrambled,Scrambled,,,ARI,PHI,2019,7,179,FALSE,6,4,12,,Scrambled,,306873,26d3edb9-e572-4272-835a-21b63200ea64,,13499,,93730,,,,31970,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158879,http://cdn.usatsimg.com/api/download/?imageID=13248761,http://cdn.usatsimg.com/api/download/?imageID=13248756,2019-08-23T15:45:45,2019-08-23T15:45:37,,[]
