community,size,top_state,state_pct,top_city,n_states,top_subspecialty
64,28,MO,64.3,SAINT LOUIS,11,Obstetrics & Gynecology
490,22,NY,77.3,ROCHESTER,6,Obstetrics & Gynecology
16,20,IL,40.0,CHICAGO,7,Gynecologic Oncology
45,20,RI,55.0,PROVIDENCE,4,Obstetrics & Gynecology
66,14,WV,100.0,BECKLEY,1,Obstetrics & Gynecology
387,12,CA,100.0,SAN FRANCISCO,1,Obstetrics & Gynecology
332,12,NC,91.7,ASHEVILLE,2,Obstetrics & Gynecology
81,11,MA,90.9,SPRINGFIELD,2,Obstetrics & Gynecology
146,11,NC,90.9,GREENVILLE,2,Obstetrics & Gynecology
196,11,PA,54.5,DANVILLE,6,Obstetrics & Gynecology
35,9,NY,100.0,FAYETTEVILLE,1,Obstetrics & Gynecology
268,9,VA,100.0,MECHANICSVILLE,1,Obstetrics & Gynecology
365,9,LA,55.6,HOUMA,5,Obstetrics & Gynecology
0,8,AL,62.5,BIRMINGHAM,3,Gynecologic Oncology
7,8,NY,100.0,BROOKLYN,1,Obstetrics & Gynecology
