county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Baldwin County, AL",01003,2247,43.0,0.01913662661326213,AL
"Calhoun County, AL",01015,1357,16.0,0.011790714812085483,AL
"Etowah County, AL",01055,1214,11.0,0.009060955518945634,AL
"Houston County, AL",01069,1333,0.0,0.0,AL
"Jefferson County, AL",01073,8655,50.0,0.005777007510109763,AL
"Lee County, AL",01081,1898,26.0,0.0136986301369863,AL
"Madison County, AL",01089,4228,82.0,0.019394512771996216,AL
"Mobile County, AL",01097,5504,76.0,0.013808139534883721,AL
"Montgomery County, AL",01101,3139,27.0,0.008601465434851864,AL
"Morgan County, AL",01103,1470,28.0,0.01904761904761905,AL
"Shelby County, AL",01117,2387,17.0,0.007121910347716799,AL
"Tuscaloosa County, AL",01125,2591,43.0,0.01659590891547665,AL
"Unidentified Counties, AL",01999,23128,243.0,0.01050674507090972,AL
"Anchorage Borough, AK",02020,4518,86.0,0.019034971226206288,AK
"Unidentified Counties, AK",02999,6691,132.0,0.019727992826184426,AK
"Cochise County, AZ",04003,1529,16.0,0.010464355788096796,AZ
"Coconino County, AZ",04005,1612,22.0,0.013647642679900745,AZ
"Maricopa County, AZ",04013,54126,411.0,0.007593393193659239,AZ
"Mohave County, AZ",04015,1802,0.0,0.0,AZ
"Navajo County, AZ",04017,1497,21.0,0.014028056112224449,AZ
"Pima County, AZ",04019,11421,197.0,0.017248927414412047,AZ
"Pinal County, AZ",04021,4470,47.0,0.010514541387024609,AZ
"Yavapai County, AZ",04025,1868,17.0,0.009100642398286937,AZ
"Yuma County, AZ",04027,3007,64.0,0.021283671433322247,AZ
"Unidentified Counties, AZ",04999,3188,58.0,0.01819322459222083,AZ
"Benton County, AR",05007,3622,53.0,0.014632799558255107,AR
"Faulkner County, AR",05045,1534,31.0,0.020208604954367666,AR
"Pulaski County, AR",05119,5348,23.0,0.004300673148840688,AR
"Saline County, AR",05125,1326,0.0,0.0,AR
"Sebastian County, AR",05131,1721,32.0,0.018593840790238233,AR
"Washington County, AR",05143,3280,36.0,0.01097560975609756,AR
"Unidentified Counties, AR",05999,21443,225.0,0.010492934757263442,AR
"Alameda County, CA",06001,19573,267.0,0.013641240484340674,CA
"Butte County, CA",06007,2490,25.0,0.010040160642570281,CA
"Contra Costa County, CA",06013,12340,252.0,0.020421393841166938,CA
"El Dorado County, CA",06017,1601,14.0,0.008744534665833853,CA
"Fresno County, CA",06019,15129,50.0,0.003304911097891467,CA
"Humboldt County, CA",06023,1482,31.0,0.020917678812415654,CA
"Imperial County, CA",06025,2939,0.0,0.0,CA
"Kern County, CA",06029,13728,87.0,0.006337412587412587,CA
"Kings County, CA",06031,2248,0.0,0.0,CA
"Los Angeles County, CA",06037,123092,1105.0,0.008977025314398986,CA
"Madera County, CA",06039,2355,84.0,0.035668789808917196,CA
"Marin County, CA",06041,2252,20.0,0.008880994671403197,CA
"Merced County, CA",06047,4117,31.0,0.0075297546757347586,CA
"Monterey County, CA",06053,6219,75.0,0.0120598166907863,CA
"Napa County, CA",06055,1406,21.0,0.014935988620199146,CA
"Orange County, CA",06059,38106,289.0,0.007584107489634178,CA
"Placer County, CA",06061,3732,55.0,0.014737406216505895,CA
"Riverside County, CA",06065,30661,223.0,0.007273083069697661,CA
"Sacramento County, CA",06067,19588,235.0,0.011997141106800082,CA
"San Bernardino County, CA",06071,31032,651.0,0.020978344934261407,CA
"San Diego County, CA",06073,42720,743.0,0.017392322097378277,CA
"San Francisco County, CA",06075,9062,119.0,0.013131758993599647,CA
"San Joaquin County, CA",06077,10268,48.0,0.004674717569146864,CA
"San Luis Obispo County, CA",06079,2581,19.0,0.007361487795428129,CA
"San Mateo County, CA",06081,8960,62.0,0.006919642857142857,CA
"Santa Barbara County, CA",06083,5501,45.0,0.008180330848936558,CA
"Santa Clara County, CA",06085,23042,348.0,0.015102855654891069,CA
"Santa Cruz County, CA",06087,2799,21.0,0.007502679528403001,CA
"Shasta County, CA",06089,2048,0.0,0.0,CA
"Solano County, CA",06095,5259,64.0,0.012169613995056094,CA
"Sonoma County, CA",06097,4962,66.0,0.013301088270858524,CA
"Stanislaus County, CA",06099,7862,24.0,0.0030526583566522513,CA
"Tulare County, CA",06107,7146,27.0,0.003778337531486146,CA
"Ventura County, CA",06111,9592,127.0,0.01324020016680567,CA
"Yolo County, CA",06113,2423,29.0,0.011968633924886504,CA
"Unidentified Counties, CA",06999,10512,137.0,0.013032724505327244,CA
"Adams County, CO",08001,6672,76.0,0.011390887290167866,CO
"Arapahoe County, CO",08005,7910,121.0,0.01529709228824273,CO
"Boulder County, CO",08013,2729,41.0,0.015023818248442653,CO
"Denver County, CO",08031,10006,171.0,0.017089746152308617,CO
"Douglas County, CO",08035,3488,68.0,0.0194954128440367,CO
"El Paso County, CO",08041,9490,83.0,0.008746048472075869,CO
"Jefferson County, CO",08059,6104,67.0,0.010976408912188729,CO
"Larimer County, CO",08069,3375,35.0,0.01037037037037037,CO
"Mesa County, CO",08077,1770,16.0,0.00903954802259887,CO
"Pueblo County, CO",08101,1883,19.0,0.01009028146574615,CO
"Weld County, CO",08123,4306,50.0,0.011611704598235021,CO
"Unidentified Counties, CO",08999,8880,133.0,0.014977477477477477,CO
"Fairfield County, CT",09001,10064,108.0,0.010731319554848967,CT
"Hartford County, CT",09003,9442,94.0,0.009955517898750264,CT
"Litchfield County, CT",09005,1422,23.0,0.01617440225035162,CT
"Middlesex County, CT",09007,1277,22.0,0.017227877838684416,CT
"New Haven County, CT",09009,8886,131.0,0.014742291244654513,CT
"New London County, CT",09011,2647,22.0,0.00831129580657348,CT
"Tolland County, CT",09013,1175,20.0,0.01702127659574468,CT
"Windham County, CT",09015,1102,25.0,0.022686025408348458,CT
"Kent County, DE",10001,2190,53.0,0.024200913242009132,DE
"New Castle County, DE",10003,6501,189.0,0.029072450392247345,DE
"Sussex County, DE",10005,2301,48.0,0.020860495436766623,DE
"District of Columbia, DC",11001,9858,71.0,0.007202272266179753,DC
"Alachua County, FL",12001,2862,10.0,0.0034940600978336828,FL
"Bay County, FL",12005,2343,15.0,0.006402048655569782,FL
"Brevard County, FL",12009,5273,16.0,0.0030343258107339275,FL
"Broward County, FL",12011,22563,85.0,0.003767229535079555,FL
"Charlotte County, FL",12015,1037,0.0,0.0,FL
"Citrus County, FL",12017,1064,0.0,0.0,FL
"Clay County, FL",12019,2209,14.0,0.006337709370755998,FL
"Collier County, FL",12021,3322,40.0,0.012040939193257074,FL
"Duval County, FL",12031,13292,144.0,0.010833584110743304,FL
