Category,Metric,Value,Detail,Value_Formatted
Data Scope,OB-GYN Providers,60422,Individual providers with 207V taxonomy code,"60,422"
Data Scope,Non-OB-GYN Individuals,37114,Individual providers sharing patients with OB-GYNs,"37,114"
Data Scope,Non-OB-GYN Organizations,8031,"Facilities, hospitals, labs sharing patients with OB-GYNs","8,031"
Data Scope,Total Providers in Network,106949,All unique providers (individuals + organizations) in the edge list,"106,949"
Data Scope,OB-GYN Subspecialties,10,Distinct 207V taxonomy classifications,10
Data Scope,Non-OB-GYN Classifications,134,Distinct NUCC classifications for other providers,134
Network,Total Edges (all),243052,All provider pairs sharing >= 11 Medicare patients within 60 days,"243,052"
Network,Individual-to-Individual Edges,105891,Edges used for network analysis (organizations excluded),"105,891"
Network,OB-GYN to OB-GYN Edges,3751,Both providers are OB-GYN individuals,"3,751"
Network,OB-GYN to Other Individual Edges,102140,OB-GYN paired with a different individual specialist,"102,140"
Outcomes,Counties with Morbidity Data,626,CDC WONDER 2016 county-level maternal morbidity,626
Outcomes,Total Births Tracked,3945875,Across all counties in the dataset,"3,945,875"
