Source,Target,Edge_Count,Shared_Patients
Obstetrics & Gynecology,Radiology,30426,617401
Obstetrics & Gynecology,Internal Medicine,11586,210624
Gynecologic Oncology,Radiology,6248,107481
Gynecology,Radiology,5923,136067
Obstetrics & Gynecology,Pathology,5239,115070
Obstetrics & Gynecology,Family Medicine,3459,72331
Gynecology,Internal Medicine,3265,71157
Gynecologic Oncology,Pathology,2400,44240
Gynecologic Oncology,Internal Medicine,2023,41389
Obstetrics & Gynecology,Nurse Practitioner,1983,48595
Obstetrics & Gynecology,Specialist,1959,39543
Obstetrics,Radiology,1753,42844
Obstetrics & Gynecology,Ophthalmology,1251,19274
Obstetrics & Gynecology,Emergency Medicine,1229,23846
Female Pelvic Medicine and Reconstructive Surgery,Radiology,1160,21133
Obstetrics,Internal Medicine,1017,19324
Obstetrics & Gynecology,Dermatology,968,14782
Gynecology,Pathology,960,24964
Obstetrics & Gynecology,Physician Assistant,906,22164
Obstetrics & Gynecology,Podiatrist,899,17121
Female Pelvic Medicine and Reconstructive Surgery,Internal Medicine,807,13166
Gynecology,Family Medicine,679,14515
Obstetrics & Gynecology,Surgery,634,12622
Obstetrics,Family Medicine,544,13154
Obstetrics & Gynecology,Anesthesiology,539,8074
Gynecologic Oncology,Nurse Practitioner,517,13799
Gynecology,Ophthalmology,511,8873
Gynecology,Specialist,485,10804
Obstetrics & Gynecology,Psychiatry & Neurology,479,9812
Gynecology,Dermatology,475,8242
Obstetrics & Gynecology,Urology,423,8519
Obstetrics & Gynecology,Student in an Organized Health Care Education/Training Program,407,7190
Gynecology,Nurse Practitioner,394,10155
Obstetrics & Gynecology,Orthopaedic Surgery,385,7198
Obstetrics & Gynecology,Optometrist,318,5974
Gynecologic Oncology,Physician Assistant,301,6999
Obstetrics,Emergency Medicine,293,5538
Gynecologic Oncology,Anesthesiology,267,4148
Gynecology,Podiatrist,267,4693
Obstetrics & Gynecology,Otolaryngology,262,4099
Obstetrics & Gynecology,Nuclear Medicine,251,4620
Gynecology,Anesthesiology,250,4721
Gynecologic Oncology,Specialist,238,4808
Obstetrics & Gynecology,"Nurse Anesthetist, Certified Registered",226,3499
Female Pelvic Medicine and Reconstructive Surgery,Pathology,225,4813
Gynecology,Orthopaedic Surgery,201,3897
Obstetrics & Gynecology,Hospitalist,196,3865
Female Pelvic Medicine and Reconstructive Surgery,Urology,192,5657
Gynecology,Emergency Medicine,184,5041
Gynecology,Surgery,170,3857
Gynecology,Physician Assistant,168,3825
Obstetrics,Pathology,166,3417
Obstetrics & Gynecology,General Practice,160,4367
Female Pelvic Medicine and Reconstructive Surgery,Nurse Practitioner,157,4707
Gynecology,Urology,142,2704
Obstetrics,Ophthalmology,135,2343
Obstetrics & Gynecology,Physical Medicine & Rehabilitation,133,3307
Obstetrics & Gynecology,Registered Nurse,127,2913
Gynecology,Psychiatry & Neurology,123,2466
Obstetrics,Nurse Practitioner,119,2906
Obstetrics,Specialist,109,2058
Gynecology,Otolaryngology,108,2183
Obstetrics,Physician Assistant,98,1957
Female Pelvic Medicine and Reconstructive Surgery,Anesthesiology,98,1428
Critical Care Medicine,Radiology,98,2479
Obstetrics,Podiatrist,93,1990
Gynecologic Oncology,Nuclear Medicine,92,1534
Gynecology,"Nurse Anesthetist, Certified Registered",91,1586
Obstetrics,Hospitalist,90,1576
Critical Care Medicine,Internal Medicine,89,1779
Maternal & Fetal Medicine,Radiology,87,1732
Female Pelvic Medicine and Reconstructive Surgery,Family Medicine,86,1397
Gynecology,Optometrist,84,1425
Gynecologic Oncology,Surgery,83,1277
Reproductive Endocrinology,Radiology,81,1520
Obstetrics & Gynecology,Pediatrics,81,1400
Female Pelvic Medicine and Reconstructive Surgery,Specialist,80,1885
Female Pelvic Medicine and Reconstructive Surgery,Physician Assistant,80,2411
Obstetrics & Gynecology,Advanced Practice Midwife,80,1683
Gynecology,Student in an Organized Health Care Education/Training Program,78,2320
Obstetrics & Gynecology,Physical Therapist,76,2843
Female Pelvic Medicine and Reconstructive Surgery,Podiatrist,74,1185
Female Pelvic Medicine and Reconstructive Surgery,Ophthalmology,72,1044
Gynecologic Oncology,Student in an Organized Health Care Education/Training Program,72,1126
Hospice and Palliative Medicine,Radiology,70,1713
Hospice and Palliative Medicine,Internal Medicine,70,1496
Gynecologic Oncology,"Nurse Anesthetist, Certified Registered",69,1184
Gynecology,Nuclear Medicine,66,1953
Obstetrics & Gynecology,Psychologist,66,1584
Obstetrics,Surgery,65,1237
Obstetrics,Orthopaedic Surgery,64,1096
Obstetrics,Dermatology,57,930
Obstetrics,Psychiatry & Neurology,55,1171
Maternal & Fetal Medicine,Internal Medicine,54,920
Obstetrics & Gynecology,Chiropractor,53,1249
Obstetrics,Optometrist,52,948
Gynecologic Oncology,Family Medicine,51,839
Obstetrics,Urology,50,911
Gynecology,Physical Medicine & Rehabilitation,47,783
Female Pelvic Medicine and Reconstructive Surgery,Dermatology,46,712
Obstetrics & Gynecology,Clinical Nurse Specialist,46,1072
Obstetrics,Student in an Organized Health Care Education/Training Program,44,789
Obstetrics & Gynecology,Allergy & Immunology,41,572
Gynecology,Hospitalist,40,982
Reproductive Endocrinology,Internal Medicine,36,521
Obstetrics,"Nurse Anesthetist, Certified Registered",36,612
Female Pelvic Medicine and Reconstructive Surgery,"Nurse Anesthetist, Certified Registered",35,494
Gynecology,Registered Nurse,34,1311
Obstetrics & Gynecology,Pain Medicine,34,469
Female Pelvic Medicine and Reconstructive Surgery,Emergency Medicine,34,463
Gynecologic Oncology,Registered Nurse,34,636
Female Pelvic Medicine and Reconstructive Surgery,Physical Therapist,31,666
Obstetrics & Gynecology,Social Worker,30,471
Gynecology,General Practice,29,451
Female Pelvic Medicine and Reconstructive Surgery,Nuclear Medicine,28,767
Obstetrics & Gynecology,Unknown,28,443
Maternal & Fetal Medicine,Pathology,27,595
Female Pelvic Medicine and Reconstructive Surgery,Psychiatry & Neurology,26,318
Obstetrics & Gynecology,Neurological Surgery,25,500
Gynecologic Oncology,Urology,24,822
Obstetrics & Gynecology,Preventive Medicine,24,524
Obstetrics & Gynecology,Legal Medicine,24,341
Female Pelvic Medicine and Reconstructive Surgery,Student in an Organized Health Care Education/Training Program,23,396
Obstetrics,Otolaryngology,22,375
Obstetrics,Physical Medicine & Rehabilitation,21,343
Obstetrics,Nuclear Medicine,21,748
Gynecology,Allergy & Immunology,21,367
Gynecology,Chiropractor,21,408
Gynecologic Oncology,Emergency Medicine,21,480
Obstetrics & Gynecology,"Spec/Tech, Pathology",21,304
Gynecology,Pain Medicine,20,359
Gynecology,Neurological Surgery,20,301
Obstetrics & Gynecology,Thoracic Surgery (Cardiothoracic Vascular Surgery),20,396
Female Pelvic Medicine and Reconstructive Surgery,Orthopaedic Surgery,20,262
Hospice and Palliative Medicine,Emergency Medicine,18,275
Gynecology,Physical Therapist,18,265
