State,Total OB-GYNs,Connected OB-GYNs,Pct Connected,Pct Isolated,Mean Degree,Median Degree,Max Degree
AL,706,293,41.5,58.5,4.7,0.0,158
AK,141,14,9.9,90.1,1.7,0.0,78
AZ,1073,135,12.6,87.4,1.5,0.0,216
AR,365,136,37.3,62.7,5.7,0.0,770
CA,6655,1075,16.2,83.8,1.4,0.0,341
CO,1177,130,11.0,89.0,1.1,0.0,639
CT,956,292,30.5,69.5,1.4,0.0,77
DE,190,54,28.4,71.6,5.0,0.0,141
DC,338,20,5.9,94.1,0.3,0.0,27
FL,3628,781,21.5,78.5,3.0,0.0,557
GA,1905,387,20.3,79.7,1.7,0.0,98
HI,347,67,19.3,80.7,1.4,0.0,45
ID,236,38,16.1,83.9,0.8,0.0,17
IL,2586,502,19.4,80.6,1.4,0.0,135
IN,1099,291,26.5,73.5,2.7,0.0,319
IA,411,115,28.0,72.0,1.8,0.0,90
KS,448,96,21.4,78.6,1.4,0.0,77
KY,727,225,30.9,69.1,2.3,0.0,64
LA,819,249,30.4,69.6,2.3,0.0,91
ME,244,74,30.3,69.7,1.7,0.0,64
MD,1377,201,14.6,85.4,1.9,0.0,342
MA,1541,340,22.1,77.9,2.0,0.0,305
MI,2125,408,19.2,80.8,1.1,0.0,77
MN,1074,108,10.1,89.9,0.5,0.0,39
MS,381,172,45.1,54.9,3.7,0.0,116
MO,1140,295,25.9,74.1,2.4,0.0,170
MT,178,38,21.3,78.7,1.8,0.0,45
NE,337,73,21.7,78.3,3.1,0.0,176
NV,445,57,12.8,87.2,0.8,0.0,148
NH,289,111,38.4,61.6,2.3,0.0,40
NJ,1813,391,21.6,78.4,1.8,0.0,122
NM,336,61,18.2,81.8,1.1,0.0,72
NY,4474,818,18.3,81.7,1.6,0.0,335
NC,2010,423,21.0,79.0,2.1,0.0,126
ND,105,30,28.6,71.4,1.3,0.0,41
OH,2081,440,21.1,78.9,1.6,0.0,222
OK,565,137,24.2,75.8,3.3,0.0,272
OR,870,95,10.9,89.1,0.7,0.0,48
PA,2642,633,24.0,76.0,2.3,0.0,234
RI,270,59,21.9,78.1,1.8,0.0,71
SC,931,254,27.3,72.7,2.8,0.0,136
SD,122,30,24.6,75.4,2.9,0.0,62
TN,1121,319,28.5,71.5,2.5,0.0,189
TX,4611,823,17.8,82.2,1.4,0.0,230
UT,509,44,8.6,91.4,0.6,0.0,128
VT,134,32,23.9,76.1,2.7,0.0,85
VA,1591,338,21.2,78.8,2.1,0.0,169
WA,1358,145,10.7,89.3,0.9,0.0,136
WV,240,106,44.2,55.8,5.6,0.0,429
WI,980,171,17.4,82.6,1.1,0.0,75
WY,89,22,24.7,75.3,1.7,0.0,47
