Community,OB-GYN Count,Primary State,State Concentration (%),Primary City,States Spanned,Top Subspecialty
64,28,MO,64.3,SAINT LOUIS,11,Obstetrics & Gynecology
490,22,NY,77.3,ROCHESTER,6,Obstetrics & Gynecology
16,20,IL,40.0,CHICAGO,7,Gynecologic Oncology
45,20,RI,55.0,PROVIDENCE,4,Obstetrics & Gynecology
66,14,WV,100.0,BECKLEY,1,Obstetrics & Gynecology
387,12,CA,100.0,SAN FRANCISCO,1,Obstetrics & Gynecology
332,12,NC,91.7,ASHEVILLE,2,Obstetrics & Gynecology
81,11,MA,90.9,SPRINGFIELD,2,Obstetrics & Gynecology
146,11,NC,90.9,GREENVILLE,2,Obstetrics & Gynecology
196,11,PA,54.5,DANVILLE,6,Obstetrics & Gynecology
35,9,NY,100.0,FAYETTEVILLE,1,Obstetrics & Gynecology
268,9,VA,100.0,MECHANICSVILLE,1,Obstetrics & Gynecology
365,9,LA,55.6,HOUMA,5,Obstetrics & Gynecology
0,8,AL,62.5,BIRMINGHAM,3,Gynecologic Oncology
7,8,NY,100.0,BROOKLYN,1,Obstetrics & Gynecology
524,8,FL,100.0,BOYNTON BEACH,1,Obstetrics & Gynecology
46,8,PA,100.0,PHILADELPHIA,1,Obstetrics & Gynecology
91,8,LA,75.0,SHREVEPORT,3,Obstetrics & Gynecology
142,8,ME,87.5,PORTLAND,2,Obstetrics & Gynecology
211,8,FL,87.5,JACKSONVILLE,2,Obstetrics & Gynecology
239,8,NC,75.0,ASHEVILLE,3,Gynecology
409,8,CA,75.0,COLTON,3,Gynecologic Oncology
487,8,IL,87.5,BLOOMINGDALE,2,Obstetrics & Gynecology
493,8,VA,50.0,NORFOLK,3,Maternal & Fetal Medicine
497,8,AL,62.5,BIRMINGHAM,4,Maternal & Fetal Medicine
614,8,MI,75.0,ANN ARBOR,3,Obstetrics & Gynecology
643,7,AR,85.7,LITTLE ROCK,2,Gynecology
104,7,MI,100.0,ANN ARBOR,1,Obstetrics & Gynecology
155,7,CA,57.1,SACRAMENTO,3,Gynecologic Oncology
163,7,NC,71.4,DURHAM,3,Gynecologic Oncology
173,7,NC,71.4,CHAPEL HILL,3,Gynecologic Oncology
366,7,PA,42.9,WASHINGTON,4,Obstetrics & Gynecology
421,7,OH,100.0,CANTON,1,Obstetrics & Gynecology
573,7,NJ,100.0,CAMDEN,1,Obstetrics & Gynecology
2,6,MS,66.7,JACKSON,3,Obstetrics & Gynecology
22,6,CO,83.3,AURORA,2,Obstetrics & Gynecology
25,6,WI,83.3,MADISON,2,Gynecologic Oncology
36,6,PA,33.3,YORK,5,Obstetrics & Gynecology
38,6,MI,100.0,FLINT,1,Obstetrics & Gynecology
40,6,AL,50.0,BIRMINGHAM,4,Obstetrics & Gynecology
67,6,NY,100.0,SOUTHAMPTON,1,Obstetrics & Gynecology
72,6,NC,100.0,WINSTON-SALEM,1,Obstetrics & Gynecology
78,6,MA,66.7,CAMBRIDGE,3,Female Pelvic Medicine and Reconstructive Surgery
89,6,FL,83.3,KISSIMMEE,2,Obstetrics & Gynecology
241,6,CA,83.3,LONG BEACH,2,Obstetrics & Gynecology
264,6,OH,83.3,HILLIARD,2,Gynecologic Oncology
277,6,PA,100.0,YORK,1,Obstetrics & Gynecology
297,6,PA,83.3,ERIE,2,Obstetrics & Gynecology
395,6,CA,100.0,SANTA ROSA,1,Obstetrics & Gynecology
