State,Provider Tier,Provider Count,State Total,Percent of State
AK,Connected,5,141,3.5
AK,Hub,4,141,2.8
AK,Isolated,127,141,90.1
AK,Peripheral,5,141,3.5
AL,Connected,88,706,12.5
AL,Hub,45,706,6.4
AL,Isolated,413,706,58.5
AL,Peripheral,160,706,22.7
AR,Connected,36,365,9.9
AR,Hub,17,365,4.7
AR,Isolated,229,365,62.7
AR,Peripheral,83,365,22.7
AZ,Connected,34,1073,3.2
AZ,Hub,23,1073,2.1
AZ,Isolated,938,1073,87.4
AZ,Peripheral,78,1073,7.3
CA,Connected,216,6655,3.2
CA,Hub,109,6655,1.6
CA,Isolated,5580,6655,83.8
CA,Peripheral,750,6655,11.3
CO,Connected,19,1177,1.6
CO,Hub,6,1177,0.5
CO,Isolated,1047,1177,89.0
CO,Peripheral,105,1177,8.9
CT,Connected,59,956,6.2
CT,Hub,5,956,0.5
CT,Isolated,664,956,69.5
CT,Peripheral,228,956,23.8
DC,Connected,2,338,0.6
DC,Hub,2,338,0.6
DC,Isolated,318,338,94.1
DC,Peripheral,16,338,4.7
DE,Connected,18,190,9.5
DE,Hub,12,190,6.3
DE,Isolated,136,190,71.6
DE,Peripheral,24,190,12.6
FL,Connected,182,3628,5.0
FL,Hub,134,3628,3.7
FL,Isolated,2847,3628,78.5
FL,Peripheral,465,3628,12.8
GA,Connected,98,1905,5.1
GA,Hub,43,1905,2.3
GA,Isolated,1518,1905,79.7
GA,Peripheral,246,1905,12.9
HI,Connected,17,347,4.9
HI,Hub,4,347,1.2
HI,Isolated,280,347,80.7
HI,Peripheral,46,347,13.3
IA,Connected,20,411,4.9
IA,Hub,7,411,1.7
IA,Isolated,296,411,72.0
IA,Peripheral,88,411,21.4
ID,Connected,10,236,4.2
ID,Isolated,198,236,83.9
ID,Peripheral,28,236,11.9
IL,Connected,99,2586,3.8
IL,Hub,41,2586,1.6
IL,Isolated,2084,2586,80.6
IL,Peripheral,362,2586,14.0
IN,Connected,55,1099,5.0
IN,Hub,25,1099,2.3
IN,Isolated,808,1099,73.5
IN,Peripheral,211,1099,19.2
KS,Connected,16,448,3.6
KS,Hub,7,448,1.6
KS,Isolated,352,448,78.6
KS,Peripheral,73,448,16.3
KY,Connected,55,727,7.6
KY,Hub,19,727,2.6
KY,Isolated,502,727,69.1
KY,Peripheral,151,727,20.8
LA,Connected,80,819,9.8
LA,Hub,17,819,2.1
LA,Isolated,570,819,69.6
LA,Peripheral,152,819,18.6
MA,Connected,101,1541,6.6
MA,Hub,30,1541,1.9
MA,Isolated,1201,1541,77.9
MA,Peripheral,209,1541,13.6
MD,Connected,54,1377,3.9
MD,Hub,32,1377,2.3
MD,Isolated,1176,1377,85.4
MD,Peripheral,115,1377,8.4
ME,Connected,14,244,5.7
ME,Hub,3,244,1.2
ME,Isolated,170,244,69.7
ME,Peripheral,57,244,23.4
MI,Connected,73,2125,3.4
MI,Hub,21,2125,1.0
MI,Isolated,1717,2125,80.8
MI,Peripheral,314,2125,14.8
MN,Connected,19,1074,1.8
MN,Hub,2,1074,0.2
MN,Isolated,966,1074,89.9
MN,Peripheral,87,1074,8.1
MO,Connected,67,1140,5.9
MO,Hub,32,1140,2.8
MO,Isolated,845,1140,74.1
MO,Peripheral,196,1140,17.2
