FIPS,County,State,Total OB-GYNs,Connected OB-GYNs,Hub Providers,Isolated OB-GYNs,Mean Degree,Pct Connected,Pct Isolated,Pct Hub,Subspecialties,Total Births,Morbidity Births,Morbidity Rate Raw,OB-GYN per 10K Births,Mean Betweenness,Mean Shared Patients,Morbidity Rate (%)
01003,"Baldwin County, AL",AL,29,14,4,15,3.55,48.3,51.7,13.8,4,2247,43.0,0.0191366266132621,129.1,1.4e-05,65.5,1.91
01015,"Calhoun County, AL",AL,12,9,1,3,6.33,75.0,25.0,8.3,2,1357,16.0,0.0117907148120854,88.4,0.004679,106.7,1.18
01055,"Etowah County, AL",AL,8,6,0,2,1.88,75.0,25.0,0.0,2,1214,11.0,0.0090609555189456,65.9,4.9e-05,34.1,0.91
01069,"Houston County, AL",AL,30,23,4,7,10.53,76.7,23.3,13.3,3,1333,0.0,0.0,225.1,0.000851,183.2,0.0
01073,"Jefferson County, AL",AL,220,74,3,146,1.54,33.6,66.4,1.4,7,8655,50.0,0.0057770075101097,254.2,2.5e-05,28.1,0.58
01081,"Lee County, AL",AL,20,13,3,7,5.7,65.0,35.0,15.0,3,1898,26.0,0.0136986301369863,105.4,6.9e-05,90.2,1.37
01089,"Madison County, AL",AL,78,20,3,58,1.73,25.6,74.4,3.8,6,4228,82.0,0.0193945127719962,184.5,6e-05,28.4,1.94
01097,"Mobile County, AL",AL,104,34,3,70,1.96,32.7,67.3,2.9,7,5504,76.0,0.0138081395348837,189.0,5.8e-05,33.7,1.38
01101,"Montgomery County, AL",AL,42,18,3,24,3.02,42.9,57.1,7.1,3,3139,27.0,0.0086014654348518,133.8,0.00012,48.2,0.86
01103,"Morgan County, AL",AL,14,6,2,8,6.07,42.9,57.1,14.3,3,1470,28.0,0.019047619047619,95.2,9.4e-05,116.5,1.9
01117,"Shelby County, AL",AL,12,3,0,9,0.58,25.0,75.0,0.0,3,2387,17.0,0.0071219103477167,50.3,0.0,7.8,0.71
01125,"Tuscaloosa County, AL",AL,17,7,1,10,3.35,41.2,58.8,5.9,1,2591,43.0,0.0165959089154766,65.6,8.9e-05,55.2,1.66
02020,"Anchorage Borough, AK",AK,87,5,0,82,0.24,5.7,94.3,0.0,7,4518,86.0,0.0190349712262062,192.6,0.0,3.7,1.9
04003,"Cochise County, AZ",AZ,8,3,0,5,0.75,37.5,62.5,0.0,1,1529,16.0,0.0104643557880967,52.3,0.0,9.6,1.05
04005,"Coconino County, AZ",AZ,37,6,1,31,0.68,16.2,83.8,2.7,2,1612,22.0,0.0136476426799007,229.5,0.0,9.6,1.36
04013,"Maricopa County, AZ",AZ,725,69,13,656,0.87,9.5,90.5,1.8,9,54126,411.0,0.0075933931936592,134.0,4.2e-05,16.1,0.76
04015,"Mohave County, AZ",AZ,12,6,2,6,6.0,50.0,50.0,16.7,3,1802,0.0,0.0,66.6,0.0,104.9,0.0
04017,"Navajo County, AZ",AZ,6,1,0,5,0.5,16.7,83.3,0.0,1,1497,21.0,0.0140280561122244,40.1,0.0,6.7,1.4
04019,"Pima County, AZ",AZ,182,29,5,153,1.15,15.9,84.1,2.7,7,11421,197.0,0.017248927414412,159.4,0.000111,22.6,1.72
04021,"Pinal County, AZ",AZ,23,0,0,23,0.0,0.0,100.0,0.0,4,4470,47.0,0.0105145413870246,51.4,0.0,0.0,1.05
04025,"Yavapai County, AZ",AZ,17,8,2,9,4.24,47.1,52.9,11.8,3,1868,17.0,0.0091006423982869,91.0,1.2e-05,70.3,0.91
04027,"Yuma County, AZ",AZ,24,9,0,15,1.17,37.5,62.5,0.0,2,3007,64.0,0.0212836714333222,79.8,5.4e-05,19.0,2.13
05007,"Benton County, AR",AR,36,9,3,27,2.5,25.0,75.0,8.3,4,3622,53.0,0.0146327995582551,99.4,8.5e-05,40.6,1.46
05045,"Faulkner County, AR",AR,22,12,0,10,2.18,54.5,45.5,0.0,2,1534,31.0,0.0202086049543676,143.4,3.6e-05,32.0,2.02
05119,"Pulaski County, AR",AR,129,39,4,90,4.93,30.2,69.8,3.1,8,5348,23.0,0.0043006731488406,241.2,9.6e-05,138.2,0.43
05125,"Saline County, AR",AR,5,1,0,4,1.6,20.0,80.0,0.0,2,1326,0.0,0.0,37.7,0.000113,21.6,0.0
05131,"Sebastian County, AR",AR,27,11,2,16,2.33,40.7,59.3,7.4,3,1721,32.0,0.0185938407902382,156.9,2.9e-05,39.7,1.86
05143,"Washington County, AR",AR,35,11,0,24,0.83,31.4,68.6,0.0,4,3280,36.0,0.0109756097560975,106.7,6e-06,13.0,1.1
06001,"Alameda County, CA",CA,376,48,4,328,0.63,12.8,87.2,1.1,8,19573,267.0,0.0136412404843406,192.1,8.8e-05,11.0,1.36
06007,"Butte County, CA",CA,33,12,3,21,3.3,36.4,63.6,9.1,5,2490,25.0,0.0100401606425702,132.5,3.2e-05,51.3,1.0
06013,"Contra Costa County, CA",CA,179,24,1,155,0.7,13.4,86.6,0.6,8,12340,252.0,0.0204213938411669,145.1,8.6e-05,11.3,2.04
06017,"El Dorado County, CA",CA,17,8,0,9,1.71,47.1,52.9,0.0,2,1601,14.0,0.0087445346658338,106.2,0.0,26.2,0.87
06019,"Fresno County, CA",CA,145,44,1,101,0.84,30.3,69.7,0.7,6,15129,50.0,0.0033049110978914,95.8,6e-06,14.2,0.33
06023,"Humboldt County, CA",CA,13,5,2,8,4.15,38.5,61.5,15.4,3,1482,31.0,0.0209176788124156,87.7,0.0,90.2,2.09
06025,"Imperial County, CA",CA,16,6,2,10,4.69,37.5,62.5,12.5,3,2939,0.0,0.0,54.4,0.0,86.4,0.0
06029,"Kern County, CA",CA,101,18,0,83,0.46,17.8,82.2,0.0,9,13728,87.0,0.0063374125874125,73.6,2e-06,6.2,0.63
06031,"Kings County, CA",CA,4,3,0,1,2.5,75.0,25.0,0.0,2,2248,0.0,0.0,17.8,0.0,33.5,0.0
06037,"Los Angeles County, CA",CA,1670,237,34,1433,1.06,14.2,85.8,2.0,9,123092,1105.0,0.0089770253143989,135.7,8.7e-05,20.7,0.9
06039,"Madera County, CA",CA,17,3,0,14,0.59,17.6,82.4,0.0,4,2355,84.0,0.0356687898089171,72.2,0.0,9.3,3.57
06041,"Marin County, CA",CA,61,16,5,45,2.75,26.2,73.8,8.2,4,2252,20.0,0.0088809946714031,270.9,8.6e-05,46.2,0.89
