State,Total Births,Morbidity Births,Counties Reporting,Morbidity Rate (%)
AL,59151,662,13,1.12
AK,11209,218,2,1.94
AZ,84520,853,10,1.01
AR,38274,400,7,1.05
CA,488827,5394,36,1.1
CO,66613,880,12,1.32
CT,36015,445,8,1.24
DE,10992,290,3,2.64
DC,9858,71,1,0.72
FL,225022,1398,34,0.62
GA,130042,1136,25,0.87
HI,18059,237,4,1.31
ID,22482,344,5,1.53
IL,154445,2608,21,1.69
IN,83091,1048,18,1.26
IA,39403,695,7,1.76
KS,38053,410,6,1.08
KY,55449,588,7,1.06
LA,63178,621,15,0.98
ME,12705,179,6,1.41
MD,73136,945,14,1.29
MA,71317,1084,12,1.52
MI,113315,1396,21,1.23
MN,69749,1084,11,1.55
MS,37928,313,6,0.83
MO,74705,1080,11,1.45
MT,12282,196,3,1.6
NE,26589,546,4,2.05
NV,36260,332,3,0.92
NH,12267,203,5,1.65
NJ,102647,1338,20,1.3
NM,24692,612,6,2.48
NY,234283,4468,29,1.91
NC,120779,1537,28,1.27
ND,11383,249,2,2.19
OH,138085,2670,29,1.93
OK,52592,489,6,0.93
OR,45535,724,10,1.59
PA,139409,2864,32,2.05
RI,10798,172,4,1.59
SC,57342,704,16,1.23
SD,12275,164,3,1.34
TN,80807,720,13,0.89
TX,398047,3422,40,0.86
UT,50464,842,7,1.67
VT,5756,121,2,2.1
VA,102460,567,16,0.55
WA,90505,1610,13,1.78
WV,19079,265,3,1.39
WI,66615,1139,16,1.71
WY,7386,107,1,1.45
