State,Total OB-GYNs,Total Births,Morbidity Births,OB-GYN per 10K Births,Mean Degree,Morbidity Rate (%)
DE,190,10992,290.0,172.9,4.99,2.64
NM,336,24692,612.0,136.1,1.09,2.48
ND,105,11383,249.0,92.2,1.34,2.19
VT,134,5756,121.0,232.8,2.66,2.1
PA,2642,139409,2864.0,189.5,2.28,2.05
NE,337,26589,546.0,126.7,3.06,2.05
AK,141,11209,218.0,125.8,1.7,1.94
OH,2081,138085,2670.0,150.7,1.56,1.93
NY,4474,234283,4468.0,191.0,1.58,1.91
WA,1358,90505,1610.0,150.0,0.91,1.78
IA,411,39403,695.0,104.3,1.82,1.76
WI,980,66615,1139.0,147.1,1.09,1.71
IL,2586,154445,2608.0,167.4,1.4,1.69
UT,509,50464,842.0,100.9,0.63,1.67
NH,289,12267,203.0,235.6,2.28,1.65
MT,178,12282,196.0,144.9,1.76,1.6
RI,270,10798,172.0,250.0,1.82,1.59
OR,870,45535,724.0,191.1,0.71,1.59
MN,1074,69749,1084.0,154.0,0.48,1.55
ID,236,22482,344.0,105.0,0.75,1.53
MA,1541,71317,1084.0,216.1,2.0,1.52
WY,89,7386,107.0,120.5,1.69,1.45
MO,1140,74705,1080.0,152.6,2.37,1.45
ME,244,12705,179.0,192.1,1.71,1.41
WV,240,19079,265.0,125.8,5.61,1.39
SD,122,12275,164.0,99.4,2.93,1.34
CO,1177,66613,880.0,176.7,1.07,1.32
HI,347,18059,237.0,192.1,1.4,1.31
NJ,1813,102647,1338.0,176.6,1.75,1.3
MD,1377,73136,945.0,188.3,1.9,1.29
NC,2010,120779,1537.0,166.4,2.1,1.27
IN,1099,83091,1048.0,132.3,2.71,1.26
CT,956,36015,445.0,265.4,1.37,1.24
MI,2125,113315,1396.0,187.5,1.1,1.23
SC,931,57342,704.0,162.4,2.84,1.23
AL,706,59151,662.0,119.4,4.74,1.12
CA,6655,488827,5394.0,136.1,1.43,1.1
KS,448,38053,410.0,117.7,1.37,1.08
KY,727,55449,588.0,131.1,2.32,1.06
AR,365,38274,400.0,95.4,5.71,1.05
AZ,1073,84520,853.0,127.0,1.52,1.01
LA,819,63178,621.0,129.6,2.34,0.98
OK,565,52592,489.0,107.4,3.28,0.93
NV,445,36260,332.0,122.7,0.81,0.92
TN,1121,80807,720.0,138.7,2.45,0.89
GA,1905,130042,1136.0,146.5,1.67,0.87
TX,4611,398047,3422.0,115.8,1.42,0.86
MS,381,37928,313.0,100.5,3.72,0.83
DC,338,9858,71.0,342.9,0.33,0.72
FL,3628,225022,1398.0,161.2,2.98,0.62
VA,1591,102460,567.0,155.3,2.1,0.55
