state,n_providers,n_connected,n_hubs,n_isolated,mean_degree,median_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_communities,pct_connected,pct_hub,pct_isolated
CA,6655,1075,109,5580,0.938542449286251,0.0,4.035403559601765e-05,1.7595478437025755e-16,16.83275732531931,99,16.2,1.6,83.8
TX,4611,823,71,3788,0.9464324441552808,0.0,3.296912988781694e-05,9.681909514501732e-11,17.3244415528085,73,17.8,1.5,82.2
NY,4474,818,78,3656,1.062136790344211,0.0,2.9016198926530123e-05,2.3899453022580408e-16,18.335270451497543,104,18.3,1.7,81.7
FL,3628,781,134,2847,2.005237045203969,0.0,0.00010797384291128654,0.00020638122279345955,36.731256890848954,97,21.5,3.7,78.5
PA,2642,633,77,2009,1.5643451930355792,0.0,5.991147177060196e-05,1.912078850935213e-19,25.43224829674489,85,24.0,2.9,76.0
IL,2586,502,41,2084,0.9667440061871616,0.0,6.561405722210356e-05,1.4691370408275405e-10,16.042536736272236,48,19.4,1.6,80.6
MI,2125,408,21,1717,0.76,0.0,5.992277832070132e-05,5.1179809747854026e-08,12.471058823529411,49,19.2,1.0,80.8
OH,2081,440,38,1641,1.0581451225372418,0.0,5.331485873285346e-06,1.1492340571694558e-09,17.15329168668909,42,21.1,1.8,78.9
NC,2010,423,50,1587,1.3611940298507463,0.0,2.4468945042487222e-05,7.75263566119036e-10,22.97313432835821,61,21.0,2.5,79.0
GA,1905,387,43,1518,1.1385826771653544,0.0,7.019416331632139e-05,1.3394866958586516e-07,18.931233595800524,46,20.3,2.3,79.7
NJ,1813,391,40,1422,1.2300055157198013,0.0,0.00010450755331615501,8.202913512756626e-16,20.513513513513512,41,21.6,2.2,78.4
VA,1591,338,42,1253,1.4198617221873036,0.0,0.0001508256535021758,9.480281822342155e-10,24.820867379006913,43,21.2,2.6,78.8
MA,1541,340,30,1201,1.355613238157041,0.0,8.920508564448402e-07,2.1047015274205766e-10,21.80532121998702,47,22.1,1.9,77.9
MD,1377,201,32,1176,1.2628903413217138,0.0,5.156334390783039e-05,4.577877597465326e-16,22.334785766158316,30,14.6,2.3,85.4
WA,1358,145,13,1213,0.5810014727540501,0.0,5.018133753992319e-07,9.162895522140495e-15,9.788659793814434,17,10.7,1.0,89.3
CO,1177,130,6,1047,0.6941376380628717,0.0,2.1556722228098158e-07,5.80772425965746e-10,14.383177570093459,19,11.0,0.5,89.0
MO,1140,295,32,845,1.605263157894737,0.0,7.712791623853019e-05,6.882842962957898e-08,28.385964912280702,25,25.9,2.8,74.1
TN,1121,319,27,802,1.6467439785905442,0.0,3.705619701878517e-05,2.8032057548209045e-08,30.01248884924175,27,28.5,2.4,71.5
IN,1099,291,25,808,1.7743403093721566,0.0,0.0001108731684703452,1.009896312734739e-08,33.142857142857146,23,26.5,2.3,73.5
MN,1074,108,2,966,0.3240223463687151,0.0,3.4161956668415224e-07,7.915612155235929e-08,5.511173184357542,11,10.1,0.2,89.9
AZ,1073,135,23,938,0.9822926374650512,0.0,4.827485586937515e-05,2.1057696948992426e-13,17.9524697110904,22,12.6,2.1,87.4
WI,980,171,14,809,0.7408163265306122,0.0,9.81333673366349e-06,3.3284110295866215e-10,11.628571428571428,13,17.4,1.4,82.6
CT,956,292,5,664,1.0230125523012552,0.0,5.610462697292336e-05,1.3079492362424628e-16,17.97071129707113,17,30.5,0.5,69.5
SC,931,254,31,677,1.8861439312567132,0.0,5.1347130633191643e-05,5.75484476688801e-10,33.766917293233085,28,27.3,3.3,72.7
OR,870,95,5,775,0.45517241379310347,0.0,2.4135647912822352e-08,1.8422753283022816e-14,7.186206896551724,15,10.9,0.6,89.1
LA,819,249,17,570,1.5702075702075702,0.0,1.5202997070599297e-05,1.7166867920191124e-07,26.249084249084248,25,30.4,2.1,69.6
KY,727,225,19,502,1.5213204951856947,0.0,4.190510976833345e-05,9.51649357062318e-09,26.63273727647868,22,30.9,2.6,69.1
AL,706,293,45,413,3.2138810198300285,0.0,0.00017079268591238815,6.335206335364217e-07,55.87818696883853,24,41.5,6.4,58.5
OK,565,137,16,428,2.0212389380530973,0.0,3.35559085201881e-05,2.291330584211289e-13,46.66194690265487,10,24.2,2.8,75.8
UT,509,44,3,465,0.4400785854616896,0.0,7.685249753551899e-09,-1.7746275705580506e-20,7.901768172888016,7,8.6,0.6,91.4
PR,483,73,0,410,0.22567287784679088,0.0,1.330241799938703e-08,-1.693636131928316e-20,3.9213250517598346,2,15.1,0.0,84.9
KS,448,96,7,352,0.9486607142857143,0.0,1.7511298989182542e-05,3.525123355691184e-13,16.53125,9,21.4,1.6,78.6
NV,445,57,1,388,0.5550561797752809,0.0,1.9084134600800685e-08,1.1184623669648005e-18,11.058426966292135,8,12.8,0.2,87.2
IA,411,115,7,296,1.245742092457421,0.0,2.221431212168424e-06,3.931978758804577e-17,20.43065693430657,14,28.0,1.7,72.0
MS,381,172,15,209,2.4488188976377954,0.0,6.436327203172646e-05,2.1117109659307177e-08,46.1496062992126,7,45.1,3.9,54.9
AR,365,136,17,229,3.5506849315068494,0.0,9.00854712929147e-05,1.5329586702734326e-08,81.4,13,37.3,4.7,62.7
HI,347,67,4,280,1.0201729106628241,0.0,0.0,1.66311190395625e-20,18.585014409221902,4,19.3,1.2,80.7
DC,338,20,2,318,0.23964497041420119,0.0,2.839368383018324e-07,2.0963898956990922e-20,3.378698224852071,1,5.9,0.6,94.1
NE,337,73,9,264,1.9821958456973294,0.0,2.781936697182184e-07,1.244897979942904e-20,36.05637982195846,7,21.7,2.7,78.3
NM,336,61,5,275,0.7142857142857143,0.0,2.1680502212672107e-06,1.735959585377848e-20,12.083333333333334,12,18.2,1.5,81.8
NH,289,111,6,178,1.6608996539792387,0.0,1.8917715974150405e-05,1.1783099404359465e-19,25.14878892733564,17,38.4,2.1,61.6
RI,270,59,9,211,1.2333333333333334,0.0,1.4762117084903364e-07,1.4384211997383212e-18,18.714814814814815,6,21.9,3.3,78.1
ME,244,74,3,170,1.098360655737705,0.0,3.1274733179649525e-08,-7.979842916586045e-20,16.959016393442624,9,30.3,1.2,69.7
WV,240,106,12,134,3.566666666666667,0.0,5.612723566582514e-05,4.1524359087549735e-13,72.2875,12,44.2,5.0,55.8
ID,236,38,0,198,0.5296610169491526,0.0,6.870628127791195e-10,3.358507343687457e-20,7.822033898305085,4,16.1,0.0,83.9
DE,190,54,12,136,3.3105263157894735,0.0,0.0005550692395673722,8.07595014832368e-20,57.71052631578947,8,28.4,6.3,71.6
MT,178,38,7,140,1.151685393258427,0.0,5.989412171850336e-08,-4.717526542649901e-21,18.280898876404493,4,21.3,3.9,78.7
AK,141,14,4,127,1.0283687943262412,0.0,6.513184917639334e-06,2.376359603754543e-09,18.879432624113477,1,9.9,2.8,90.1
VT,134,32,5,102,1.6940298507462686,0.0,7.248784850822035e-06,-1.3530883127066675e-19,26.64179104477612,3,23.9,3.7,76.1
SD,122,30,7,92,1.901639344262295,0.0,6.6293415635785e-07,-6.02571565957253e-20,33.049180327868854,3,24.6,5.7,75.4
ND,105,30,2,75,0.9333333333333333,0.0,5.98398992653814e-09,7.025630736539053e-20,15.219047619047618,1,28.6,1.9,71.4
WY,89,22,2,67,1.146067415730337,0.0,4.554686062243601e-10,-4.783919533279339e-20,18.89887640449438,0,24.7,2.2,75.3
AE,28,0,0,28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
AP,27,1,0,26,0.2962962962962963,0.0,0.0,8.366304957606974e-20,3.814814814814815,1,3.7,0.0,96.3
VI,18,4,0,14,0.5,0.0,0.0,-1.578957316897453e-19,8.333333333333334,0,22.2,0.0,77.8
AS,14,0,0,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
GU,12,0,0,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
MP,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
ON,2,1,0,1,0.5,0.5,0.0,8.186961753978703e-20,6.0,0,50.0,0.0,50.0
QUEBEC,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
AA,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
CADIZ,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
ALBERTA,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
BAJA CALIFORNIA,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
HESSEN,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
NONE,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
SINDH,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
SPAIN,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
CE,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
CATANIA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
USVI,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
VALENCIA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
BRITISH COLUMBIA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
CN,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
BEIRUT,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
AS- AMERICAN SAMOA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
APO AE,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
AKBERTA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
SHANGHAI,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
DOHA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
NEW PROVIDENCE,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
PICHINCHA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
ABU DHABI,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
MATEN,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
ONTARIO,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
INAOKACHO,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
OSAKA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
PAGET,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
FRANCE,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
SA,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
PUERTO RICO,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
QC,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
FOREIGN PROVINCE,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
RHEINLAND PFALZ,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
FOREIGN,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
RM,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
YAMAGUCHI,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0
