State,Critical Care Medicine,Female Pelvic Medicine and Reconstructive Surgery,Gynecologic Oncology,Gynecology,Hospice and Palliative Medicine,Maternal & Fetal Medicine,Obesity Medicine,Obstetrics,Obstetrics & Gynecology,Reproductive Endocrinology
AK,0.0,0.7,1.4,7.1,0.0,2.1,0.7,3.5,84.4,0.0
AL,0.0,1.1,3.4,8.9,0.1,4.5,0.0,2.3,76.6,2.8
AR,0.3,0.8,1.4,11.0,0.0,2.5,0.0,4.1,79.5,0.5
AZ,0.2,1.8,2.4,8.5,0.1,4.8,0.0,2.6,78.3,1.4
CA,0.1,1.0,2.2,6.0,0.3,3.5,0.0,2.8,80.4,3.4
CO,0.1,0.8,1.9,6.1,0.1,4.1,0.0,1.7,82.9,2.2
CT,0.0,1.8,2.1,8.4,0.1,4.2,0.1,1.3,77.5,4.5
DC,0.0,2.1,2.7,8.9,0.0,5.0,0.0,1.8,76.9,2.4
DE,0.5,1.1,3.7,3.2,0.0,4.2,0.0,1.1,83.2,2.6
FL,0.1,1.5,3.0,10.6,0.2,3.2,0.1,2.8,76.1,2.3
GA,0.1,1.1,2.2,9.4,0.3,2.9,0.0,3.3,78.3,2.5
HI,0.0,0.3,1.7,4.3,0.0,1.7,0.0,1.4,88.5,2.0
IA,0.0,1.0,1.0,4.4,0.0,2.4,0.0,2.9,86.6,1.7
ID,0.0,0.4,2.1,3.8,0.0,5.5,0.0,2.1,84.3,1.7
IL,0.0,1.3,2.3,4.8,0.2,3.5,0.0,2.5,82.7,2.4
IN,0.0,1.4,1.2,5.2,0.2,2.8,0.0,2.8,84.8,1.6
KS,0.0,1.1,2.0,3.6,0.0,3.3,0.2,2.9,84.2,2.7
KY,0.1,0.8,2.8,8.4,0.0,3.4,0.1,3.3,79.1,1.9
LA,0.0,0.4,1.8,5.7,0.2,3.9,0.0,3.2,83.4,1.3
MA,0.1,1.4,2.2,8.4,0.2,4.2,0.1,2.0,77.7,3.4
MD,0.4,0.9,2.2,9.5,0.1,3.2,0.1,2.1,78.8,2.6
ME,0.0,2.0,2.5,4.1,0.4,1.2,0.0,1.6,87.7,0.4
MI,0.0,0.9,1.8,4.3,0.2,2.3,0.0,3.2,85.8,1.3
MN,0.0,0.9,2.6,2.9,0.0,2.1,0.0,2.4,87.0,2.0
MO,0.0,1.0,3.2,4.6,0.1,5.1,0.0,2.0,82.3,1.7
MS,0.0,0.5,2.1,6.6,0.0,2.9,0.0,2.1,84.5,1.3
MT,0.0,0.0,0.6,9.0,0.0,2.8,0.0,5.6,80.9,1.1
NC,0.0,1.4,2.4,7.7,0.0,3.2,0.0,2.5,80.6,2.1
ND,0.0,0.0,0.0,2.9,1.0,2.9,0.0,2.9,89.5,1.0
NE,0.0,0.6,0.6,1.2,0.6,4.2,0.0,3.0,87.2,2.7
NH,0.0,1.0,2.4,4.5,0.0,2.8,0.0,1.4,86.5,1.4
NJ,0.1,1.2,2.6,7.9,0.2,4.7,0.2,2.2,77.2,3.8
NM,0.0,1.5,3.6,7.7,0.0,5.4,0.0,8.0,73.2,0.0
NV,0.0,0.9,2.2,9.0,0.2,6.5,0.0,2.9,75.1,2.7
NY,0.0,1.0,3.4,9.0,0.2,5.0,0.0,2.6,74.4,4.1
OH,0.0,1.4,2.8,6.2,0.1,4.6,0.0,2.5,80.1,2.3
OK,0.0,1.6,3.2,4.1,0.5,3.2,0.0,3.2,82.7,1.6
OR,0.1,0.8,2.3,7.5,0.1,3.6,0.0,2.8,82.0,0.9
PA,0.2,1.1,2.6,6.5,0.1,4.0,0.0,2.2,80.8,2.3
RI,0.0,1.1,4.4,4.1,0.0,3.7,0.0,1.1,81.5,4.1
SC,0.0,0.4,1.6,6.3,0.1,3.3,0.2,1.9,84.2,1.8
SD,0.0,0.8,2.5,0.8,0.0,4.9,0.0,3.3,86.1,1.6
TN,0.0,1.2,3.8,7.7,0.2,3.5,0.0,3.1,78.4,2.1
TX,0.1,0.9,2.3,5.3,0.1,3.9,0.1,2.6,82.2,2.4
UT,0.0,0.2,1.4,3.1,0.0,5.5,0.0,5.1,81.5,3.1
VA,0.1,1.1,2.6,7.4,0.1,3.4,0.0,3.3,79.4,2.6
VT,0.0,0.7,0.7,5.2,0.0,1.5,0.0,3.7,85.8,2.2
WA,0.0,0.7,2.4,5.2,0.0,4.1,0.1,4.1,81.7,1.5
WI,0.0,1.5,3.0,4.2,0.0,3.5,0.0,2.1,84.4,1.3
WV,0.0,1.7,1.2,7.1,0.4,2.1,0.0,1.7,85.4,0.4
WY,0.0,0.0,0.0,13.5,0.0,0.0,0.0,2.2,84.3,0.0
