Provider Type,Provider Count,Percent of Individuals
Allopathic & Osteopathic Physicians,31511,84.9
Physician Assistants & Advanced Practice Nursing Providers,2882,7.8
Other Service Providers,1077,2.9
Podiatric Medicine & Surgery Service Providers,688,1.9
Eye and Vision Services Providers,257,0.7
"Student, Health Care",235,0.6
Nursing Service Providers,126,0.3
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",98,0.3
Behavioral Health & Social Service Providers,75,0.2
Chiropractic Providers,47,0.1
Unknown,37,0.1
"Technologists, Technicians & Other Technical Service Providers",15,0.0
Emergency Medical Service Providers,15,0.0
"Speech, Language and Hearing Service Providers",13,0.0
Ambulatory Health Care Facilities,12,0.0
Hospitals,9,0.0
Dietary & Nutritional Service Providers,7,0.0
Laboratories,2,0.0
Dental Providers,2,0.0
Suppliers,2,0.0
Pharmacy Service Providers,2,0.0
Agencies,1,0.0
Transportation Services,1,0.0
