Provider Type,Classification,Provider Count,Percent of Individuals
Allopathic & Osteopathic Physicians,Radiology,11389,30.69
Allopathic & Osteopathic Physicians,Internal Medicine,9004,24.26
Allopathic & Osteopathic Physicians,Pathology,2570,6.92
Allopathic & Osteopathic Physicians,Family Medicine,2479,6.68
Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,1658,4.47
Other Service Providers,Specialist,1038,2.8
Allopathic & Osteopathic Physicians,Emergency Medicine,1032,2.78
Allopathic & Osteopathic Physicians,Ophthalmology,943,2.54
Physician Assistants & Advanced Practice Nursing Providers,Physician Assistant,803,2.16
Allopathic & Osteopathic Physicians,Dermatology,704,1.9
Allopathic & Osteopathic Physicians,Anesthesiology,699,1.88
Podiatric Medicine & Surgery Service Providers,Podiatrist,688,1.85
Allopathic & Osteopathic Physicians,Surgery,528,1.42
Allopathic & Osteopathic Physicians,Urology,436,1.17
Allopathic & Osteopathic Physicians,Psychiatry & Neurology,374,1.01
Allopathic & Osteopathic Physicians,Orthopaedic Surgery,366,0.99
Physician Assistants & Advanced Practice Nursing Providers,"Nurse Anesthetist, Certified Registered",297,0.8
Eye and Vision Services Providers,Optometrist,255,0.69
"Student, Health Care",Student in an Organized Health Care Education/Training Program,235,0.63
Allopathic & Osteopathic Physicians,Hospitalist,194,0.52
Allopathic & Osteopathic Physicians,Otolaryngology,193,0.52
Allopathic & Osteopathic Physicians,Nuclear Medicine,147,0.4
Nursing Service Providers,Registered Nurse,121,0.33
Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,117,0.32
Allopathic & Osteopathic Physicians,General Practice,102,0.27
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Physical Therapist,89,0.24
Physician Assistants & Advanced Practice Nursing Providers,Advanced Practice Midwife,79,0.21
Allopathic & Osteopathic Physicians,Pediatrics,55,0.15
Chiropractic Providers,Chiropractor,47,0.13
Behavioral Health & Social Service Providers,Psychologist,46,0.12
Physician Assistants & Advanced Practice Nursing Providers,Clinical Nurse Specialist,38,0.1
Unknown,Unknown,37,0.1
Allopathic & Osteopathic Physicians,Pain Medicine,34,0.09
Allopathic & Osteopathic Physicians,Allergy & Immunology,33,0.09
Allopathic & Osteopathic Physicians,Neurological Surgery,27,0.07
Behavioral Health & Social Service Providers,Social Worker,24,0.06
Allopathic & Osteopathic Physicians,Thoracic Surgery (Cardiothoracic Vascular Surgery),21,0.06
Allopathic & Osteopathic Physicians,Colon & Rectal Surgery,19,0.05
Other Service Providers,Midwife,17,0.05
Other Service Providers,Legal Medicine,16,0.04
Ambulatory Health Care Facilities,Clinic/Center,12,0.03
Allopathic & Osteopathic Physicians,Preventive Medicine,11,0.03
"Speech, Language and Hearing Service Providers",Audiologist,10,0.03
Allopathic & Osteopathic Physicians,Neuromusculoskeletal Medicine & OMM,9,0.02
Emergency Medical Service Providers,Personal Emergency Response Attendant,9,0.02
Hospitals,General Acute Care Hospital,9,0.02
Allopathic & Osteopathic Physicians,Plastic Surgery,8,0.02
Physician Assistants & Advanced Practice Nursing Providers,Anesthesiologist Assistant,7,0.02
"Technologists, Technicians & Other Technical Service Providers","Spec/Tech, Pathology",7,0.02
Dietary & Nutritional Service Providers,"Dietitian, Registered",7,0.02
"Technologists, Technicians & Other Technical Service Providers",Radiologic Technologist,6,0.02
Emergency Medical Service Providers,"Emergency Medical Technician, Basic",5,0.01
Nursing Service Providers,Licensed Practical Nurse,5,0.01
Behavioral Health & Social Service Providers,Counselor,5,0.01
Allopathic & Osteopathic Physicians,Transplant Surgery,4,0.01
Allopathic & Osteopathic Physicians,Phlebology,4,0.01
Allopathic & Osteopathic Physicians,"Neuromusculoskeletal Medicine, Sports Medicine",4,0.01
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Occupational Therapist,4,0.01
Allopathic & Osteopathic Physicians,Medical Genetics,3,0.01
Dental Providers,Dentist,2,0.01
Pharmacy Service Providers,Pharmacist,2,0.01
Laboratories,Clinical Medical Laboratory,2,0.01
"Speech, Language and Hearing Service Providers",Speech-Language Pathologist,2,0.01
"Technologists, Technicians & Other Technical Service Providers","Specialist/Technologist, Other",2,0.01
Other Service Providers,Acupuncturist,2,0.01
Suppliers,Durable Medical Equipment & Medical Supplies,2,0.01
Allopathic & Osteopathic Physicians,Independent Medical Examiner,2,0.01
Eye and Vision Services Providers,Technician/Technologist,2,0.01
Transportation Services,Ambulance,1,0.0
"Speech, Language and Hearing Service Providers",Audiologist-Hearing Aid Fitter,1,0.0
Agencies,Public Health or Welfare,1,0.0
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Specialist/Technologist,1,0.0
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers","Respiratory Therapist, Registered",1,0.0
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Physical Therapy Assistant,1,0.0
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Orthotist,1,0.0
"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Massage Therapist,1,0.0
Other Service Providers,"Sleep Specialist, PhD",1,0.0
Other Service Providers,Military Health Care Provider,1,0.0
Other Service Providers,Contractor,1,0.0
Other Service Providers,Case Manager/Care Coordinator,1,0.0
Emergency Medical Service Providers,"Emergency Medical Technician, Paramedic",1,0.0
