State,Total OB-GYNs,Connected OB-GYNs,Hub Providers,Isolated OB-GYNs,Pct Connected,Pct Hub,Pct Isolated,Mean Degree,Median Degree,Mean Betweenness,Mean Shared Patients,Communities Detected
CA,6655,1075,109,5580,16.2,1.6,83.8,0.94,0.0,4e-05,16.8,99
TX,4611,823,71,3788,17.8,1.5,82.2,0.95,0.0,3.3e-05,17.3,73
NY,4474,818,78,3656,18.3,1.7,81.7,1.06,0.0,2.9e-05,18.3,104
FL,3628,781,134,2847,21.5,3.7,78.5,2.01,0.0,0.000108,36.7,97
PA,2642,633,77,2009,24.0,2.9,76.0,1.56,0.0,6e-05,25.4,85
IL,2586,502,41,2084,19.4,1.6,80.6,0.97,0.0,6.6e-05,16.0,48
MI,2125,408,21,1717,19.2,1.0,80.8,0.76,0.0,6e-05,12.5,49
OH,2081,440,38,1641,21.1,1.8,78.9,1.06,0.0,5e-06,17.2,42
NC,2010,423,50,1587,21.0,2.5,79.0,1.36,0.0,2.4e-05,23.0,61
GA,1905,387,43,1518,20.3,2.3,79.7,1.14,0.0,7e-05,18.9,46
NJ,1813,391,40,1422,21.6,2.2,78.4,1.23,0.0,0.000105,20.5,41
VA,1591,338,42,1253,21.2,2.6,78.8,1.42,0.0,0.000151,24.8,43
MA,1541,340,30,1201,22.1,1.9,77.9,1.36,0.0,1e-06,21.8,47
MD,1377,201,32,1176,14.6,2.3,85.4,1.26,0.0,5.2e-05,22.3,30
WA,1358,145,13,1213,10.7,1.0,89.3,0.58,0.0,1e-06,9.8,17
CO,1177,130,6,1047,11.0,0.5,89.0,0.69,0.0,0.0,14.4,19
MO,1140,295,32,845,25.9,2.8,74.1,1.61,0.0,7.7e-05,28.4,25
TN,1121,319,27,802,28.5,2.4,71.5,1.65,0.0,3.7e-05,30.0,27
IN,1099,291,25,808,26.5,2.3,73.5,1.77,0.0,0.000111,33.1,23
MN,1074,108,2,966,10.1,0.2,89.9,0.32,0.0,0.0,5.5,11
AZ,1073,135,23,938,12.6,2.1,87.4,0.98,0.0,4.8e-05,18.0,22
WI,980,171,14,809,17.4,1.4,82.6,0.74,0.0,1e-05,11.6,13
CT,956,292,5,664,30.5,0.5,69.5,1.02,0.0,5.6e-05,18.0,17
SC,931,254,31,677,27.3,3.3,72.7,1.89,0.0,5.1e-05,33.8,28
OR,870,95,5,775,10.9,0.6,89.1,0.46,0.0,0.0,7.2,15
LA,819,249,17,570,30.4,2.1,69.6,1.57,0.0,1.5e-05,26.2,25
KY,727,225,19,502,30.9,2.6,69.1,1.52,0.0,4.2e-05,26.6,22
AL,706,293,45,413,41.5,6.4,58.5,3.21,0.0,0.000171,55.9,24
OK,565,137,16,428,24.2,2.8,75.8,2.02,0.0,3.4e-05,46.7,10
UT,509,44,3,465,8.6,0.6,91.4,0.44,0.0,0.0,7.9,7
KS,448,96,7,352,21.4,1.6,78.6,0.95,0.0,1.8e-05,16.5,9
NV,445,57,1,388,12.8,0.2,87.2,0.56,0.0,0.0,11.1,8
IA,411,115,7,296,28.0,1.7,72.0,1.25,0.0,2e-06,20.4,14
MS,381,172,15,209,45.1,3.9,54.9,2.45,0.0,6.4e-05,46.1,7
AR,365,136,17,229,37.3,4.7,62.7,3.55,0.0,9e-05,81.4,13
HI,347,67,4,280,19.3,1.2,80.7,1.02,0.0,0.0,18.6,4
DC,338,20,2,318,5.9,0.6,94.1,0.24,0.0,0.0,3.4,1
NE,337,73,9,264,21.7,2.7,78.3,1.98,0.0,0.0,36.1,7
NM,336,61,5,275,18.2,1.5,81.8,0.71,0.0,2e-06,12.1,12
NH,289,111,6,178,38.4,2.1,61.6,1.66,0.0,1.9e-05,25.1,17
RI,270,59,9,211,21.9,3.3,78.1,1.23,0.0,0.0,18.7,6
ME,244,74,3,170,30.3,1.2,69.7,1.1,0.0,0.0,17.0,9
WV,240,106,12,134,44.2,5.0,55.8,3.57,0.0,5.6e-05,72.3,12
ID,236,38,0,198,16.1,0.0,83.9,0.53,0.0,0.0,7.8,4
DE,190,54,12,136,28.4,6.3,71.6,3.31,0.0,0.000555,57.7,8
MT,178,38,7,140,21.3,3.9,78.7,1.15,0.0,0.0,18.3,4
AK,141,14,4,127,9.9,2.8,90.1,1.03,0.0,7e-06,18.9,1
VT,134,32,5,102,23.9,3.7,76.1,1.69,0.0,7e-06,26.6,3
SD,122,30,7,92,24.6,5.7,75.4,1.9,0.0,1e-06,33.0,3
ND,105,30,2,75,28.6,1.9,71.4,0.93,0.0,0.0,15.2,1
WY,89,22,2,67,24.7,2.2,75.3,1.15,0.0,0.0,18.9,0
