FIPS,County,State,Total OB-GYNs,Connected OB-GYNs,Mean Degree,Pct Isolated,Pct Hub,Total Births,Morbidity Births,Morbidity Rate (%),OB-GYN per 10K Births
36029,"Erie County, NY",NY,205,14,0.24,93.2,0.0,9916,448.0,4.52,206.7
24013,"Carroll County, MD",MD,19,3,0.16,84.2,0.0,1737,75.0,4.32,109.4
42007,"Beaver County, PA",PA,15,5,0.33,66.7,0.0,1676,67.0,4.0,89.5
38017,"Cass County, ND",ND,38,8,0.37,78.9,0.0,2639,105.0,3.98,144.0
36109,"Tompkins County, NY",NY,11,3,0.45,72.7,0.0,787,28.0,3.56,139.8
50007,"Chittenden County, VT",VT,78,10,1.49,87.2,2.6,1552,52.0,3.35,502.6
37081,"Guilford County, NC",NC,101,12,0.5,88.1,1.0,6259,202.0,3.23,161.4
34011,"Cumberland County, NJ",NJ,13,3,0.46,76.9,0.0,1876,59.0,3.14,69.3
35001,"Bernalillo County, NM",NM,161,19,0.31,88.2,0.0,7574,234.0,3.09,212.6
27137,"St. Louis County, MN",MN,40,5,0.57,87.5,0.0,1976,61.0,3.09,202.4
39165,"Warren County, OH",OH,19,4,0.42,78.9,0.0,2400,70.0,2.92,79.2
39061,"Hamilton County, OH",OH,269,33,1.1,87.7,1.1,10820,315.0,2.91,248.6
55039,"Fond du Lac County, WI",WI,12,2,0.25,83.3,0.0,1031,27.0,2.62,116.4
42003,"Allegheny County, PA",PA,349,36,0.58,89.7,1.4,13164,334.0,2.54,265.1
55025,"Dane County, WI",WI,179,17,0.82,90.5,2.2,6052,153.0,2.53,295.8
39049,"Franklin County, OH",OH,368,35,0.63,90.5,1.6,19045,476.0,2.5,193.2
39173,"Wood County, OH",OH,11,0,0.0,100.0,0.0,1365,34.0,2.49,80.6
39017,"Butler County, OH",OH,61,15,0.44,75.4,0.0,4452,107.0,2.4,137.0
36075,"Oswego County, NY",NY,4,3,11.75,25.0,25.0,1331,31.0,2.33,30.0
22005,"Ascension Parish, LA",LA,1,0,0.0,100.0,0.0,1751,40.0,2.28,5.7
42129,"Westmoreland County, PA",PA,31,6,0.52,80.6,0.0,2939,67.0,2.28,105.5
55059,"Kenosha County, WI",WI,22,2,0.18,90.9,0.0,1936,44.0,2.27,113.6
19103,"Johnson County, IA",IA,121,17,0.93,86.0,2.5,1857,42.0,2.26,651.6
17167,"Sangamon County, IL",IL,85,19,0.49,77.6,0.0,2245,49.0,2.18,378.6
53033,"King County, WA",WA,598,41,0.32,93.1,0.5,26022,561.0,2.16,229.8
06071,"San Bernardino County, CA",CA,255,25,0.48,90.2,0.8,31032,651.0,2.1,82.2
06013,"Contra Costa County, CA",CA,179,24,0.7,86.6,0.6,12340,252.0,2.04,145.1
49011,"Davis County, UT",UT,36,5,0.14,86.1,0.0,5698,115.0,2.02,63.2
25025,"Suffolk County, MA",MA,496,46,0.51,90.7,0.4,9384,188.0,2.0,528.6
31153,"Sarpy County, NE",NE,27,2,0.07,92.6,0.0,2464,49.0,1.99,109.6
21015,"Boone County, KY",KY,18,2,0.11,88.9,0.0,1681,33.0,1.96,107.1
26161,"Washtenaw County, MI",MI,249,31,0.66,87.6,0.8,3692,72.0,1.95,674.4
08035,"Douglas County, CO",CO,99,5,0.36,94.9,1.0,3488,68.0,1.95,283.8
17179,"Tazewell County, IL",IL,3,2,5.0,33.3,33.3,1496,29.0,1.94,20.0
53063,"Spokane County, WA",WA,89,10,1.15,88.8,2.2,6145,119.0,1.94,144.8
41051,"Multnomah County, OR",OR,278,16,0.23,94.2,0.4,9081,175.0,1.93,306.1
49035,"Salt Lake County, UT",UT,198,6,0.53,97.0,0.5,17612,339.0,1.92,112.4
39041,"Delaware County, OH",OH,20,2,0.1,90.0,0.0,2079,40.0,1.92,96.2
35043,"Sandoval County, NM",NM,11,2,0.27,81.8,0.0,1464,28.0,1.91,75.1
02020,"Anchorage Borough, AK",AK,87,5,0.24,94.3,0.0,4518,86.0,1.9,192.6
39133,"Portage County, OH",OH,5,1,0.4,80.0,0.0,1441,27.0,1.87,34.7
27163,"Washington County, MN",MN,41,5,0.46,87.8,0.0,2898,53.0,1.83,141.5
27123,"Ramsey County, MN",MN,101,1,0.07,99.0,0.0,7731,141.0,1.82,130.6
17115,"Macon County, IL",IL,16,2,0.94,87.5,0.0,1327,24.0,1.81,120.6
41067,"Washington County, OR",OR,160,11,0.22,93.1,0.0,6983,126.0,1.8,229.1
36061,"New York County, NY",NY,1154,116,0.4,89.9,0.7,17587,315.0,1.79,656.2
17031,"Cook County, IL",IL,1505,203,0.76,86.5,1.6,66779,1193.0,1.79,225.4
39103,"Medina County, OH",OH,15,3,0.47,80.0,0.0,1816,32.0,1.76,82.6
06073,"San Diego County, CA",CA,646,52,0.24,92.0,0.0,42720,743.0,1.74,151.2
17201,"Winnebago County, IL",IL,53,7,0.45,86.8,0.0,3711,64.0,1.72,142.8
37135,"Orange County, NC",NC,93,5,0.14,94.6,0.0,1166,20.0,1.72,797.6
24027,"Howard County, MD",MD,85,9,0.61,89.4,1.2,3569,61.0,1.71,238.2
08031,"Denver County, CO",CO,223,20,1.88,91.0,0.4,10006,171.0,1.71,222.9
45015,"Berkeley County, SC",SC,2,0,0.0,100.0,0.0,2754,47.0,1.71,7.3
