County,State,FIPS,Total Births,Morbidity Births,Morbidity Rate (%)
"Schuylkill County, PA",PA,42107,1367,105.0,7.68
"Dona Ana County, NM",NM,35013,2839,160.0,5.64
"Benton County, WA",WA,53005,2759,145.0,5.26
"Suffolk County, NY",NY,36103,15559,809.0,5.2
"Erie County, NY",NY,36029,9916,448.0,4.52
"Carroll County, MD",MD,24013,1737,75.0,4.32
"Niagara County, NY",NY,36063,2139,86.0,4.02
"Beaver County, PA",PA,42007,1676,67.0,4.0
"Cass County, ND",ND,38017,2639,105.0,3.98
"Chautauqua County, NY",NY,36013,1345,52.0,3.87
"Montgomery County, PA",PA,42091,8695,316.0,3.63
"Madera County, CA",CA,06039,2355,84.0,3.57
"Tompkins County, NY",NY,36109,787,28.0,3.56
"Lancaster County, PA",PA,42071,7000,245.0,3.5
"Chittenden County, VT",VT,50007,1552,52.0,3.35
"Hunterdon County, NJ",NJ,34019,927,30.0,3.24
"Guilford County, NC",NC,37081,6259,202.0,3.23
"Cumberland County, NJ",NJ,34011,1876,59.0,3.14
"Clermont County, OH",OH,39025,2293,71.0,3.1
"Bernalillo County, NM",NM,35001,7574,234.0,3.09
