State,Subspecialty,Provider Count,State Total,Percent of State
AK,Female Pelvic Medicine and Reconstructive Surgery,1,141,0.7
AK,Gynecologic Oncology,2,141,1.4
AK,Gynecology,10,141,7.1
AK,Maternal & Fetal Medicine,3,141,2.1
AK,Obesity Medicine,1,141,0.7
AK,Obstetrics,5,141,3.5
AK,Obstetrics & Gynecology,119,141,84.4
AL,Female Pelvic Medicine and Reconstructive Surgery,8,706,1.1
AL,Gynecologic Oncology,24,706,3.4
AL,Gynecology,63,706,8.9
AL,Hospice and Palliative Medicine,1,706,0.1
AL,Maternal & Fetal Medicine,32,706,4.5
AL,Obstetrics,16,706,2.3
AL,Obstetrics & Gynecology,541,706,76.6
AL,Reproductive Endocrinology,20,706,2.8
AR,Critical Care Medicine,1,365,0.3
AR,Female Pelvic Medicine and Reconstructive Surgery,3,365,0.8
AR,Gynecologic Oncology,5,365,1.4
AR,Gynecology,40,365,11.0
AR,Maternal & Fetal Medicine,9,365,2.5
AR,Obstetrics,15,365,4.1
AR,Obstetrics & Gynecology,290,365,79.5
AR,Reproductive Endocrinology,2,365,0.5
AZ,Critical Care Medicine,2,1073,0.2
AZ,Female Pelvic Medicine and Reconstructive Surgery,19,1073,1.8
AZ,Gynecologic Oncology,26,1073,2.4
AZ,Gynecology,91,1073,8.5
AZ,Hospice and Palliative Medicine,1,1073,0.1
AZ,Maternal & Fetal Medicine,51,1073,4.8
AZ,Obstetrics,28,1073,2.6
AZ,Obstetrics & Gynecology,840,1073,78.3
AZ,Reproductive Endocrinology,15,1073,1.4
CA,Critical Care Medicine,6,6655,0.1
CA,Female Pelvic Medicine and Reconstructive Surgery,68,6655,1.0
CA,Gynecologic Oncology,149,6655,2.2
CA,Gynecology,399,6655,6.0
CA,Hospice and Palliative Medicine,18,6655,0.3
CA,Maternal & Fetal Medicine,233,6655,3.5
CA,Obesity Medicine,2,6655,0.0
CA,Obstetrics,189,6655,2.8
CA,Obstetrics & Gynecology,5349,6655,80.4
CA,Reproductive Endocrinology,225,6655,3.4
CO,Critical Care Medicine,1,1177,0.1
CO,Female Pelvic Medicine and Reconstructive Surgery,10,1177,0.8
CO,Gynecologic Oncology,22,1177,1.9
CO,Gynecology,72,1177,6.1
CO,Hospice and Palliative Medicine,1,1177,0.1
CO,Maternal & Fetal Medicine,48,1177,4.1
CO,Obstetrics,20,1177,1.7
CO,Obstetrics & Gynecology,976,1177,82.9
CO,Reproductive Endocrinology,26,1177,2.2
CT,Female Pelvic Medicine and Reconstructive Surgery,17,956,1.8
CT,Gynecologic Oncology,20,956,2.1
CT,Gynecology,80,956,8.4
CT,Hospice and Palliative Medicine,1,956,0.1
CT,Maternal & Fetal Medicine,40,956,4.2
CT,Obesity Medicine,1,956,0.1
CT,Obstetrics,12,956,1.3
CT,Obstetrics & Gynecology,741,956,77.5
