fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births
36029,205,14,0,191,0.23902439024390243,0.0,12,2.5706203775687057e-09,5.18290621729463e-20,3.658536585365854,7,NY,6.8,93.2,0.0,"Erie County, NY",9916,448.0,0.045179507866075,NY,206.74
24013,19,3,0,16,0.15789473684210525,0.0,1,0.0,1.0051436480997505e-19,2.3684210526315788,2,MD,15.8,84.2,0.0,"Carroll County, MD",1737,75.0,0.0431778929188255,MD,109.38
42007,15,5,0,10,0.3333333333333333,0.0,1,0.0,-1.2410127301467563e-19,4.0,2,PA,33.3,66.7,0.0,"Beaver County, PA",1676,67.0,0.0399761336515513,PA,89.5
38017,38,8,0,30,0.3684210526315789,0.0,4,0.0,9.280547450137155e-20,4.894736842105263,4,ND,21.1,78.9,0.0,"Cass County, ND",2639,105.0,0.039787798408488,ND,143.99
36109,11,3,0,8,0.45454545454545453,0.0,3,1.842577543362184e-08,-3.0586500597560227e-20,5.363636363636363,2,NY,27.3,72.7,0.0,"Tompkins County, NY",787,28.0,0.0355781448538754,NY,139.77
50007,78,10,2,68,1.4871794871794872,0.0,56,1.245044213436373e-05,-1.5254132602152713e-19,22.141025641025642,7,VT,12.8,87.2,2.6,"Chittenden County, VT",1552,52.0,0.0335051546391752,VT,502.58
37081,101,12,1,89,0.49504950495049505,0.0,20,6.936123599770794e-05,8.146912728047025e-20,8.693069306930694,6,NC,11.9,88.1,1.0,"Guilford County, NC",6259,202.0,0.0322735261223837,NC,161.37
34011,13,3,0,10,0.46153846153846156,0.0,3,9.245487165655022e-07,-3.448933156375102e-20,8.538461538461538,3,NJ,23.1,76.9,0.0,"Cumberland County, NJ",1876,59.0,0.0314498933901919,NJ,69.3
35001,161,19,0,142,0.3105590062111801,0.0,8,5.287396428778441e-09,-3.264016893657383e-20,5.236024844720497,6,NM,11.8,88.2,0.0,"Bernalillo County, NM",7574,234.0,0.0308951676789015,NM,212.57
27137,40,5,0,35,0.575,0.0,13,0.0,7.293404849737056e-20,9.7,3,MN,12.5,87.5,0.0,"St. Louis County, MN",1976,61.0,0.0308704453441295,MN,202.43
39165,19,4,0,15,0.42105263157894735,0.0,3,0.0,9.844866309234744e-20,6.2105263157894735,3,OH,21.1,78.9,0.0,"Warren County, OH",2400,70.0,0.0291666666666666,OH,79.17
39061,269,33,3,236,1.100371747211896,0.0,136,3.052263264259551e-05,3.072148426407761e-09,19.130111524163567,7,OH,12.3,87.7,1.1,"Hamilton County, OH",10820,315.0,0.0291127541589648,OH,248.61
55039,12,2,0,10,0.25,0.0,2,0.0,-5.544367194162261e-20,3.5,2,WI,16.7,83.3,0.0,"Fond du Lac County, WI",1031,27.0,0.026188166828322,WI,116.39
42003,349,36,5,313,0.5759312320916905,0.0,30,4.5651319323865e-06,-3.728546117166834e-21,8.899713467048711,9,PA,10.3,89.7,1.4,"Allegheny County, PA",13164,334.0,0.025372227286539,PA,265.12
55025,179,17,4,162,0.8212290502793296,0.0,51,5.6007460519581e-06,4.869359168262783e-13,12.016759776536313,7,WI,9.5,90.5,2.2,"Dane County, WI",6052,153.0,0.0252808988764044,WI,295.77
39049,368,35,6,333,0.6331521739130435,0.0,47,3.635360430013943e-07,9.501118045134001e-14,10.83695652173913,7,OH,9.5,90.5,1.6,"Franklin County, OH",19045,476.0,0.0249934365975321,OH,193.23
39173,11,0,0,11,0.0,0.0,0,0.0,0.0,0.0,2,OH,0.0,100.0,0.0,"Wood County, OH",1365,34.0,0.0249084249084249,OH,80.59
39017,61,15,0,46,0.4426229508196721,0.0,6,1.7610208324264808e-07,9.185995746167169e-09,7.245901639344262,6,OH,24.6,75.4,0.0,"Butler County, OH",4452,107.0,0.0240341419586702,OH,137.02
36075,4,3,1,1,11.75,3.5,40,6.274744275791304e-07,1.5502236462745354e-18,195.75,1,NY,75.0,25.0,25.0,"Oswego County, NY",1331,31.0,0.0232907588279489,NY,30.05
22005,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,1,LA,0.0,100.0,0.0,"Ascension Parish, LA",1751,40.0,0.0228440890919474,LA,5.71
42129,31,6,0,25,0.5161290322580645,0.0,7,0.0,-1.168322738130513e-21,7.064516129032258,4,PA,19.4,80.6,0.0,"Westmoreland County, PA",2939,67.0,0.0227968696835658,PA,105.48
55059,22,2,0,20,0.18181818181818182,0.0,3,4.845978939042544e-07,1.7242354922138213e-20,2.1363636363636362,3,WI,9.1,90.9,0.0,"Kenosha County, WI",1936,44.0,0.0227272727272727,WI,113.64
19103,121,17,3,104,0.9338842975206612,0.0,33,9.547901815604043e-09,1.3471826768359054e-19,16.68595041322314,7,IA,14.0,86.0,2.5,"Johnson County, IA",1857,42.0,0.0226171243941841,IA,651.59
17167,85,19,0,66,0.49411764705882355,0.0,5,4.1776652253736474e-07,-3.159647909179921e-20,7.070588235294117,6,IL,22.4,77.6,0.0,"Sangamon County, IL",2245,49.0,0.021826280623608,IL,378.62
53033,598,41,3,557,0.31605351170568563,0.0,51,2.553880262233689e-08,1.2438096455957477e-20,4.844481605351171,7,WA,6.9,93.1,0.5,"King County, WA",26022,561.0,0.0215586811159787,WA,229.81
06071,255,25,2,230,0.4823529411764706,0.0,26,2.1484454155598305e-06,2.2007023841502967e-16,8.098039215686274,8,CA,9.8,90.2,0.8,"San Bernardino County, CA",31032,651.0,0.0209783449342614,CA,82.17
06013,179,24,1,155,0.7039106145251397,0.0,16,8.637378059133804e-05,1.5224192644793987e-18,11.318435754189943,8,CA,13.4,86.6,0.6,"Contra Costa County, CA",12340,252.0,0.0204213938411669,CA,145.06
49011,36,5,0,31,0.1388888888888889,0.0,1,0.0,3.920673424598759e-20,1.6666666666666667,3,UT,13.9,86.1,0.0,"Davis County, UT",5698,115.0,0.0201825201825201,UT,63.18
25025,496,46,2,450,0.5060483870967742,0.0,24,5.859842372781268e-08,-1.9097430522301288e-20,7.008064516129032,9,MA,9.3,90.7,0.4,"Suffolk County, MA",9384,188.0,0.0200341005967604,MA,528.56
31153,27,2,0,25,0.07407407407407407,0.0,1,0.0,5.897256791414675e-20,0.9629629629629629,3,NE,7.4,92.6,0.0,"Sarpy County, NE",2464,49.0,0.0198863636363636,NE,109.58
21015,18,2,0,16,0.1111111111111111,0.0,1,0.0,3.8791166359817114e-17,1.3888888888888888,3,KY,11.1,88.9,0.0,"Boone County, KY",1681,33.0,0.0196311719214753,KY,107.08
26161,249,31,2,218,0.6626506024096386,0.0,42,6.497974271814638e-06,5.27229031341742e-16,10.686746987951807,7,MI,12.4,87.6,0.8,"Washtenaw County, MI",3692,72.0,0.0195016251354279,MI,674.43
08035,99,5,1,94,0.36363636363636365,0.0,28,1.0932626757282293e-07,1.0273984416468077e-15,5.646464646464646,6,CO,5.1,94.9,1.0,"Douglas County, CO",3488,68.0,0.0194954128440367,CO,283.83
17179,3,2,1,1,5.0,1.0,14,6.148067069685155e-07,-2.0417442794774816e-20,82.66666666666667,1,IL,66.7,33.3,33.3,"Tazewell County, IL",1496,29.0,0.0193850267379679,IL,20.05
53063,89,10,2,79,1.146067415730337,0.0,48,4.941834377534307e-08,-1.0041327589500524e-19,19.662921348314608,6,WA,11.2,88.8,2.2,"Spokane County, WA",6145,119.0,0.0193653376729048,WA,144.83
41051,278,16,1,262,0.22661870503597123,0.0,16,8.019851897367781e-10,5.765397463318705e-14,3.2446043165467624,7,OR,5.8,94.2,0.4,"Multnomah County, OR",9081,175.0,0.0192710053958815,OR,306.13
49035,198,6,1,192,0.5252525252525253,0.0,86,9.622349393113628e-09,-4.1573809100441284e-20,11.06060606060606,6,UT,3.0,97.0,0.5,"Salt Lake County, UT",17612,339.0,0.0192482398364751,UT,112.42
39041,20,2,0,18,0.1,0.0,1,0.0,6.713426054724603e-20,1.25,3,OH,10.0,90.0,0.0,"Delaware County, OH",2079,40.0,0.0192400192400192,OH,96.2
35043,11,2,0,9,0.2727272727272727,0.0,2,0.0,2.30265362358659e-19,6.0,4,NM,18.2,81.8,0.0,"Sandoval County, NM",1464,28.0,0.0191256830601092,NM,75.14
