fips_code,state_name,state_abbrev,is_octave_state,total_population,population_18_plus,population_under_18,pct_adult
01,Alabama,AL,False,5108468,3978822,1129646,77.9
02,Alaska,AK,False,733406,559040,174366,76.2
04,Arizona,AZ,True,7431344,5851265,1580079,78.7
05,Arkansas,AR,False,3067732,2366744,700988,77.1
06,California,CA,True,38965193,30527864,8437329,78.3
08,Colorado,CO,True,5877610,4666930,1210680,79.4
09,Connecticut,CT,True,3617176,2894552,722624,80.0
10,Delaware,DE,False,1031890,819965,211925,79.5
11,District of Columbia,DC,True,678972,552446,126526,81.4
12,Florida,FL,True,22610726,18231710,4379016,80.6
13,Georgia,GA,True,11029227,8494879,2534348,77.0
15,Hawaii,HI,False,1435138,1141251,293887,79.5
16,Idaho,ID,False,1964726,1498335,466391,76.3
17,Illinois,IL,True,12549689,9848062,2701627,78.5
18,Indiana,IN,False,6862199,5281293,1580906,77.0
19,Iowa,IA,False,3207004,2481457,725547,77.4
20,Kansas,KS,False,2940547,2253783,686764,76.6
21,Kentucky,KY,False,4526154,3514417,1011737,77.6
22,Louisiana,LA,False,4573749,3510313,1063436,76.7
23,Maine,ME,False,1395722,1149944,245778,82.4
24,Maryland,MD,True,6180253,4821332,1358921,78.0
25,Massachusetts,MA,True,7001399,5659960,1341439,80.8
26,Michigan,MI,False,10037261,7926790,2110471,79.0
27,Minnesota,MN,True,5737915,4442940,1294975,77.4
28,Mississippi,MS,False,2939690,2264456,675234,77.0
29,Missouri,MO,False,6196156,4824817,1371339,77.9
30,Montana,MT,False,1132812,897250,235562,79.2
31,Nebraska,NE,False,1978379,1499785,478594,75.8
32,Nevada,NV,False,3194176,2509660,684516,78.6
33,New Hampshire,NH,False,1402054,1151339,250715,82.1
34,New Jersey,NJ,True,9290841,7281676,2009165,78.4
35,New Mexico,NM,False,2114371,1665813,448558,78.8
36,New York,NY,True,19571216,15620467,3950749,79.8
37,North Carolina,NC,True,10835491,8512992,2322499,78.6
38,North Dakota,ND,False,783926,604326,179600,77.1
39,Ohio,OH,True,11785935,9215314,2570621,78.2
40,Oklahoma,OK,False,4053824,3088080,965744,76.2
41,Oregon,OR,True,4233358,3403557,829801,80.4
42,Pennsylvania,PA,True,12961683,10337054,2624629,79.8
44,Rhode Island,RI,False,1095962,892705,203257,81.5
45,South Carolina,SC,True,5373555,4231317,1142238,78.7
46,South Dakota,SD,False,919318,700511,218807,76.2
47,Tennessee,TN,True,7126489,5563129,1563360,78.1
48,Texas,TX,True,30503301,22963044,7540257,75.3
49,Utah,UT,False,3417734,2483829,933905,72.7
50,Vermont,VT,False,647464,532638,114826,82.3
51,Virginia,VA,True,8715698,6843521,1872177,78.5
53,Washington,WA,True,7812880,6165688,1647192,78.9
54,West Virginia,WV,False,1770071,1418429,351642,80.1
55,Wisconsin,WI,True,5910955,4666877,1244078,79.0
56,Wyoming,WY,False,584057,454092,129965,77.7
