state_name,state_abbrev,fips_code,is_octave_state,psychiatrists,psychologists,mh_counselors,mft_therapists,sw_social_workers,sa_counselors,nurse_practitioners_total,estimated_pmhnp,total_therapy_providers,total_prescribers,total_bh_providers,total_population,population_18_plus,providers_per_100k,providers_per_100k_adult,prescribers_per_100k,npi_pmhnp_exact,npi_pmhnp_estimate,npi_sample_share,npi_method,npi_hit_cap,pmhnp_best_estimate,total_bh_providers_adj,total_prescribers_adj,prescribers_per_100k_adj,provider_shortage
Alabama,AL,1,False,480,890,2100,1200,1850,950,5420,271,7470,751,7741,5108468,3978822,151.5,194.6,14.7,62,280,0.0517,extrapolated,True,280,7750,760,14.9,False
Alaska,AK,2,False,85,180,420,210,340,190,1050,52,1425,137,1477,733406,559040,201.4,264.2,18.7,53,53,0.0485,exact,False,53,1478,138,18.8,False
Arizona,AZ,4,True,950,1850,4200,2100,3400,1850,7280,364,14350,1314,14714,7431344,5851265,198.0,251.5,17.7,51,309,0.0425,extrapolated,True,309,14659,1259,16.9,False
Arkansas,AR,5,False,340,620,1450,820,1280,680,3650,182,5190,522,5372,3067732,2366744,175.1,227.0,17.0,60,182,0.05,extrapolated,True,182,5372,522,17.0,False
California,CA,6,True,4200,8900,18500,10200,15600,8200,28900,1445,65600,5645,67045,38965193,30527864,172.1,219.6,14.5,59,1421,0.0492,extrapolated,True,1421,67021,5621,14.4,False
Colorado,CO,8,True,650,1400,3200,1800,2750,1500,5820,291,11300,941,11591,5877610,4666930,197.2,248.4,16.0,95,461,0.0792,extrapolated,True,461,11761,1111,18.9,False
Connecticut,CT,9,True,580,1200,2750,1550,2380,1280,4680,234,9740,814,9974,3617176,2894552,275.7,344.6,22.5,106,413,0.0883,extrapolated,True,413,10153,993,27.5,False
Delaware,DE,10,False,120,260,580,320,520,280,1280,64,2080,184,2144,1031890,819965,207.8,261.5,17.8,127,135,0.1058,extrapolated,True,135,2215,255,24.7,False
District of Columbia,DC,11,True,320,650,1400,800,1200,650,1850,92,5020,412,5112,678972,552446,752.9,925.3,60.7,158,244,0.1317,extrapolated,True,244,5264,564,83.1,False
Florida,FL,12,True,2100,4200,9800,5400,8200,4500,22400,1120,34200,3220,35320,22610726,18231710,156.2,193.7,14.2,39,728,0.0325,extrapolated,True,728,34928,2828,12.5,False
Georgia,GA,13,True,1200,2300,5400,3000,4600,2450,10850,542,18950,1742,19492,11029227,8494879,176.7,229.5,15.8,58,524,0.0483,extrapolated,True,524,19474,1724,15.6,False
Hawaii,HI,15,False,180,380,880,490,750,410,1620,81,3090,261,3171,1435138,1141251,221.0,277.9,18.2,57,77,0.0475,extrapolated,True,77,3167,257,17.9,False
Idaho,ID,16,False,200,420,950,520,810,450,2180,109,3350,309,3459,1964726,1498335,176.1,230.9,15.7,36,65,0.03,extrapolated,True,65,3415,265,13.5,False
Illinois,IL,17,True,1450,2850,6500,3650,5600,3000,12100,605,23050,2055,23655,12549689,9848062,188.5,240.2,16.4,60,605,0.05,extrapolated,True,605,23655,2055,16.4,False
Indiana,IN,18,False,750,1450,3400,1900,2900,1550,7650,382,11950,1132,12332,6862199,5281293,179.7,233.5,16.5,57,363,0.0475,extrapolated,True,363,12313,1113,16.2,False
Iowa,IA,19,False,420,850,1980,1120,1700,910,3580,179,6980,599,7159,3207004,2481457,223.2,288.5,18.7,77,230,0.0642,extrapolated,True,230,7210,650,20.3,False
Kansas,KS,20,False,350,710,1680,950,1450,780,3290,164,5920,514,6084,2940547,2253783,206.9,269.9,17.5,19,52,0.0158,extrapolated,True,52,5972,402,13.7,False
Kentucky,KY,21,False,520,1050,2480,1400,2150,1150,5380,269,8750,789,9019,4526154,3514417,199.3,256.6,17.4,40,179,0.0333,extrapolated,True,179,8929,699,15.4,False
Louisiana,LA,22,False,580,1150,2700,1500,2300,1250,5120,256,9480,836,9736,4573749,3510313,212.9,277.4,18.3,49,209,0.0408,extrapolated,True,209,9689,789,17.3,False
Maine,ME,23,False,220,450,1050,590,910,490,2080,104,3710,324,3814,1395722,1149944,273.3,331.7,23.2,34,59,0.0283,extrapolated,True,59,3769,279,20.0,False
Maryland,MD,24,True,720,1450,3350,1900,2900,1550,6450,322,11870,1042,12192,6180253,4821332,197.3,252.9,16.9,84,452,0.07,extrapolated,True,452,12322,1172,19.0,False
Massachusetts,MA,25,True,950,1950,4500,2550,3900,2100,10200,510,15950,1460,16460,7001399,5659960,235.1,290.8,20.9,148,1258,0.1233,extrapolated,True,1258,17208,2208,31.5,False
Michigan,MI,26,False,1000,1950,4600,2600,3950,2150,10850,542,16250,1542,16792,10037261,7926790,167.3,211.8,15.4,64,579,0.0533,extrapolated,True,579,16829,1579,15.7,False
Minnesota,MN,27,True,720,1450,3350,1900,2900,1550,6750,338,11870,1058,12208,5737915,4442940,212.8,274.8,18.4,84,473,0.07,extrapolated,True,473,12343,1193,20.8,False
Mississippi,MS,28,False,280,560,1320,750,1150,620,3850,192,4680,472,4872,2939690,2264456,165.7,215.2,16.1,33,106,0.0275,extrapolated,True,106,4786,386,13.1,False
Missouri,MO,29,False,680,1350,3150,1800,2750,1480,6950,348,11210,1028,11558,6196156,4824817,186.5,239.6,16.6,108,626,0.09,extrapolated,True,626,11836,1306,21.1,False
Montana,MT,30,False,150,310,720,410,620,340,1520,76,2550,226,2626,1132812,897250,231.8,292.7,20.0,45,57,0.0375,extrapolated,True,57,2607,207,18.3,False
Nebraska,NE,31,False,240,500,1180,670,1020,550,2680,134,4160,374,4294,1978379,1499785,217.0,286.3,18.9,52,116,0.0433,extrapolated,True,116,4276,356,18.0,False
Nevada,NV,32,False,320,650,1500,850,1300,700,2980,149,5320,469,5469,3194176,2509660,171.2,217.9,14.7,26,65,0.0217,extrapolated,True,65,5385,385,12.1,False
New Hampshire,NH,33,False,250,520,1200,680,1040,560,1980,99,4250,349,4349,1402054,1151339,310.2,377.7,24.9,43,71,0.0358,extrapolated,True,71,4321,321,22.9,False
New Jersey,NJ,34,True,1050,2100,4850,2750,4200,2250,9580,479,17200,1529,17679,9290841,7281676,190.3,242.8,16.5,86,687,0.0717,extrapolated,True,687,17887,1737,18.7,False
New Mexico,NM,35,False,250,510,1180,670,1020,550,2650,132,4180,382,4312,2114371,1665813,203.9,258.9,18.1,57,126,0.0475,extrapolated,True,126,4306,376,17.8,False
New York,NY,36,True,2200,4450,10300,5850,8900,4800,22800,1140,36500,3340,37640,19571216,15620467,192.3,241.0,17.1,80,1520,0.0667,extrapolated,True,1520,38020,3720,19.0,False
North Carolina,NC,37,True,1100,2200,5100,2900,4400,2400,11200,560,18100,1660,18660,10835491,8512992,172.2,219.2,15.3,75,700,0.0625,extrapolated,True,700,18800,1800,16.6,False
North Dakota,ND,38,False,110,230,540,310,470,250,1080,54,1910,164,1964,783926,604326,250.5,325.0,20.9,38,34,0.0317,extrapolated,True,34,1944,144,18.4,False
Ohio,OH,39,True,1150,2300,5350,3050,4650,2500,13200,660,19000,1810,19660,11785935,9215314,166.8,213.3,15.4,62,682,0.0517,extrapolated,True,682,19682,1832,15.5,False
Oklahoma,OK,40,False,420,850,1980,1120,1700,910,4350,218,6980,638,7198,4053824,3088080,177.6,233.1,15.7,55,199,0.0458,extrapolated,True,199,7179,619,15.3,False
Oregon,OR,41,True,580,1200,2750,1550,2380,1280,4850,242,9740,822,9982,4233358,3403557,235.8,293.3,19.4,85,344,0.0708,extrapolated,True,344,10084,924,21.8,False
Pennsylvania,PA,42,True,1350,2700,6250,3550,5400,2900,14500,725,22150,2075,22875,12961683,10337054,176.5,221.3,16.0,93,1124,0.0775,extrapolated,True,1124,23274,2474,19.1,False
Rhode Island,RI,44,False,180,370,850,480,740,400,1520,76,3020,256,3096,1095962,892705,282.5,346.8,23.4,66,84,0.055,extrapolated,True,84,3104,264,24.1,False
South Carolina,SC,45,True,680,1350,3150,1800,2750,1480,5980,299,11210,979,11509,5373555,4231317,214.2,272.0,18.2,55,274,0.0458,extrapolated,True,274,11484,954,17.8,False
South Dakota,SD,46,False,130,270,630,360,550,295,1180,59,2235,189,2294,919318,700511,249.5,327.5,20.6,31,30,0.0258,extrapolated,True,30,2265,160,17.4,False
Tennessee,TN,47,True,850,1700,3950,2250,3450,1850,9200,460,14050,1310,14510,7126489,5563129,203.6,260.8,18.4,67,514,0.0558,extrapolated,True,514,14564,1364,19.1,False
Texas,TX,48,True,2800,5600,13000,7400,11300,6100,24600,1230,46200,4030,47430,30503301,22963044,155.5,206.5,13.2,74,1517,0.0617,extrapolated,True,1517,47717,4317,14.2,False
Utah,UT,49,False,400,820,1900,1080,1650,890,3280,164,6740,564,6904,3417734,2483829,202.0,278.0,16.5,44,120,0.0367,extrapolated,True,120,6860,520,15.2,False
Vermont,VT,50,False,140,290,670,380,580,310,1050,52,2370,192,2422,647464,532638,374.1,454.7,29.7,54,54,0.0541,exact,False,54,2424,194,30.0,False
Virginia,VA,51,True,950,1900,4400,2500,3800,2050,9150,458,15600,1408,16058,8715698,6843521,184.2,234.6,16.2,65,496,0.0542,extrapolated,True,496,16096,1446,16.6,False
Washington,WA,53,True,750,1550,3600,2050,3100,1700,8250,412,12750,1162,13162,7812880,6165688,168.5,213.5,14.9,88,605,0.0733,extrapolated,True,605,13355,1355,17.3,False
West Virginia,WV,54,False,260,530,1230,700,1070,575,2680,134,4365,394,4499,1770071,1418429,254.2,317.2,22.3,31,69,0.0258,extrapolated,True,69,4434,329,18.6,False
Wisconsin,WI,55,True,620,1280,2950,1680,2570,1380,6450,322,10480,942,10802,5910955,4666877,182.7,231.5,15.9,73,392,0.0608,extrapolated,True,392,10872,1012,17.1,False
Wyoming,WY,56,False,90,190,440,250,380,205,720,36,1555,126,1591,584057,454092,272.4,350.4,21.6,26,26,0.0347,exact,False,26,1581,116,19.9,False
