naics,setting,bh_employment,share_pct
621400,Outpatient Care Centers,129530.0,19.6
621300,Offices of Other Health Practitioners,128560.0,19.5
624100,Individual & Family Services,94770.0,14.3
623200,Residential MH/SA Facilities,60120.0,9.1
999300,Local Government (excl. schools/hospitals),42260.0,6.4
622100,General Medical & Surgical Hospitals,33940.0,5.1
621100,Offices of Physicians,33200.0,5.0
622200,Psychiatric & SA Hospitals,31590.0,4.8
611100,Elementary & Secondary Schools,23350.0,3.5
999200,State Government (excl. schools/hospitals),16360.0,2.5
611300,Colleges & Universities,9820.0,1.5
623900,Other Residential Care,8380.0,1.3
611700,Educational Support Services,7660.0,1.2
624200,Community Food/Housing/Emergency Services,5820.0,0.9
541700,Scientific Research & Development,4520.0,0.7
551100,Management of Companies,4420.0,0.7
561300,Employment Services,4180.0,0.6
813300,Social Advocacy Organizations,3390.0,0.5
624300,Vocational Rehabilitation,3070.0,0.5
622300,Specialty Hospitals (non-psych),2750.0,0.4
621600,Home Health Care Services,2150.0,0.3
624400,Child Care Services,1590.0,0.2
541900,"Other Professional, Scientific, and Technical Services",1560.0,0.2
621900,Other Ambulatory Health Care Services,1330.0,0.2
524100,Insurance Carriers,1290.0,0.2
623100,Nursing Care Facilities,1220.0,0.2
611600,Other Schools and Instruction,760.0,0.1
611200,Junior Colleges,380.0,0.1
813100,Religious Organizations,380.0,0.1
813400,Civic and Social Organizations,350.0,0.1
561200,Facilities Support Services,340.0,0.1
561100,Office Administrative Services,320.0,0.0
541600,"Management, Scientific, and Technical Consulting Services",310.0,0.0
623300,Continuing Care / Assisted Living,290.0,0.0
524200,"Agencies, Brokerages, and Other Insurance Related Activities",290.0,0.0
813200,Grantmaking and Giving Services,250.0,0.0
813900,"Business, Professional, Labor, Political, and Similar Organizations",120.0,0.0
541100,Legal Services,0.0,0.0
