area,area_title,total_bh,private_practice,outpatient_centers,psych_hospitals,other_settings,private_practice_pct,outpatient_centers_pct,psych_hospitals_pct,other_settings_pct,is_octave_state
1,Alabama,3230.0,440.0,890.0,360.0,1540.0,13.6,27.6,11.1,47.7,False
2,Alaska,1210.0,90.0,190.0,0.0,930.0,7.4,15.7,0.0,76.9,False
4,Arizona,12630.0,2300.0,3420.0,300.0,6610.0,18.2,27.1,2.4,52.3,True
5,Arkansas,3860.0,680.0,1020.0,200.0,1960.0,17.6,26.4,5.2,50.8,False
6,California,69430.0,16950.0,12150.0,1970.0,38360.0,24.4,17.5,2.8,55.2,True
8,Colorado,16440.0,5440.0,3340.0,860.0,6800.0,33.1,20.3,5.2,41.4,True
9,Connecticut,6750.0,910.0,1300.0,90.0,4450.0,13.5,19.3,1.3,65.9,True
10,Delaware,1420.0,110.0,170.0,0.0,1140.0,7.7,12.0,0.0,80.3,False
11,District of Columbia,1810.0,0.0,280.0,40.0,1490.0,0.0,15.5,2.2,82.3,True
12,Florida,30550.0,6010.0,6410.0,2180.0,15950.0,19.7,21.0,7.1,52.2,True
13,Georgia,8680.0,2920.0,1620.0,450.0,3690.0,33.6,18.7,5.2,42.5,True
15,Hawaii,1940.0,410.0,180.0,230.0,1120.0,21.1,9.3,11.9,57.7,False
16,Idaho,2630.0,660.0,600.0,0.0,1370.0,25.1,22.8,0.0,52.1,False
17,Illinois,22160.0,5240.0,4610.0,810.0,11500.0,23.6,20.8,3.7,51.9,True
18,Indiana,12220.0,1990.0,3170.0,490.0,6570.0,16.3,25.9,4.0,53.8,False
19,Iowa,4990.0,930.0,1100.0,0.0,2960.0,18.6,22.0,0.0,59.3,False
20,Kansas,3560.0,580.0,1470.0,70.0,1440.0,16.3,41.3,2.0,40.4,False
21,Kentucky,8890.0,1590.0,2730.0,860.0,3710.0,17.9,30.7,9.7,41.7,False
22,Louisiana,7360.0,1000.0,1120.0,1100.0,4140.0,13.6,15.2,14.9,56.2,False
23,Maine,2610.0,310.0,330.0,0.0,1970.0,11.9,12.6,0.0,75.5,False
24,Maryland,9670.0,2080.0,1940.0,540.0,5110.0,21.5,20.1,5.6,52.8,True
25,Massachusetts,26530.0,2700.0,4700.0,1960.0,17170.0,10.2,17.7,7.4,64.7,True
26,Michigan,14280.0,4180.0,2120.0,240.0,7740.0,29.3,14.8,1.7,54.2,False
27,Minnesota,10960.0,2210.0,1640.0,140.0,6970.0,20.2,15.0,1.3,63.6,True
28,Mississippi,1820.0,420.0,100.0,350.0,950.0,23.1,5.5,19.2,52.2,False
29,Missouri,10690.0,1530.0,3570.0,600.0,4990.0,14.3,33.4,5.6,46.7,False
30,Montana,2550.0,370.0,420.0,0.0,1760.0,14.5,16.5,0.0,69.0,False
31,Nebraska,2870.0,630.0,510.0,40.0,1690.0,22.0,17.8,1.4,58.9,False
32,Nevada,3100.0,770.0,220.0,580.0,1530.0,24.8,7.1,18.7,49.4,False
33,New Hampshire,3240.0,350.0,1180.0,80.0,1630.0,10.8,36.4,2.5,50.3,False
34,New Jersey,17030.0,3390.0,2690.0,810.0,10140.0,19.9,15.8,4.8,59.5,True
35,New Mexico,2120.0,120.0,260.0,90.0,1650.0,5.7,12.3,4.2,77.8,False
36,New York,41990.0,10420.0,5820.0,2060.0,23690.0,24.8,13.9,4.9,56.4,True
37,North Carolina,11880.0,2150.0,3430.0,470.0,5830.0,18.1,28.9,4.0,49.1,True
38,North Dakota,1150.0,180.0,260.0,0.0,710.0,15.7,22.6,0.0,61.7,False
39,Ohio,22950.0,2160.0,7290.0,700.0,12800.0,9.4,31.8,3.1,55.8,True
40,Oklahoma,5400.0,620.0,2110.0,390.0,2280.0,11.5,39.1,7.2,42.2,False
41,Oregon,7020.0,1750.0,1230.0,160.0,3880.0,24.9,17.5,2.3,55.3,True
42,Pennsylvania,29740.0,5130.0,7610.0,1140.0,15860.0,17.2,25.6,3.8,53.3,True
44,Rhode Island,2590.0,530.0,590.0,0.0,1470.0,20.5,22.8,0.0,56.8,False
45,South Carolina,3510.0,430.0,310.0,200.0,2570.0,12.3,8.8,5.7,73.2,True
46,South Dakota,1590.0,180.0,330.0,0.0,1080.0,11.3,20.8,0.0,67.9,False
47,Tennessee,9420.0,2460.0,2320.0,740.0,3900.0,26.1,24.6,7.9,41.4,True
48,Texas,19580.0,4000.0,3040.0,1810.0,10730.0,20.4,15.5,9.2,54.8,True
49,Utah,6560.0,2020.0,950.0,30.0,3560.0,30.8,14.5,0.5,54.3,False
50,Vermont,1500.0,200.0,0.0,0.0,1300.0,13.3,0.0,0.0,86.7,False
51,Virginia,15790.0,3960.0,2880.0,830.0,8120.0,25.1,18.2,5.3,51.4,True
53,Washington,14690.0,2450.0,4320.0,1170.0,6750.0,16.7,29.4,8.0,45.9,True
54,West Virginia,2750.0,410.0,870.0,40.0,1430.0,14.9,31.6,1.5,52.0,False
55,Wisconsin,11060.0,2120.0,1750.0,1650.0,5540.0,19.2,15.8,14.9,50.1,True
56,Wyoming,920.0,300.0,290.0,0.0,330.0,32.6,31.5,0.0,35.9,False
72,Puerto Rico,680.0,0.0,60.0,0.0,620.0,0.0,8.8,0.0,91.2,False
