state_name,state_abbrev,fips_code,is_octave_state,total_population,commercial_population,octave_combined_share,n_octave_payers,has_bcbs_partner,octave_raw_payer_lives,uhc_raw_payer_lives,aetna_raw_payer_lives,cigna_raw_payer_lives,anthem_bcbs_raw_payer_lives,regional_bcbs_raw_payer_lives,network_access_rate,octave_accessible_covered_lives,uhc_accessible_lives,aetna_accessible_lives,cigna_accessible_lives,anthem_bcbs_accessible_lives,regional_bcbs_accessible_lives,raw_penetration_pct,accessible_penetration_pct
Alabama,AL,1,False,5108468,3192792,0.11,3,False,351207,159639,95783,95783,0,0,0.4,140482,63855,38313,38313,0,0,6.9,2.7
Alaska,AK,2,False,733583,500303,0.16,3,False,80048,40024,25015,15009,0,0,0.4,32019,16009,10006,6003,0,0,10.9,4.4
Arizona,AZ,4,True,7431344,4889824,0.46,3,False,2249319,1369150,488982,391185,0,0,0.4,899727,547660,195592,156474,0,0,30.3,12.1
Arkansas,AR,5,False,3067732,1846774,0.2,3,False,369354,184677,92338,92338,0,0,0.4,147741,73870,36935,36935,0,0,12.0,4.8
California,CA,6,True,38965193,25872888,0.52,6,True,13453901,2069831,2069831,1552373,2587288,5174577,0.4,5381560,827932,827932,620949,1034915,2069830,34.5,13.8
Colorado,CO,8,True,5877610,4184858,0.56,4,True,2343520,753274,418485,418485,753274,0,0.4,937408,301309,167394,167394,301309,0,39.9,15.9
Connecticut,CT,9,True,3617176,2658624,0.69,4,True,1834450,319034,531724,398793,584897,0,0.4,733780,127613,212689,159517,233958,0,50.7,20.3
Delaware,DE,10,False,1018396,713895,0.5,4,True,356947,57111,57111,42833,0,199890,0.4,142778,22844,22844,17133,0,79956,35.0,14.0
District of Columbia,DC,11,True,678972,491575,0.3,3,False,147472,58989,49157,39326,0,0,0.4,58988,23595,19662,15730,0,0,21.7,8.7
Florida,FL,12,True,22610726,14516086,0.64,4,True,9290295,1741930,2032252,1161286,0,4354825,0.4,3716118,696772,812900,464514,0,1741930,41.1,16.4
Georgia,GA,13,True,11029227,7334435,0.56,4,True,4107283,1320198,733443,586754,1466887,0,0.4,1642913,528079,293377,234701,586754,0,37.2,14.9
Hawaii,HI,15,False,1435138,1034734,0.11,3,False,113820,51736,31042,31042,0,0,0.4,45528,20694,12416,12416,0,0,7.9,3.2
