state_name,state_abbrev,octave_combined_share,n_octave_payers,has_bcbs_partner,uhc_share,aetna_share,cigna_share,anthem_share,florida_blue_share,blue_shield_ca_share,highmark_share,horizon_nj_share,health_net_share
Alabama,AL,0.11,3,False,0.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,0.16,3,False,0.08,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,AZ,0.46,3,False,0.28,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,AR,0.2,3,False,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
California,CA,0.52,6,True,0.08,0.08,0.06,0.1,0.0,0.12,0.0,0.0,0.08
Colorado,CO,0.56,4,True,0.18,0.1,0.1,0.18,0.0,0.0,0.0,0.0,0.0
Connecticut,CT,0.69,4,True,0.12,0.2,0.15,0.22,0.0,0.0,0.0,0.0,0.0
Delaware,DE,0.5,4,True,0.08,0.08,0.06,0.0,0.0,0.0,0.28,0.0,0.0
District of Columbia,DC,0.3,3,False,0.12,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Florida,FL,0.64,4,True,0.12,0.14,0.08,0.0,0.3,0.0,0.0,0.0,0.0
Georgia,GA,0.56,4,True,0.18,0.1,0.08,0.2,0.0,0.0,0.0,0.0,0.0
Hawaii,HI,0.11,3,False,0.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,ID,0.22,3,False,0.12,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,IL,0.28,3,False,0.1,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,IN,0.74,4,True,0.15,0.08,0.06,0.45,0.0,0.0,0.0,0.0,0.0
Iowa,IA,0.34,3,False,0.2,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,KS,0.29,3,False,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,KY,0.64,4,True,0.1,0.08,0.06,0.4,0.0,0.0,0.0,0.0,0.0
Louisiana,LA,0.18,3,False,0.08,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Maine,ME,0.61,4,True,0.1,0.1,0.06,0.35,0.0,0.0,0.0,0.0,0.0
Maryland,MD,0.35,3,False,0.15,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,MA,0.3,3,False,0.1,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,MI,0.24,3,False,0.1,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota,MN,0.44,3,False,0.3,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi,MS,0.11,3,False,0.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,MO,0.5,4,True,0.18,0.08,0.06,0.18,0.0,0.0,0.0,0.0,0.0
Montana,MT,0.21,3,False,0.12,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,NE,0.29,3,False,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,NV,0.52,4,True,0.22,0.1,0.08,0.12,0.0,0.0,0.0,0.0,0.0
New Hampshire,NH,0.53,4,True,0.12,0.1,0.06,0.25,0.0,0.0,0.0,0.0,0.0
New Jersey,NJ,0.67,4,True,0.15,0.12,0.08,0.0,0.0,0.0,0.0,0.32,0.0
New Mexico,NM,0.29,3,False,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
New York,NY,0.48,4,True,0.18,0.12,0.08,0.1,0.0,0.0,0.0,0.0,0.0
North Carolina,NC,0.33,3,False,0.15,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota,ND,0.24,3,False,0.15,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,OH,0.56,4,True,0.18,0.1,0.08,0.2,0.0,0.0,0.0,0.0,0.0
Oklahoma,OK,0.26,3,False,0.12,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,OR,0.29,3,False,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Pennsylvania,PA,0.57,4,True,0.12,0.12,0.08,0.0,0.0,0.0,0.25,0.0,0.0
Rhode Island,RI,0.24,3,False,0.1,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,SC,0.26,3,False,0.12,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,SD,0.24,3,False,0.15,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,TN,0.4,3,False,0.18,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0
Texas,TX,0.4,3,False,0.18,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Utah,UT,0.39,3,False,0.25,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Vermont,VT,0.19,3,False,0.1,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,VA,0.6,4,True,0.18,0.12,0.08,0.22,0.0,0.0,0.0,0.0,0.0
Washington,WA,0.29,3,False,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia,WV,0.47,4,True,0.08,0.05,0.04,0.0,0.0,0.0,0.3,0.0,0.0
Wisconsin,WI,0.47,4,True,0.18,0.08,0.06,0.15,0.0,0.0,0.0,0.0,0.0
Wyoming,WY,0.21,3,False,0.12,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0
