state_name,state_abbrev,fips_code,is_octave_state,total_population,commercial_population,medicare_population,medicaid_population,uninsured_population,pct_commercial,pct_medicare,pct_medicaid,pct_uninsured
Alabama,AL,1,False,5108468,3192792,929741,1113646,383135,62.5,18.2,21.8,7.5
Alaska,AK,2,False,733583,500303,99033,185596,63821,68.2,13.5,25.3,8.7
Arizona,AZ,4,True,7431344,4889824,1270759,1738934,683683,65.8,17.1,23.4,9.2
Arkansas,AR,5,False,3067732,1846774,598207,822152,273028,60.2,19.5,26.8,8.9
California,CA,6,True,38965193,25872888,6546152,9780263,2805493,66.4,16.8,25.1,7.2
Colorado,CO,8,True,5877610,4184858,858131,1110868,399677,71.2,14.6,18.9,6.8
Connecticut,CT,9,True,3617176,2658624,585982,669177,151921,73.5,16.2,18.5,4.2
Delaware,DE,10,False,1018396,713895,176182,199605,59066,70.1,17.3,19.6,5.8
District of Columbia,DC,11,True,678972,491575,102524,134436,35306,72.4,15.1,19.8,5.2
Florida,FL,12,True,22610726,14516086,5087413,4273427,1876690,64.2,22.5,18.9,8.3
Georgia,GA,13,True,11029227,7334435,1897027,2437459,1036747,66.5,17.2,22.1,9.4
Hawaii,HI,15,False,1435138,1034734,226751,233927,44489,72.1,15.8,16.3,3.1
Idaho,ID,16,False,1964726,1334048,324179,337932,153248,67.9,16.5,17.2,7.8
Illinois,IL,17,True,12549689,8571437,2070698,2685633,740431,68.3,16.5,21.4,5.9
Indiana,IN,18,False,6862199,4535913,1221471,1530270,507802,66.1,17.8,22.3,7.4
Iowa,IA,19,False,3207004,2260937,551604,538776,163557,70.5,17.2,16.8,5.1
Kansas,KS,20,False,2940546,2034857,502833,482249,197016,69.2,17.1,16.4,6.7
Kentucky,KY,21,False,4526154,2842424,869021,1108907,357566,62.8,19.2,24.5,7.9
Louisiana,LA,22,False,4573749,2703085,905602,1298944,425358,59.1,19.8,28.4,9.3
Maine,ME,23,False,1395722,958861,272165,267978,66994,68.7,19.5,19.2,4.8
Maryland,MD,24,True,6180253,4437421,995020,1198969,327553,71.8,16.1,19.4,5.3
Massachusetts,MA,25,True,7001399,5195038,1176235,1211242,203040,74.2,16.8,17.3,2.9
Michigan,MI,26,False,10037261,6714927,1826781,2158011,612272,66.9,18.2,21.5,6.1
Minnesota,MN,27,True,5737915,4154250,906590,986921,281157,72.4,15.8,17.2,4.9
Mississippi,MS,28,False,2939690,1713839,584998,855449,288089,58.3,19.9,29.1,9.8
Missouri,MO,29,False,6196156,4052286,1146288,1412723,446123,65.4,18.5,22.8,7.2
Montana,MT,30,False,1132812,771444,202773,195976,92890,68.1,17.9,17.3,8.2
Nebraska,NE,31,False,1978379,1390800,318519,300713,114745,70.3,16.1,15.2,5.8
Nevada,NV,32,False,3194176,2082602,536621,654806,313029,65.2,16.8,20.5,9.8
New Hampshire,NH,33,False,1402054,1016489,239751,221524,65896,72.5,17.1,15.8,4.7
New Jersey,NJ,34,True,9290841,6698696,1598024,1709514,427378,72.1,17.2,18.4,4.6
New Mexico,NM,35,False,2114371,1264393,384815,611053,188179,59.8,18.2,28.9,8.9
New York,NY,36,True,19571216,13484567,3424962,4149097,1056845,68.9,17.5,21.2,5.4
North Carolina,NC,37,True,10835491,7173095,1928717,2329630,899345,66.2,17.8,21.5,8.3
North Dakota,ND,38,False,783926,562858,126996,113669,38412,71.8,16.2,14.5,4.9
Ohio,OH,39,True,11785935,7696215,2203969,2640049,801443,65.3,18.7,22.4,6.8
Oklahoma,OK,40,False,4019800,2472177,759742,996910,349722,61.5,18.9,24.8,8.7
Oregon,OR,41,True,4233358,2895616,728137,850904,283634,68.4,17.2,20.1,6.7
Pennsylvania,PA,42,True,12961683,8658404,2501604,2566413,686969,66.8,19.3,19.8,5.3
Rhode Island,RI,44,False,1095962,769365,198369,207136,44934,70.2,18.1,18.9,4.1
South Carolina,SC,45,True,5373555,3498184,961866,1171434,456752,65.1,17.9,21.8,8.5
South Dakota,SD,46,False,919318,651796,154445,136978,49643,70.9,16.8,14.9,5.4
Tennessee,TN,47,True,7126489,4553826,1318400,1653345,598625,63.9,18.5,23.2,8.4
Texas,TX,48,True,30503301,19735635,4636501,6649719,3294356,64.7,15.2,21.8,10.8
Utah,UT,49,False,3417734,2522287,427216,485318,208481,73.8,12.5,14.2,6.1
Vermont,VT,50,False,647464,456462,124313,115248,27840,70.5,19.2,17.8,4.3
Virginia,VA,51,True,8642274,6023664,1408690,1685243,535820,69.7,16.3,19.5,6.2
Washington,WA,53,True,7812880,5492454,1289125,1421944,476585,70.3,16.5,18.2,6.1
West Virginia,WV,54,False,1770071,1047882,380565,461988,138065,59.2,21.5,26.1,7.8
Wisconsin,WI,55,True,5893718,4137390,1031400,1066762,288792,70.2,17.5,18.1,4.9
Wyoming,WY,56,False,576851,398604,99218,85373,38649,69.1,17.2,14.8,6.7
