state_name,state_abbrev,fips_code,is_octave_state,population_18_plus,ami_prevalence_pct,ami_population,smi_prevalence_pct,smi_population,mde_prevalence_pct,mde_population,sud_prevalence_pct,sud_population,received_treatment_coverage_pct,treatment_gap_pct,treatment_gap_population,mha_rank,mha_burden_percentile,providers_per_100k,ami_per_100k,demand_supply_ratio
Alabama,AL,1,False,3978822,21.8,867383,5.2,206898,9.1,362072,4.8,190983,42.3,57.7,500479,42,90,151.5,21800.0,143.89
Alaska,AK,2,False,559040,23.1,129138,5.8,32424,10.2,57022,6.1,34101,38.9,61.1,78903,44,94,201.4,23100.0,114.7
Arizona,AZ,4,True,5851265,20.9,1222914,5.0,292563,8.7,509060,5.2,304265,44.1,55.9,683608,25,56,198.0,20900.0,105.56
Arkansas,AR,5,False,2366744,22.5,532517,5.5,130170,9.3,220107,5.1,120703,40.2,59.8,318445,41,88,175.1,22500.0,128.5
California,CA,6,True,30527864,19.8,6044517,4.6,1404281,8.2,2503284,4.9,1495865,46.8,53.2,3215683,12,30,172.1,19800.0,115.05
Colorado,CO,8,True,4666930,21.2,989389,4.8,224012,8.9,415356,5.6,261348,45.3,54.7,541195,10,26,197.2,21200.0,107.51
Connecticut,CT,9,True,2894552,20.1,581804,4.5,130254,8.3,240247,4.2,121571,48.7,51.3,298465,2,10,275.7,20100.0,72.91
Delaware,DE,10,False,819965,21.4,175472,5.1,41818,8.9,72976,4.9,40178,43.5,56.5,99141,13,32,207.8,21400.0,102.98
District of Columbia,DC,11,True,552446,19.5,107726,4.3,23755,7.8,43090,4.1,22650,52.1,47.9,51600,50,6,752.9,19500.0,25.9
Florida,FL,12,True,18231710,20.8,3792195,5.1,929817,8.8,1604390,5.3,966280,45.2,54.8,2078122,24,54,156.2,20800.0,133.16
Georgia,GA,13,True,8494879,21.5,1826398,5.3,450228,9.0,764539,5.2,441733,43.1,56.9,1039220,19,44,176.7,21500.0,121.68
Hawaii,HI,15,False,1141251,19.9,227108,4.7,53638,8.4,95865,4.4,50215,47.3,52.7,119685,6,18,221.0,19900.0,90.05
Idaho,ID,16,False,1498335,22.3,334128,5.6,83906,9.4,140843,5.7,85405,39.8,60.2,201145,38,82,176.1,22300.0,126.63
Illinois,IL,17,True,9848062,20.6,2028700,4.9,482555,8.6,846933,4.7,462858,45.9,54.1,1097526,14,34,188.5,20600.0,109.28
Indiana,IN,18,False,5281293,21.9,1156603,5.4,285189,9.2,485878,5.4,285189,41.7,58.3,674299,31,68,179.7,21900.0,121.87
Iowa,IA,19,False,2481457,21.1,523587,5.0,124072,8.8,218368,5.1,126554,44.2,55.8,292161,27,60,223.2,21100.0,94.53
Kansas,KS,20,False,2253783,21.3,480055,5.2,117196,8.9,200586,5.3,119450,42.8,57.2,274591,30,66,206.9,21300.0,102.95
Kentucky,KY,21,False,3514417,23.4,822373,5.9,207350,10.1,354956,6.2,217893,38.5,61.5,505759,45,96,199.3,23400.0,117.41
Louisiana,LA,22,False,3510313,23.1,810882,5.8,203598,9.9,347520,6.3,221149,37.2,62.8,509233,46,98,212.9,23100.0,108.5
Maine,ME,23,False,1149944,21.7,249537,5.3,60947,9.1,104644,5.8,66696,42.3,57.7,143982,29,64,273.3,21700.0,79.4
Maryland,MD,24,True,4821332,20.3,978730,4.7,226602,8.4,404991,4.5,216959,47.5,52.5,513833,5,16,197.3,20300.0,102.89
Massachusetts,MA,25,True,5659960,19.8,1120672,4.4,249038,8.0,452796,4.1,232058,50.2,49.8,558094,1,8,235.1,19800.0,84.22
Michigan,MI,26,False,7926790,21.8,1728040,5.4,428046,9.2,729264,5.5,435973,42.1,57.9,1000535,33,72,167.3,21800.0,130.3
Minnesota,MN,27,True,4442940,20.4,906359,4.8,213261,8.5,377649,4.6,204375,46.8,53.2,482182,8,22,212.8,20400.0,95.86
Mississippi,MS,28,False,2264456,23.8,538940,6.1,138131,10.4,235503,6.1,138131,35.9,64.1,345460,48,102,165.7,23800.0,143.63
Missouri,MO,29,False,4824817,22.2,1071109,5.5,265364,9.4,453532,5.8,279839,41.3,58.7,628740,40,86,186.5,22200.0,119.03
Montana,MT,30,False,897250,22.6,202778,5.7,51143,9.6,86136,6.2,55629,38.7,61.3,124302,36,78,231.8,22600.0,97.5
Nebraska,NE,31,False,1499785,20.9,313455,5.0,74989,8.7,130481,5.2,77988,43.4,56.6,177415,32,70,217.0,20900.0,96.31
Nevada,NV,32,False,2509660,21.5,539576,5.3,133011,9.0,225869,5.9,148069,41.8,58.2,314033,34,74,171.2,21500.0,125.58
New Hampshire,NH,33,False,1151339,20.8,239478,5.0,57566,8.6,99015,5.4,62172,44.7,55.3,132431,9,24,310.2,20800.0,67.05
New Jersey,NJ,34,True,7281676,20.0,1456335,4.6,334957,8.2,597097,4.3,313112,48.1,51.9,755837,3,12,190.3,20000.0,105.1
New Mexico,NM,35,False,1665813,22.9,381471,5.8,96617,9.8,163249,6.4,106612,37.6,62.4,238037,47,100,203.9,22900.0,112.31
New York,NY,36,True,15620467,20.2,3155334,4.5,702921,8.3,1296498,4.4,687300,49.3,50.7,1599754,4,14,192.3,20200.0,105.04
North Carolina,NC,37,True,8512992,21.2,1804754,5.2,442675,8.9,757656,5.3,451188,43.8,56.2,1014271,20,46,172.2,21200.0,123.11
North Dakota,ND,38,False,604326,20.7,125095,4.9,29611,8.5,51367,5.1,30820,44.1,55.9,69928,37,80,250.5,20700.0,82.63
