state_name,state_abbrev,fips_code,is_octave_state,total_population,est_competitor_providers,competitor_providers_per_100k,bh_facilities,bh_facility_density_per_100k,broadband_pct,competitive_intensity_score,intensity_category,expansion_opportunity_score
Alabama,AL,1,False,5108468,1387,27.2,174,3.4,87.6,74,Very High,49
Alaska,AK,2,False,733406,199,27.1,21,2.8,86.2,37,Moderate,52
Arizona,AZ,4,True,7431344,2017,27.1,305,4.1,90.6,64,High,59
Arkansas,AR,5,False,3067732,833,27.2,98,3.2,87.4,67,High,51
California,CA,6,True,38965193,13750,35.3,2260,5.8,92.8,99,Very High,50
Colorado,CO,8,True,5877610,1595,27.1,276,4.7,93.8,58,High,68
Connecticut,CT,9,True,3617176,982,27.1,188,5.2,94.5,52,High,70
Delaware,DE,10,False,1031890,280,27.1,36,3.5,90.4,39,Moderate,68
District of Columbia,DC,11,True,678972,184,27.1,58,8.5,96.5,36,Moderate,64
Florida,FL,12,True,22610726,7979,35.3,1176,5.2,89.4,97,Very High,43
Georgia,GA,13,True,11029227,2994,27.1,463,4.2,90.2,69,High,56
Hawaii,HI,15,False,1435138,390,27.2,46,3.2,86.0,61,High,49
Idaho,ID,16,False,1964726,533,27.1,59,3.0,86.8,45,Moderate,56
Illinois,IL,17,True,12549689,3406,27.1,602,4.8,93.0,70,Very High,62
Indiana,IN,18,False,6862199,1863,27.1,261,3.8,88.6,61,High,55
Iowa,IA,19,False,3207004,870,27.1,115,3.6,88.2,50,High,58
Kansas,KS,20,False,2940547,798,27.1,100,3.4,88.4,48,Moderate,59
Kentucky,KY,21,False,4526154,1229,27.2,154,3.4,87.2,72,Very High,48
Louisiana,LA,22,False,4573749,1241,27.1,151,3.3,88.8,55,High,58
Maine,ME,23,False,1395722,379,27.2,52,3.7,89.0,60,High,57
Maryland,MD,24,True,6180253,1678,27.2,309,5.0,94.2,78,Very High,62
Massachusetts,MA,25,True,7001399,1900,27.1,385,5.5,95.2,62,High,68
Michigan,MI,26,False,10037261,2724,27.1,432,4.3,91.4,67,High,60
Minnesota,MN,27,True,5737915,1557,27.1,252,4.4,92.4,58,High,64
Mississippi,MS,28,False,2939690,798,27.1,88,3.0,77.4,47,Moderate,49
Missouri,MO,29,False,6196156,1682,27.1,217,3.5,89.2,61,High,57
Montana,MT,30,False,1132812,307,27.1,33,2.9,86.4,41,Moderate,57
Nebraska,NE,31,False,1978379,537,27.1,63,3.2,88.0,46,Moderate,59
Nevada,NV,32,False,3194176,867,27.1,121,3.8,90.8,50,High,65
New Hampshire,NH,33,False,1402054,381,27.2,50,3.6,94.8,61,High,72
New Jersey,NJ,34,True,9290841,2522,27.1,474,5.1,94.0,66,High,65
New Mexico,NM,35,False,2114371,574,27.1,68,3.2,87.0,47,Moderate,56
New York,NY,36,True,19571216,6906,35.3,1213,6.2,93.2,97,Very High,51
North Carolina,NC,37,True,10835491,2941,27.1,433,4.0,90.0,68,High,56
North Dakota,ND,38,False,783926,213,27.2,21,2.7,84.6,56,High,43
Ohio,OH,39,True,11785935,3199,27.1,519,4.4,91.6,69,High,60
Oklahoma,OK,40,False,4053824,1100,27.1,134,3.3,87.8,53,High,56
Oregon,OR,41,True,4233358,1149,27.1,191,4.5,91.2,54,High,63
Pennsylvania,PA,42,True,12961683,3518,27.1,596,4.6,91.8,71,Very High,60
Rhode Island,RI,44,False,1095962,297,27.1,43,3.9,85.0,40,Moderate,51
South Carolina,SC,45,True,5373555,1459,27.2,193,3.6,86.6,75,Very High,45
South Dakota,SD,46,False,919318,250,27.2,26,2.8,85.8,57,High,45
Tennessee,TN,47,True,7126489,1934,27.1,278,3.9,89.8,63,High,58
Texas,TX,48,True,30503301,10764,35.3,1373,4.5,89.6,98,Very High,45
Utah,UT,49,False,3417734,928,27.2,120,3.5,92.6,69,High,64
Vermont,VT,50,False,647464,176,27.2,25,3.8,85.2,54,High,43
Virginia,VA,51,True,8715698,2366,27.1,383,4.4,93.4,65,High,65
Washington,WA,53,True,7812880,2121,27.1,359,4.6,93.6,65,High,65
West Virginia,WV,54,False,1770071,480,27.1,53,3.0,85.4,44,Moderate,53
Wisconsin,WI,55,True,5910955,1604,27.1,248,4.2,91.0,59,High,62
Wyoming,WY,56,False,584057,159,27.2,15,2.5,84.2,53,High,44
