state_name,state_abbrev,fips_code,is_octave_state,psypact_member,counseling_compact,sw_compact,compact_score,telehealth_parity,telehealth_score,lcsw_initial_fee,lcsw_renewal_fee,estimated_processing_weeks,medicare_90834_rate,medicare_90837_rate,medicare_90791_rate,medicaid_90834_est,reimbursement_favorability,regulatory_ease_score
Alabama,AL,1,False,1,1,1,3,No Parity,1,215,175,6,102,137,165,73,7,6.2
Alaska,AK,2,False,0,0,0,0,No Parity,1,350,280,8,115,154,187,90,8,1.8
Arizona,AZ,4,True,1,1,1,3,Full Parity,3,280,220,4,108,145,176,81,8,9.3
Arkansas,AR,5,False,1,1,1,3,No Parity,1,180,150,5,98,131,159,67,6,6.2
California,CA,6,True,0,0,0,0,Full Parity,3,340,275,10,118,158,192,100,9,4.9
Colorado,CO,8,True,1,1,1,3,Full Parity,3,250,190,4,111,149,181,89,8,9.4
Connecticut,CT,9,True,1,1,1,3,Full Parity,3,310,240,6,120,161,196,106,9,9.2
Delaware,DE,10,False,1,1,1,3,Full Parity,3,200,165,5,105,141,171,86,7,9.3
District of Columbia,DC,11,True,1,0,0,1,No Parity,1,380,300,8,128,172,209,115,10,3.4
Florida,FL,12,True,1,1,0,2,Conditional,2,275,220,6,109,146,178,76,8,6.3
Georgia,GA,13,True,1,1,1,3,Full Parity,3,230,185,5,104,139,169,71,7,9.2
Hawaii,HI,15,False,0,0,0,0,Full Parity,3,420,340,12,122,164,199,112,9,4.5
Idaho,ID,16,False,1,1,0,2,No Parity,1,195,160,4,100,134,162,65,6,4.9
Illinois,IL,17,True,1,0,0,1,Full Parity,3,290,230,7,112,150,182,90,8,6.4
Indiana,IN,18,False,1,1,0,2,Full Parity,3,215,175,5,103,138,167,77,7,7.9
Iowa,IA,19,False,0,1,1,2,No Parity,1,205,170,4,101,135,164,79,7,5.0
Kansas,KS,20,False,1,1,1,3,No Parity,1,185,150,4,99,133,161,69,6,6.2
Kentucky,KY,21,False,1,1,1,3,Full Parity,3,200,165,5,102,137,166,73,7,9.3
Louisiana,LA,22,False,0,1,1,2,No Parity,1,240,190,6,103,138,168,62,7,4.8
Maine,ME,23,False,1,1,1,3,Full Parity,3,220,180,5,106,142,173,90,7,9.2
Maryland,MD,24,True,1,1,1,3,Full Parity,3,260,210,6,113,152,185,96,8,9.2
Massachusetts,MA,25,True,0,0,0,0,Conditional,2,340,270,8,125,168,204,119,10,3.7
Michigan,MI,26,False,1,1,0,2,No Parity,1,280,225,6,110,147,179,86,8,4.8
Minnesota,MN,27,True,1,1,1,3,Full Parity,3,270,215,5,114,153,186,105,8,9.3
Mississippi,MS,28,False,1,1,1,3,No Parity,1,195,160,5,97,130,158,56,6,6.1
Missouri,MO,29,False,1,1,1,3,Full Parity,3,210,170,5,105,141,171,74,7,9.3
Montana,MT,30,False,1,1,0,2,Full Parity,3,190,155,4,100,134,163,72,6,7.9
Nebraska,NE,31,False,1,1,1,3,Full Parity,3,200,165,4,100,134,163,75,6,9.2
Nevada,NV,32,False,1,0,0,1,No Parity,1,300,240,6,111,149,181,83,8,3.4
New Hampshire,NH,33,False,1,1,1,3,No Parity,1,230,185,5,108,145,176,86,8,6.4
New Jersey,NJ,34,True,1,1,1,3,Full Parity,3,320,260,7,123,165,201,108,10,9.3
New Mexico,NM,35,False,0,0,0,0,Full Parity,3,220,180,5,104,139,169,68,7,5.2
New York,NY,36,True,0,0,0,0,Full Parity,3,360,290,9,129,173,210,119,10,5.0
North Carolina,NC,37,True,1,1,1,3,Conditional,2,245,195,5,105,141,171,71,7,7.7
North Dakota,ND,38,False,1,1,1,3,No Parity,1,175,145,3,98,131,159,78,6,6.3
Ohio,OH,39,True,1,1,1,3,Full Parity,3,260,210,5,108,145,176,86,8,9.3
Oklahoma,OK,40,False,1,1,1,3,No Parity,1,215,175,5,101,135,164,66,7,6.2
Oregon,OR,41,True,0,0,0,0,Full Parity,3,280,225,6,112,150,182,92,8,5.2
Pennsylvania,PA,42,True,1,0,0,1,Conditional,2,310,250,8,115,154,187,98,8,4.8
Rhode Island,RI,44,False,1,1,1,3,No Parity,1,240,195,5,118,158,192,104,9,6.5
South Carolina,SC,45,True,1,1,1,3,No Parity,1,225,180,5,103,138,168,64,7,6.2
South Dakota,SD,46,False,1,1,1,3,No Parity,1,185,150,4,99,133,161,74,6,6.2
Tennessee,TN,47,True,1,1,1,3,No Parity,1,240,195,5,106,142,173,74,7,6.2
Texas,TX,48,True,1,0,0,1,Conditional,2,305,245,7,109,146,178,60,8,4.8
Utah,UT,49,False,1,1,1,3,No Parity,1,215,175,4,104,139,169,75,7,6.3
Vermont,VT,50,False,1,0,1,2,No Parity,1,210,170,4,107,143,174,96,7,5.0
Virginia,VA,51,True,1,1,1,3,Full Parity,3,250,200,5,111,149,181,83,8,9.3
Washington,WA,53,True,1,1,1,3,Full Parity,3,300,240,6,116,156,189,99,9,9.3
West Virginia,WV,54,False,1,1,0,2,No Parity,1,200,165,5,101,135,164,69,7,4.9
Wisconsin,WI,55,True,1,1,0,2,No Parity,1,270,215,5,110,147,179,97,8,4.9
Wyoming,WY,56,False,1,1,0,2,No Parity,1,175,145,4,99,133,161,69,6,4.9
