state_name,state_abbrev,is_octave_state,total_population,population_18_plus,commercial_population,total_bh_providers,providers_per_100k,total_therapy_providers,total_prescribers,octave_accessible_covered_lives,octave_raw_payer_lives,accessible_penetration_pct,has_bcbs_partner,n_octave_payers,treatment_gap_pct,treatment_gap_population,ami_prevalence_pct,competitive_intensity_score,broadband_pct,compact_score,regulatory_ease_score,reimbursement_favorability,telehealth_parity,medicare_90837_rate,provider_pool_score,payer_coverage_score,unmet_demand_score,competitive_advantage_score,regulatory_score,reimbursement_score,expansion_opportunity_score,expansion_tier
Connecticut,CT,True,3617176,2894552,2658624,9974,275.7,9740,814,733780,1834450,20.3,True,4,51.3,298465,20.1,52,94.5,3,9.2,9,Full Parity,161,20.7,100.0,21.0,74.6,97.4,75.0,62.9,Current Octave
New Jersey,NJ,True,9290841,7281676,6698696,17679,190.3,17200,1529,1795250,4488126,19.3,True,4,51.9,755837,20.0,66,94.0,3,9.3,10,Full Parity,165,6.5,94.4,24.7,52.4,98.7,100.0,59.9,Current Octave
Maine,ME,False,1395722,1149944,958861,3814,273.3,3710,324,233962,584905,16.8,True,4,57.7,143982,21.7,60,89.0,3,9.2,7,Full Parity,142,20.3,80.2,60.5,61.9,97.4,25.0,59.5,Tier 1: High Priority
Kentucky,KY,False,4526154,3514417,2842424,9019,199.3,8750,789,727660,1819151,16.1,True,4,61.5,505759,23.4,72,87.2,3,9.3,7,Full Parity,137,7.9,76.3,84.0,42.9,98.7,25.0,59.0,Tier 1: High Priority
Indiana,IN,False,6862199,5281293,4535913,12332,179.7,11950,1132,1342630,3356575,19.6,True,4,58.3,674299,21.9,61,88.6,2,7.9,7,Full Parity,138,4.7,96.0,64.2,60.3,80.3,25.0,58.4,Tier 1: High Priority
Delaware,DE,False,1031890,819965,713895,2144,207.8,2080,184,142778,356947,14.0,True,4,56.5,99141,21.4,39,90.4,3,9.3,7,Full Parity,141,9.4,64.4,53.1,95.2,98.7,25.0,55.4,Tier 1: High Priority
Colorado,CO,True,5877610,4666930,4184858,11591,197.2,11300,941,937408,2343520,15.9,True,4,54.7,541195,21.2,58,93.8,3,9.4,8,Full Parity,149,7.6,75.1,42.0,65.1,100.0,50.0,55.2,Current Octave
Ohio,OH,True,11785935,9215314,7696215,19660,166.8,19000,1810,1723952,4309880,14.6,True,4,58.1,1183255,22.1,69,91.6,3,9.3,8,Full Parity,145,2.5,67.8,63.0,47.6,98.7,50.0,54.6,Current Octave
Virginia,VA,True,8715698,6843521,6023664,16058,184.2,15600,1408,1445679,3614198,16.7,True,4,53.7,753368,20.5,65,93.4,3,9.3,8,Full Parity,149,5.4,79.7,35.8,54.0,98.7,50.0,53.4,Current Octave
Missouri,MO,False,6196156,4824817,4052286,11558,186.5,11210,1028,810457,2026143,13.1,True,4,58.7,628740,22.2,61,89.2,3,9.3,7,Full Parity,141,5.8,59.3,66.7,60.3,98.7,25.0,52.7,Tier 1: High Priority
New Hampshire,NH,False,1402054,1151339,1016489,4349,310.2,4250,349,215495,538739,15.4,True,4,55.3,132431,20.8,61,94.8,3,6.4,8,No Parity,145,26.4,72.3,45.7,60.3,60.5,50.0,52.6,Tier 1: High Priority
West Virginia,WV,False,1770071,1418429,1047882,4499,254.2,4365,394,197001,492504,11.1,True,4,63.6,217410,24.1,44,85.4,2,4.9,7,No Parity,135,17.1,48.0,96.9,87.3,40.8,25.0,52.2,Tier 1: High Priority
District of Columbia,DC,True,678972,552446,491575,5112,752.9,5020,412,58988,147472,8.7,False,3,47.9,51600,19.5,36,96.5,1,3.4,10,No Parity,172,100.0,34.5,0.0,100.0,21.1,100.0,51.8,Current Octave
Georgia,GA,True,11029227,8494879,7334435,19492,176.7,18950,1742,1642913,4107283,14.9,True,4,56.9,1039220,21.5,69,90.2,3,9.2,7,Full Parity,139,4.2,69.5,55.6,47.6,97.4,25.0,51.2,Current Octave
Arizona,AZ,True,7431344,5851265,4889824,14714,198.0,14350,1314,899727,2249319,12.1,False,3,55.9,683608,20.9,64,90.6,3,9.3,8,Full Parity,145,7.7,53.7,49.4,55.6,98.7,50.0,50.2,Current Octave
Minnesota,MN,True,5737915,4442940,4154250,12208,212.8,11870,1058,731148,1827870,12.7,False,3,53.2,482182,20.4,58,92.4,3,9.3,8,Full Parity,153,10.2,57.1,32.7,65.1,98.7,50.0,49.2,Current Octave
Nevada,NV,False,3194176,2509660,2082602,5469,171.2,5320,469,433181,1082953,13.6,True,4,58.2,314033,21.5,50,90.8,1,3.4,8,No Parity,149,3.3,62.1,63.6,77.8,21.1,50.0,44.8,Tier 2: Medium Priority
Montana,MT,False,1132812,897250,771444,2626,231.8,2550,226,64801,162003,5.7,False,3,61.3,124302,22.6,41,86.4,2,7.9,6,Full Parity,134,13.4,17.5,82.7,92.1,80.3,0.0,44.8,Tier 2: Medium Priority
Tennessee,TN,True,7126489,5563129,4553826,14510,203.6,14050,1310,728612,1821530,10.2,False,3,59.9,743105,22.3,63,89.8,3,6.2,7,No Parity,142,8.7,42.9,74.1,57.1,57.9,25.0,44.2,Current Octave
Washington,WA,True,7812880,6165688,5492454,13162,168.5,12750,1162,637124,1592811,8.2,False,3,54.3,696377,20.8,65,93.6,3,9.3,9,Full Parity,156,2.8,31.6,39.5,54.0,98.7,75.0,44.1,Current Octave
Nebraska,NE,False,1978379,1499785,1390800,4294,217.0,4160,374,161332,403332,8.2,False,3,56.6,177415,20.9,46,88.0,3,9.2,6,Full Parity,134,10.9,31.6,53.7,84.1,97.4,0.0,43.8,Tier 2: Medium Priority
Rhode Island,RI,False,1095962,892705,769365,3096,282.5,3020,256,73858,184647,6.7,False,3,53.8,97975,20.4,40,85.0,3,6.5,9,No Parity,158,21.8,23.2,36.4,93.7,61.8,75.0,43.6,Tier 2: Medium Priority
New Mexico,NM,False,2114371,1665813,1264393,4312,203.9,4180,382,146669,366673,6.9,False,3,62.4,238037,22.9,47,87.0,0,5.2,7,Full Parity,139,8.7,24.3,89.5,82.5,44.7,25.0,43.2,Tier 2: Medium Priority
Pennsylvania,PA,True,12961683,10337054,8658404,22875,176.5,22150,2075,1974116,4935290,15.2,True,4,55.2,1192565,20.9,71,91.8,1,4.8,8,Conditional,154,4.2,71.2,45.1,44.4,39.5,50.0,43.0,Current Octave
Wisconsin,WI,True,5910955,4666877,4137390,10802,182.7,10480,942,777829,1944573,13.2,True,4,55.5,543924,21.0,59,91.0,2,4.9,8,No Parity,147,5.2,59.9,46.9,63.5,40.8,50.0,42.9,Current Octave
Florida,FL,True,22610726,18231710,14516086,35320,156.2,34200,3220,3716118,9290295,16.4,True,4,54.8,2078122,20.8,97,89.4,2,6.3,8,Conditional,146,0.8,78.0,42.6,3.2,59.2,50.0,42.4,Current Octave
Oklahoma,OK,False,4053824,3088080,2472177,7198,177.6,6980,638,257106,642766,6.4,False,3,61.8,442756,23.2,53,87.8,3,6.2,7,No Parity,135,4.3,21.5,85.8,73.0,57.9,25.0,41.9,Tier 2: Medium Priority
Oregon,OR,True,4233358,3403557,2895616,9982,235.8,9740,822,335891,839728,7.9,False,3,57.5,420764,21.5,54,91.2,0,5.2,8,Full Parity,150,14.0,29.9,59.3,71.4,44.7,50.0,41.0,Current Octave
