rank,state_name,state_abbrev,expansion_opportunity_score,population_18_plus,total_bh_providers,octave_accessible_covered_lives,treatment_gap_pct,competitive_intensity_score,compact_score,regulatory_ease_score,reimbursement_favorability,annual_patients,annual_sessions,annual_revenue_opportunity,annual_gross_margin,cumulative_providers,cumulative_covered_lives,cumulative_annual_revenue,credentialing_weeks,credentialing_description,expansion_wave
1,Maine,ME,59.5,1149944,3814,233962,57.7,60,3,9.2,7,1170.0,23400.0,3042000.0,351000.0,3814,233962,3042000.0,3.0,3 compacts (2-4 wks),Wave 1: Q1-2 (6 months)
2,Kentucky,KY,59.0,3514417,9019,727660,61.5,72,3,9.3,7,3638.0,72760.0,9458800.0,1091400.0,12833,961622,12500800.0,3.0,3 compacts (2-4 wks),Wave 1: Q1-2 (6 months)
3,Indiana,IN,58.4,5281293,12332,1342630,58.3,61,2,7.9,7,6713.0,134260.0,17453800.0,2013900.0,25165,2304252,29954600.0,6.0,2 compacts (4-8 wks),Wave 2: Q3-4 (12 months)
4,Delaware,DE,55.4,819965,2144,142778,56.5,39,3,9.3,7,714.0,14280.0,1856400.0,214200.0,27309,2447030,31811000.0,3.0,3 compacts (2-4 wks),Wave 1: Q1-2 (6 months)
5,Missouri,MO,52.7,4824817,11558,810457,58.7,61,3,9.3,7,4052.0,81040.0,10535200.0,1215600.0,38867,3257487,42346200.0,3.0,3 compacts (2-4 wks),Wave 1: Q1-2 (6 months)
6,New Hampshire,NH,52.6,1151339,4349,215495,55.3,61,3,6.4,8,1077.0,21540.0,2800200.0,323100.0,43216,3472982,45146400.0,3.0,3 compacts (2-4 wks),Wave 1: Q1-2 (6 months)
7,West Virginia,WV,52.2,1418429,4499,197001,63.6,44,2,4.9,7,985.0,19700.0,2561000.0,295500.0,47715,3669983,47707400.0,6.0,2 compacts (4-8 wks),Wave 2: Q3-4 (12 months)
8,Nevada,NV,44.8,2509660,5469,433181,58.2,50,1,3.4,8,2166.0,43320.0,5631600.0,649800.0,53184,4103164,53339000.0,10.0,1 compact (8-12 wks),Wave 4: Year 2+ (24+ months)
9,Montana,MT,44.8,897250,2626,64801,61.3,41,2,7.9,6,324.0,6480.0,842400.0,97200.0,55810,4167965,54181400.0,6.0,2 compacts (4-8 wks),Wave 3: Year 2 (18 months)
10,Nebraska,NE,43.8,1499785,4294,161332,56.6,46,3,9.2,6,807.0,16140.0,2098200.0,242100.0,60104,4329297,56279600.0,3.0,3 compacts (2-4 wks),Wave 3: Year 2 (18 months)
11,Rhode Island,RI,43.6,892705,3096,73858,53.8,40,3,6.5,9,369.0,7380.0,959400.0,110700.0,63200,4403155,57239000.0,3.0,3 compacts (2-4 wks),Wave 3: Year 2 (18 months)
12,New Mexico,NM,43.2,1665813,4312,146669,62.4,47,0,5.2,7,733.0,14660.0,1905800.0,219900.0,67512,4549824,59144800.0,16.0,0 compacts (12-20 wks),Wave 4: Year 2+ (24+ months)
13,Oklahoma,OK,41.9,3088080,7198,257106,61.8,53,3,6.2,7,1286.0,25720.0,3343600.0,385800.0,74710,4806930,62488400.0,3.0,3 compacts (2-4 wks),Wave 3: Year 2 (18 months)
14,Iowa,IA,38.6,2481457,7159,307487,55.8,50,2,5.0,7,1537.0,30740.0,3996200.0,461100.0,81869,5114417,66484600.0,6.0,2 compacts (4-8 wks),Wave 3: Year 2 (18 months)
