state_name,state_abbrev,annual_patients,annual_sessions,gross_revenue,provider_cost_low,provider_cost_mid,provider_cost_high,gross_margin_low,gross_margin_mid,gross_margin_high,margin_pct_low,margin_pct_mid,margin_pct_high,margin_per_session_low,margin_per_session_mid,margin_per_session_high,expansion_opportunity_score
Maine,ME,1170.0,23400.0,3042000.0,2503800.0,2597400.0,2691000.0,538200.0,444600.0,351000.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,59.5
Kentucky,KY,3638.0,72760.0,9458800.0,7785320.0,8076360.0,8367400.0,1673480.0,1382440.0,1091400.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,59.0
Indiana,IN,6713.0,134260.0,17453800.0,14365820.0,14902860.0,15439900.0,3087980.0,2550940.0,2013900.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,58.4
Delaware,DE,714.0,14280.0,1856400.0,1527960.0,1585080.0,1642200.0,328440.0,271320.0,214200.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,55.4
Missouri,MO,4052.0,81040.0,10535200.0,8671280.0,8995440.0,9319600.0,1863920.0,1539760.0,1215600.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,52.7
New Hampshire,NH,1077.0,21540.0,2800200.0,2304780.0,2390940.0,2477100.0,495420.0,409260.0,323100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,52.6
West Virginia,WV,985.0,19700.0,2561000.0,2107900.0,2186700.0,2265500.0,453100.0,374300.0,295500.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,52.2
Nevada,NV,2166.0,43320.0,5631600.0,4635240.0,4808520.0,4981800.0,996360.0,823080.0,649800.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,44.8
Montana,MT,324.0,6480.0,842400.0,693360.0,719280.0,745200.0,149040.0,123120.0,97200.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,44.8
Nebraska,NE,807.0,16140.0,2098200.0,1726980.0,1791540.0,1856100.0,371220.0,306660.0,242100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,43.8
Rhode Island,RI,369.0,7380.0,959400.0,789660.0,819180.0,848700.0,169740.0,140220.0,110700.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,43.6
New Mexico,NM,733.0,14660.0,1905800.0,1568620.0,1627260.0,1685900.0,337180.0,278540.0,219900.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,43.2
Oklahoma,OK,1286.0,25720.0,3343600.0,2752040.0,2854920.0,2957800.0,591560.0,488680.0,385800.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,41.9
Iowa,IA,1537.0,30740.0,3996200.0,3289180.0,3412140.0,3535100.0,707020.0,584060.0,461100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,38.6
Louisiana,LA,973.0,19460.0,2529800.0,2082220.0,2160060.0,2237900.0,447580.0,369740.0,291900.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,38.2
Utah,UT,1967.0,39340.0,5114200.0,4209380.0,4366740.0,4524100.0,904820.0,747460.0,590100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,38.1
Kansas,KS,1180.0,23600.0,3068000.0,2525200.0,2619600.0,2714000.0,542800.0,448400.0,354000.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,37.7
Mississippi,MS,377.0,7540.0,980200.0,806780.0,836940.0,867100.0,173420.0,143260.0,113100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,37.2
Wyoming,WY,167.0,3340.0,434200.0,357380.0,370740.0,384100.0,76820.0,63460.0,50100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,36.7
Vermont,VT,173.0,3460.0,449800.0,370220.0,384060.0,397900.0,79580.0,65740.0,51900.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,35.9
Idaho,ID,587.0,11740.0,1526200.0,1256180.0,1303140.0,1350100.0,270020.0,223060.0,176100.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,35.5
Alaska,AK,160.0,3200.0,416000.0,342400.0,355200.0,368000.0,73600.0,60800.0,48000.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,35.4
North Dakota,ND,270.0,5400.0,702000.0,577800.0,599400.0,621000.0,124200.0,102600.0,81000.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,35.0
South Dakota,SD,313.0,6260.0,813800.0,669820.0,694860.0,719900.0,143980.0,118940.0,93900.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,35.0
Michigan,MI,3223.0,64460.0,8379800.0,6897220.0,7155060.0,7412900.0,1482580.0,1224740.0,966900.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,34.2
Arkansas,AR,739.0,14780.0,1921400.0,1581460.0,1640580.0,1699700.0,339940.0,280820.0,221700.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,32.3
Hawaii,HI,228.0,4560.0,592800.0,487920.0,506160.0,524400.0,104880.0,86640.0,68400.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,27.9
Alabama,AL,702.0,14040.0,1825200.0,1502280.0,1558440.0,1614600.0,322920.0,266760.0,210600.0,17.692307692307693,14.615384615384615,11.538461538461538,23,19,15,27.4
