user_id,signup_date,device,channel,stage,timestamp,reached
U00001,2025-04-13,mobile,organic,landing_page,2025-04-13 00:00:00,True
U00001,2025-04-13,mobile,organic,signup,2025-04-13 00:01:46,False
U00002,2025-06-29,desktop,paid_search,landing_page,2025-06-29 00:00:00,True
U00002,2025-06-29,desktop,paid_search,signup,2025-06-29 00:07:10,False
U00003,2025-04-03,desktop,organic,landing_page,2025-04-03 00:00:00,True
U00003,2025-04-03,desktop,organic,signup,2025-04-03 00:00:48,False
U00004,2025-01-15,mobile,paid_search,landing_page,2025-01-15 00:00:00,True
U00004,2025-01-15,mobile,paid_search,signup,2025-01-15 00:01:48,True
U00004,2025-01-15,mobile,paid_search,product_view,2025-01-15 00:02:53,False
U00005,2025-04-17,desktop,email,landing_page,2025-04-17 00:00:00,True
U00005,2025-04-17,desktop,email,signup,2025-04-17 00:08:21,False
U00006,2025-03-13,tablet,social,landing_page,2025-03-13 00:00:00,True
U00006,2025-03-13,tablet,social,signup,2025-03-13 00:01:05,False
U00007,2025-01-21,desktop,organic,landing_page,2025-01-21 00:00:00,True
U00007,2025-01-21,desktop,organic,signup,2025-01-21 00:00:19,True
U00007,2025-01-21,desktop,organic,product_view,2025-01-21 00:00:26,True
U00007,2025-01-21,desktop,organic,add_to_cart,2025-01-21 00:02:36,False
U00008,2025-04-13,desktop,paid_search,landing_page,2025-04-13 00:00:00,True
U00008,2025-04-13,desktop,paid_search,signup,2025-04-13 00:01:22,False
U00009,2025-05-02,mobile,social,landing_page,2025-05-02 00:00:00,True
U00009,2025-05-02,mobile,social,signup,2025-05-02 00:02:16,False
U00010,2025-03-16,tablet,paid_search,landing_page,2025-03-16 00:00:00,True
U00010,2025-03-16,tablet,paid_search,signup,2025-03-16 00:02:39,False
U00011,2025-03-29,desktop,paid_search,landing_page,2025-03-29 00:00:00,True
U00011,2025-03-29,desktop,paid_search,signup,2025-03-29 00:01:26,True
U00011,2025-03-29,desktop,paid_search,product_view,2025-03-29 00:03:22,True
U00011,2025-03-29,desktop,paid_search,add_to_cart,2025-03-29 00:04:23,True
U00011,2025-03-29,desktop,paid_search,purchase,2025-03-29 00:07:03,False
U00012,2025-04-27,desktop,social,landing_page,2025-04-27 00:00:00,True
U00012,2025-04-27,desktop,social,signup,2025-04-27 00:03:33,False
U00013,2025-04-10,desktop,referral,landing_page,2025-04-10 00:00:00,True
U00013,2025-04-10,desktop,referral,signup,2025-04-10 00:02:07,True
U00013,2025-04-10,desktop,referral,product_view,2025-04-10 00:03:07,False
U00014,2025-04-14,desktop,organic,landing_page,2025-04-14 00:00:00,True
U00014,2025-04-14,desktop,organic,signup,2025-04-14 00:01:18,False
U00015,2025-06-01,desktop,paid_search,landing_page,2025-06-01 00:00:00,True
U00015,2025-06-01,desktop,paid_search,signup,2025-06-01 00:02:19,False
U00016,2025-05-11,mobile,paid_search,landing_page,2025-05-11 00:00:00,True
U00016,2025-05-11,mobile,paid_search,signup,2025-05-11 00:01:04,False
U00017,2025-05-30,desktop,social,landing_page,2025-05-30 00:00:00,True
U00017,2025-05-30,desktop,social,signup,2025-05-30 00:01:36,False
U00018,2025-02-22,desktop,organic,landing_page,2025-02-22 00:00:00,True
U00018,2025-02-22,desktop,organic,signup,2025-02-22 00:01:37,False
U00019,2025-01-02,mobile,organic,landing_page,2025-01-02 00:00:00,True
U00019,2025-01-02,mobile,organic,signup,2025-01-02 00:00:36,False
U00020,2025-03-29,desktop,organic,landing_page,2025-03-29 00:00:00,True
U00020,2025-03-29,desktop,organic,signup,2025-03-29 00:03:27,False
U00021,2025-06-07,desktop,referral,landing_page,2025-06-07 00:00:00,True
U00021,2025-06-07,desktop,referral,signup,2025-06-07 00:02:08,True
U00021,2025-06-07,desktop,referral,product_view,2025-06-07 00:04:26,True
U00021,2025-06-07,desktop,referral,add_to_cart,2025-06-07 00:05:19,False
U00022,2025-02-07,desktop,social,landing_page,2025-02-07 00:00:00,True
U00022,2025-02-07,desktop,social,signup,2025-02-07 00:01:43,False
U00023,2025-05-10,tablet,social,landing_page,2025-05-10 00:00:00,True
U00023,2025-05-10,tablet,social,signup,2025-05-10 00:00:30,False
U00024,2025-01-21,desktop,email,landing_page,2025-01-21 00:00:00,True
U00024,2025-01-21,desktop,email,signup,2025-01-21 00:02:24,False
U00025,2025-06-10,tablet,organic,landing_page,2025-06-10 00:00:00,True
U00025,2025-06-10,tablet,organic,signup,2025-06-10 00:04:28,True
U00025,2025-06-10,tablet,organic,product_view,2025-06-10 00:07:13,True
U00025,2025-06-10,tablet,organic,add_to_cart,2025-06-10 00:24:25,False
U00026,2025-02-27,mobile,email,landing_page,2025-02-27 00:00:00,True
U00026,2025-02-27,mobile,email,signup,2025-02-27 00:09:38,False
