user_id,plan_type,signup_cohort,interaction_date,model_fired,suggestion_surfaced,user_accepted,ground_truth_correct,confidence_score,suggestion_category,time_to_decision_sec,outcome_value
C00001,free,W05,2025-04-18,False,False,False,,,,,0.0
C00001,free,W05,2025-03-20,True,True,False,True,0.8184,product_recommendation,12.6,0.0
C00001,free,W05,2025-02-23,False,False,False,,,,,0.0
C00001,free,W05,2025-03-06,True,True,False,True,0.8939,product_recommendation,6.5,0.0
C00001,free,W05,2025-03-13,False,False,False,,,,,0.0
C00001,free,W05,2025-02-01,False,False,False,,,,,0.0
C00002,free,W03,2025-01-20,False,False,False,,,,,0.0
C00002,free,W03,2025-04-06,False,False,False,,,,,0.0
C00002,free,W03,2025-02-09,True,True,False,True,0.7791,product_recommendation,38.8,0.0
C00003,basic,W07,2025-03-29,True,False,False,False,0.3,product_recommendation,,0.0
C00003,basic,W07,2025-02-15,True,True,True,True,0.8773,product_recommendation,46.8,66.32
C00003,basic,W07,2025-05-05,False,False,False,,,,,0.0
C00004,pro,W10,2025-03-05,True,True,True,True,0.8925,product_recommendation,15.7,40.96
C00004,pro,W10,2025-04-01,True,True,True,True,0.9164,cart_recovery,18.9,133.92
C00004,pro,W10,2025-04-17,True,True,True,True,0.8291,cart_recovery,15.8,47.86
C00005,free,W07,2025-03-03,True,True,True,True,0.7342,cross_sell_upsell,26.1,57.87
C00005,free,W07,2025-04-28,True,True,True,True,0.7318,product_recommendation,15.9,11.1
C00005,free,W07,2025-02-22,True,False,False,False,0.337,search_relevance,,0.0
C00006,free,W12,2025-04-09,True,True,True,True,0.8191,product_recommendation,14.2,72.72
C00006,free,W12,2025-03-31,True,False,False,False,0.3357,cross_sell_upsell,,0.0
C00006,free,W12,2025-04-18,False,False,False,,,,,0.0
C00006,free,W12,2025-05-11,False,False,False,,,,,0.0
C00007,basic,W05,2025-04-09,True,True,True,True,0.6661,product_recommendation,40.4,80.6
C00007,basic,W05,2025-03-28,True,False,False,False,0.4309,search_relevance,,0.0
C00007,basic,W05,2025-02-19,True,True,False,False,0.6925,search_relevance,23.3,0.0
C00008,basic,W02,2025-02-05,True,False,False,False,0.4329,search_relevance,,0.0
C00008,basic,W02,2025-02-27,True,True,True,True,0.9382,product_recommendation,9.2,87.55
C00008,basic,W02,2025-03-11,True,False,False,False,0.3882,product_recommendation,,0.0
C00009,basic,W10,2025-05-25,True,True,True,False,0.5756,product_recommendation,33.1,-13.08
C00009,basic,W10,2025-03-07,True,True,True,True,0.7184,cart_recovery,14.0,87.03
C00009,basic,W10,2025-05-15,True,True,True,True,0.8457,search_relevance,21.0,27.5
C00010,free,W08,2025-04-18,False,False,False,,,,,0.0
C00010,free,W08,2025-03-21,True,True,True,False,0.5059,cross_sell_upsell,31.7,-35.44
C00010,free,W08,2025-04-26,False,False,False,,,,,0.0
C00010,free,W08,2025-03-19,True,True,True,True,0.7829,product_recommendation,14.4,57.29
C00010,free,W08,2025-04-29,True,True,True,True,0.8748,cart_recovery,20.8,36.93
C00010,free,W08,2025-04-13,False,False,False,,,,,0.0
C00010,free,W08,2025-05-11,False,False,False,,,,,0.0
C00010,free,W08,2025-03-18,False,False,False,,,,,0.0
C00010,free,W08,2025-03-13,True,True,True,True,0.7499,cross_sell_upsell,25.9,20.75
C00011,pro,W07,2025-03-07,False,False,False,,,,,0.0
C00011,pro,W07,2025-04-14,True,True,True,True,0.7893,product_recommendation,16.6,167.87
C00011,pro,W07,2025-03-25,True,True,True,True,0.8732,cart_recovery,63.6,23.07
C00012,free,W07,2025-04-08,True,True,True,True,0.803,cart_recovery,71.4,25.98
C00012,free,W07,2025-03-29,False,False,False,,,,,0.0
C00012,free,W07,2025-03-16,False,False,False,,,,,0.0
C00013,free,W08,2025-03-07,True,True,True,True,0.7665,product_recommendation,12.5,90.9
C00013,free,W08,2025-04-18,False,False,False,,,,,0.0
C00013,free,W08,2025-05-03,False,False,False,,,,,0.0
C00014,free,W08,2025-03-14,True,True,False,True,0.8738,cross_sell_upsell,16.9,0.0
C00014,free,W08,2025-04-23,True,True,True,False,0.6924,search_relevance,42.9,-17.54
C00014,free,W08,2025-05-09,False,False,False,,,,,0.0
C00014,free,W08,2025-04-13,True,True,False,True,0.6251,product_recommendation,37.8,0.0
C00015,pro,W04,2025-01-26,True,True,False,True,0.6998,product_recommendation,10.4,0.0
C00015,pro,W04,2025-03-21,True,False,False,False,0.3954,search_relevance,,0.0
C00015,pro,W04,2025-03-26,True,True,True,True,0.5812,product_recommendation,19.8,45.92
C00016,free,W01,2025-01-10,False,False,False,,,,,0.0
C00016,free,W01,2025-03-04,False,False,False,,,,,0.0
C00016,free,W01,2025-03-22,True,True,False,True,0.7435,product_recommendation,24.0,0.0
C00017,basic,W10,2025-05-25,True,True,False,True,0.5509,product_recommendation,10.9,0.0
C00017,basic,W10,2025-03-28,False,False,False,,,,,0.0
