Stage,Users,Stage-to-Stage %,Overall %,channel
landing_page,744,100.0,100.0,email
signup,744,100.0,100.0,email
product_view,374,50.26881720430107,50.26881720430107,email
add_to_cart,278,74.33155080213903,37.365591397849464,email
purchase,135,48.561151079136685,18.14516129032258,email
landing_page,1478,100.0,100.0,organic
signup,1478,100.0,100.0,organic
product_view,718,48.57916102841678,48.57916102841678,organic
add_to_cart,482,67.1309192200557,32.61163734776725,organic
purchase,207,42.946058091286304,14.005412719891746,organic
landing_page,1265,100.0,100.0,paid_search
signup,1265,100.0,100.0,paid_search
product_view,574,45.37549407114624,45.37549407114624,paid_search
add_to_cart,375,65.33101045296166,29.64426877470356,paid_search
purchase,159,42.4,12.569169960474309,paid_search
landing_page,472,100.0,100.0,referral
signup,472,100.0,100.0,referral
product_view,226,47.88135593220339,47.88135593220339,referral
add_to_cart,158,69.91150442477876,33.47457627118644,referral
purchase,62,39.24050632911392,13.135593220338984,referral
landing_page,1041,100.0,100.0,social
signup,1041,100.0,100.0,social
product_view,398,38.23246878001921,38.23246878001921,social
add_to_cart,211,53.015075376884425,20.26897214217099,social
purchase,76,36.018957345971565,7.300672430355427,social
