Stage,Users,Stage-to-Stage %,Overall %,device
landing_page,2262,100.0,100.0,desktop
signup,2262,100.0,100.0,desktop
product_view,1092,48.275862068965516,48.275862068965516,desktop
add_to_cart,758,69.41391941391942,33.51016799292662,desktop
purchase,346,45.64643799472295,15.296198054818744,desktop
landing_page,2117,100.0,100.0,mobile
signup,2117,100.0,100.0,mobile
product_view,913,43.12706660368446,43.12706660368446,mobile
add_to_cart,564,61.77437020810515,26.641473783656117,mobile
purchase,216,38.297872340425535,10.203117619272556,mobile
landing_page,621,100.0,100.0,tablet
signup,621,100.0,100.0,tablet
product_view,285,45.893719806763286,45.893719806763286,tablet
add_to_cart,182,63.859649122807014,29.307568438003223,tablet
purchase,77,42.30769230769231,12.399355877616747,tablet
