user_id,plan_type,signup_cohort,interaction_date,model_fired,suggestion_surfaced,user_accepted,ground_truth_correct,confidence_score,suggestion_category,time_to_decision_sec,outcome_value
C00001,free,W05,2025-04-18,False,False,False,,,,,0.0
C00001,free,W05,2025-03-20,True,True,False,True,0.8184,diagnosis_suggestion,12.6,0.0
C00001,free,W05,2025-02-23,False,False,False,,,,,0.0
C00001,free,W05,2025-03-06,True,True,False,True,0.8939,diagnosis_suggestion,6.5,0.0
C00001,free,W05,2025-03-13,False,False,False,,,,,0.0
C00001,free,W05,2025-02-01,False,False,False,,,,,0.0
C00002,free,W03,2025-01-20,False,False,False,,,,,0.0
C00002,free,W03,2025-04-06,False,False,False,,,,,0.0
C00002,free,W03,2025-02-09,True,True,False,True,0.7791,diagnosis_suggestion,38.8,0.0
C00003,basic,W07,2025-03-29,True,False,False,False,0.3,diagnosis_suggestion,,0.0
C00003,basic,W07,2025-02-15,True,True,True,True,0.8773,diagnosis_suggestion,46.8,66.32
C00003,basic,W07,2025-05-05,False,False,False,,,,,0.0
C00004,pro,W10,2025-03-05,True,True,True,True,0.8925,diagnosis_suggestion,15.7,40.96
C00004,pro,W10,2025-04-01,True,True,True,True,0.9164,documentation_gap,18.9,133.92
C00004,pro,W10,2025-04-17,True,True,True,True,0.8291,documentation_gap,15.8,47.86
C00005,free,W07,2025-03-03,True,True,True,True,0.7342,coding_recommendation,26.1,57.87
C00005,free,W07,2025-04-28,True,True,True,True,0.7318,diagnosis_suggestion,15.9,11.1
C00005,free,W07,2025-02-22,True,False,False,False,0.337,quality_flag,,0.0
C00006,free,W12,2025-04-09,True,True,True,True,0.8191,diagnosis_suggestion,14.2,72.72
C00006,free,W12,2025-03-31,True,False,False,False,0.3357,coding_recommendation,,0.0
C00006,free,W12,2025-04-18,False,False,False,,,,,0.0
C00006,free,W12,2025-05-11,False,False,False,,,,,0.0
C00007,basic,W05,2025-04-09,True,True,True,True,0.6661,diagnosis_suggestion,40.4,80.6
C00007,basic,W05,2025-03-28,True,False,False,False,0.4309,quality_flag,,0.0
C00007,basic,W05,2025-02-19,True,True,False,False,0.6925,quality_flag,23.3,0.0
C00008,basic,W02,2025-02-05,True,False,False,False,0.4329,quality_flag,,0.0
C00008,basic,W02,2025-02-27,True,True,True,True,0.9382,diagnosis_suggestion,9.2,87.55
C00008,basic,W02,2025-03-11,True,False,False,False,0.3882,diagnosis_suggestion,,0.0
C00009,basic,W10,2025-05-25,True,True,True,False,0.5756,diagnosis_suggestion,33.1,-13.08
C00009,basic,W10,2025-03-07,True,True,True,True,0.7184,documentation_gap,14.0,87.03
C00009,basic,W10,2025-05-15,True,True,True,True,0.8457,quality_flag,21.0,27.5
C00010,free,W08,2025-04-18,False,False,False,,,,,0.0
C00010,free,W08,2025-03-21,True,True,True,False,0.5059,coding_recommendation,31.7,-35.44
C00010,free,W08,2025-04-26,False,False,False,,,,,0.0
C00010,free,W08,2025-03-19,True,True,True,True,0.7829,diagnosis_suggestion,14.4,57.29
C00010,free,W08,2025-04-29,True,True,True,True,0.8748,documentation_gap,20.8,36.93
C00010,free,W08,2025-04-13,False,False,False,,,,,0.0
C00010,free,W08,2025-05-11,False,False,False,,,,,0.0
C00010,free,W08,2025-03-18,False,False,False,,,,,0.0
C00010,free,W08,2025-03-13,True,True,True,True,0.7499,coding_recommendation,25.9,20.75
C00011,pro,W07,2025-03-07,False,False,False,,,,,0.0
C00011,pro,W07,2025-04-14,True,True,True,True,0.7893,diagnosis_suggestion,16.6,167.87
C00011,pro,W07,2025-03-25,True,True,True,True,0.8732,documentation_gap,63.6,23.07
C00012,free,W07,2025-04-08,True,True,True,True,0.803,documentation_gap,71.4,25.98
C00012,free,W07,2025-03-29,False,False,False,,,,,0.0
C00012,free,W07,2025-03-16,False,False,False,,,,,0.0
C00013,free,W08,2025-03-07,True,True,True,True,0.7665,diagnosis_suggestion,12.5,90.9
C00013,free,W08,2025-04-18,False,False,False,,,,,0.0
C00013,free,W08,2025-05-03,False,False,False,,,,,0.0
C00014,free,W08,2025-03-14,True,True,False,True,0.8738,coding_recommendation,16.9,0.0
C00014,free,W08,2025-04-23,True,True,True,False,0.6924,quality_flag,42.9,-17.54
C00014,free,W08,2025-05-09,False,False,False,,,,,0.0
C00014,free,W08,2025-04-13,True,True,False,True,0.6251,diagnosis_suggestion,37.8,0.0
C00015,pro,W04,2025-01-26,True,True,False,True,0.6998,diagnosis_suggestion,10.4,0.0
C00015,pro,W04,2025-03-21,True,False,False,False,0.3954,quality_flag,,0.0
C00015,pro,W04,2025-03-26,True,True,True,True,0.5812,diagnosis_suggestion,19.8,45.92
C00016,free,W01,2025-01-10,False,False,False,,,,,0.0
C00016,free,W01,2025-03-04,False,False,False,,,,,0.0
C00016,free,W01,2025-03-22,True,True,False,True,0.7435,diagnosis_suggestion,24.0,0.0
C00017,basic,W10,2025-05-25,True,True,False,True,0.5509,diagnosis_suggestion,10.9,0.0
C00017,basic,W10,2025-03-28,False,False,False,,,,,0.0
C00017,basic,W10,2025-05-18,True,True,True,True,0.8469,coding_recommendation,4.3,67.86
C00018,free,W12,2025-04-01,False,False,False,,,,,0.0
C00018,free,W12,2025-05-27,False,False,False,,,,,0.0
C00018,free,W12,2025-05-18,False,False,False,,,,,0.0
C00018,free,W12,2025-04-23,False,False,False,,,,,0.0
C00019,free,W04,2025-01-25,True,True,False,True,0.9328,documentation_gap,18.3,0.0
C00019,free,W04,2025-02-13,True,False,False,False,0.4707,coding_recommendation,,0.0
C00019,free,W04,2025-02-11,True,True,True,True,0.95,coding_recommendation,30.8,33.22
C00020,free,W11,2025-05-15,False,False,False,,,,,0.0
C00020,free,W11,2025-05-22,False,False,False,,,,,0.0
C00020,free,W11,2025-04-28,False,False,False,,,,,0.0
C00021,free,W02,2025-01-19,True,True,True,False,0.596,documentation_gap,34.8,-34.1
C00021,free,W02,2025-02-13,False,False,False,,,,,0.0
C00021,free,W02,2025-02-06,False,False,False,,,,,0.0
C00022,free,W06,2025-03-10,False,False,False,,,,,0.0
C00022,free,W06,2025-04-18,False,False,False,,,,,0.0
C00022,free,W06,2025-02-17,False,False,False,,,,,0.0
C00023,pro,W08,2025-03-12,True,False,False,False,0.3,diagnosis_suggestion,,0.0
C00023,pro,W08,2025-03-01,True,True,False,True,0.8763,documentation_gap,29.7,0.0
C00023,pro,W08,2025-04-16,True,True,True,True,0.8434,documentation_gap,12.9,26.61
C00024,free,W10,2025-03-08,False,False,False,,,,,0.0
C00024,free,W10,2025-04-26,True,True,True,False,0.6808,coding_recommendation,16.1,-6.35
C00024,free,W10,2025-04-04,True,True,True,True,0.8169,diagnosis_suggestion,68.0,12.5
C00024,free,W10,2025-03-27,True,True,False,True,0.8417,coding_recommendation,77.5,0.0
C00025,pro,W10,2025-03-12,True,True,True,True,0.9407,documentation_gap,17.2,95.17
C00025,pro,W10,2025-05-26,True,True,True,True,0.9258,quality_flag,12.2,33.21
C00025,pro,W10,2025-03-11,True,True,False,True,0.8196,coding_recommendation,9.7,0.0
C00026,pro,W03,2025-01-29,True,True,True,False,0.5419,documentation_gap,10.9,-8.15
C00026,pro,W03,2025-02-04,True,True,True,True,0.9686,diagnosis_suggestion,17.8,42.76
C00026,pro,W03,2025-01-20,False,False,False,,,,,0.0
C00027,free,W06,2025-04-14,True,True,True,True,0.6818,diagnosis_suggestion,23.0,57.61
C00027,free,W06,2025-02-10,False,False,False,,,,,0.0
C00027,free,W06,2025-03-25,False,False,False,,,,,0.0
C00028,free,W12,2025-05-24,True,True,True,True,0.8819,coding_recommendation,16.2,96.41
C00028,free,W12,2025-04-24,True,True,False,True,0.9322,quality_flag,39.0,0.0
C00028,free,W12,2025-05-10,True,False,False,False,0.3,coding_recommendation,,0.0
C00029,basic,W12,2025-06-02,False,False,False,,,,,0.0
C00029,basic,W12,2025-03-31,True,True,False,True,0.7897,diagnosis_suggestion,13.7,0.0
C00029,basic,W12,2025-05-26,True,True,True,True,0.909,coding_recommendation,43.4,97.92
C00030,free,W09,2025-04-12,True,True,True,True,0.5,coding_recommendation,23.2,266.7
C00030,free,W09,2025-02-27,False,False,False,,,,,0.0
C00030,free,W09,2025-05-15,False,False,False,,,,,0.0
C00030,free,W09,2025-04-25,False,False,False,,,,,0.0
C00031,pro,W04,2025-02-03,True,True,True,True,0.9225,documentation_gap,153.1,74.77
C00031,pro,W04,2025-01-26,True,True,True,False,0.8773,diagnosis_suggestion,15.4,-46.27
C00031,pro,W04,2025-03-01,True,True,True,True,0.5965,quality_flag,8.9,74.44
C00032,free,W06,2025-03-11,True,True,True,False,0.7464,diagnosis_suggestion,18.3,-21.7
C00032,free,W06,2025-02-08,True,True,True,True,0.99,quality_flag,15.3,43.69
C00032,free,W06,2025-04-25,True,True,False,True,0.5,diagnosis_suggestion,18.7,0.0
C00033,basic,W02,2025-03-05,True,True,True,True,0.7636,quality_flag,8.6,88.97
C00033,basic,W02,2025-03-18,True,True,True,True,0.6766,documentation_gap,15.7,66.4
C00033,basic,W02,2025-03-23,False,False,False,,,,,0.0
C00034,free,W11,2025-04-02,True,True,True,True,0.9038,coding_recommendation,81.8,61.97
C00034,free,W11,2025-03-23,False,False,False,,,,,0.0
C00034,free,W11,2025-04-21,False,False,False,,,,,0.0
C00035,free,W06,2025-03-12,True,True,False,True,0.9413,quality_flag,36.4,0.0
C00035,free,W06,2025-03-21,True,True,True,True,0.922,diagnosis_suggestion,13.8,74.9
C00035,free,W06,2025-02-16,False,False,False,,,,,0.0
C00036,pro,W01,2025-02-20,True,True,True,True,0.8784,coding_recommendation,15.2,61.51
C00036,pro,W01,2025-01-21,True,True,True,True,0.94,coding_recommendation,29.8,61.0
C00036,pro,W01,2025-01-19,True,True,True,True,0.7716,diagnosis_suggestion,15.2,63.15
C00037,free,W12,2025-04-29,False,False,False,,,,,0.0
C00037,free,W12,2025-04-24,True,True,True,True,0.7454,documentation_gap,7.0,47.67
C00037,free,W12,2025-05-31,False,False,False,,,,,0.0
C00037,free,W12,2025-05-25,False,False,False,,,,,0.0
C00038,pro,W07,2025-04-24,True,True,False,True,0.8206,quality_flag,28.7,0.0
C00038,pro,W07,2025-05-02,True,False,False,False,0.3618,documentation_gap,,0.0
C00038,pro,W07,2025-03-03,True,True,True,True,0.6204,diagnosis_suggestion,9.8,130.08
C00039,free,W03,2025-03-30,False,False,False,,,,,0.0
C00039,free,W03,2025-02-03,True,True,False,False,0.5146,quality_flag,47.1,0.0
C00039,free,W03,2025-02-13,False,False,False,,,,,0.0
C00040,free,W12,2025-04-28,False,False,False,,,,,0.0
C00040,free,W12,2025-05-31,False,False,False,,,,,0.0
C00040,free,W12,2025-05-22,True,True,True,True,0.6534,diagnosis_suggestion,9.0,34.44
C00041,basic,W03,2025-04-07,True,True,True,True,0.6514,quality_flag,44.1,48.02
C00041,basic,W03,2025-02-23,True,True,True,True,0.7732,diagnosis_suggestion,13.3,38.12
C00041,basic,W03,2025-03-21,True,True,True,True,0.9221,diagnosis_suggestion,12.9,79.82
C00042,free,W10,2025-04-23,False,False,False,,,,,0.0
C00042,free,W10,2025-03-12,False,False,False,,,,,0.0
C00042,free,W10,2025-03-27,True,False,False,False,0.4385,documentation_gap,,0.0
C00042,free,W10,2025-04-05,True,True,True,True,0.7707,documentation_gap,19.8,111.39
C00042,free,W10,2025-04-23,False,False,False,,,,,0.0
C00042,free,W10,2025-04-03,False,False,False,,,,,0.0
C00043,basic,W06,2025-02-27,False,False,False,,,,,0.0
C00043,basic,W06,2025-04-12,True,False,False,False,0.4633,coding_recommendation,,0.0
C00043,basic,W06,2025-03-28,False,False,False,,,,,0.0
C00044,free,W05,2025-04-12,False,False,False,,,,,0.0
C00044,free,W05,2025-01-31,False,False,False,,,,,0.0
C00044,free,W05,2025-02-08,True,True,True,True,0.8784,quality_flag,38.6,22.34
C00045,pro,W01,2025-01-22,True,True,False,True,0.7769,quality_flag,52.8,0.0
