user_id,signup_date,signup_cohort,activity_date,event_type,session_duration_sec,plan_type
C00001,2025-01-29,W05,2025-01-31,page_view,125.1,free
C00001,2025-01-29,W05,2025-01-29,feature_use,1111.9,basic
C00001,2025-01-29,W05,2025-02-10,page_view,742.7,free
C00001,2025-01-29,W05,2025-02-07,page_view,280.9,pro
C00001,2025-01-29,W05,2025-02-06,page_view,45.7,free
C00001,2025-01-29,W05,2025-02-11,feature_use,587.7,basic
C00001,2025-01-29,W05,2025-02-27,search,52.8,free
C00001,2025-01-29,W05,2025-03-03,page_view,251.9,free
C00001,2025-01-29,W05,2025-03-04,search,274.7,free
C00001,2025-01-29,W05,2025-03-03,feature_use,980.6,free
C00001,2025-01-29,W05,2025-03-19,feature_use,2079.3,basic
C00001,2025-01-29,W05,2025-04-17,feature_use,60.1,pro
C00001,2025-01-29,W05,2025-04-22,page_view,193.3,free
C00001,2025-01-29,W05,2025-04-22,search,179.8,basic
C00001,2025-01-29,W05,2025-04-18,feature_use,260.9,pro
C00002,2025-01-15,W03,2025-01-18,page_view,240.4,free
C00002,2025-01-15,W03,2025-02-21,feature_use,200.8,basic
C00003,2025-02-12,W07,2025-02-12,page_view,140.3,basic
C00003,2025-02-12,W07,2025-02-14,page_view,517.4,free
C00003,2025-02-12,W07,2025-02-14,page_view,164.3,free
C00003,2025-02-12,W07,2025-02-24,page_view,149.7,free
C00004,2025-03-05,W10,2025-03-08,search,118.7,pro
C00005,2025-02-12,W07,2025-02-17,page_view,437.1,free
C00005,2025-02-12,W07,2025-03-17,feature_use,213.9,free
C00005,2025-02-12,W07,2025-03-23,page_view,175.1,free
C00006,2025-03-19,W12,2025-03-19,feature_use,853.8,free
C00006,2025-03-19,W12,2025-03-26,settings_change,92.5,basic
C00006,2025-03-19,W12,2025-04-02,page_view,124.6,free
C00006,2025-03-19,W12,2025-04-06,page_view,28.9,pro
C00006,2025-03-19,W12,2025-04-03,page_view,248.6,free
C00006,2025-03-19,W12,2025-04-18,feature_use,62.5,pro
C00007,2025-01-29,W05,2025-02-02,feature_use,107.5,basic
C00007,2025-01-29,W05,2025-03-15,page_view,160.6,basic
C00007,2025-01-29,W05,2025-03-13,settings_change,245.2,basic
C00008,2025-01-08,W02,2025-01-10,page_view,458.0,basic
C00008,2025-01-08,W02,2025-02-08,feature_use,63.6,pro
C00008,2025-01-08,W02,2025-02-07,settings_change,874.0,basic
C00008,2025-01-08,W02,2025-02-08,settings_change,449.5,basic
C00008,2025-01-08,W02,2025-02-06,page_view,33.2,basic
C00008,2025-01-08,W02,2025-02-09,feature_use,442.0,pro
C00008,2025-01-08,W02,2025-02-18,page_view,293.3,basic
C00009,2025-03-05,W10,2025-03-08,feature_use,30.1,basic
C00009,2025-03-05,W10,2025-03-09,feature_use,97.1,basic
C00009,2025-03-05,W10,2025-03-07,feature_use,447.8,basic
C00009,2025-03-05,W10,2025-03-10,search,86.6,free
C00009,2025-03-05,W10,2025-04-12,page_view,462.5,pro
C00010,2025-02-19,W08,2025-02-21,page_view,117.3,free
C00010,2025-02-19,W08,2025-02-23,page_view,77.1,pro
C00010,2025-02-19,W08,2025-02-20,page_view,52.6,free
C00010,2025-02-19,W08,2025-04-01,search,44.8,free
C00010,2025-02-19,W08,2025-03-31,settings_change,131.0,free
C00010,2025-02-19,W08,2025-03-30,page_view,137.8,free
C00010,2025-02-19,W08,2025-03-29,page_view,1136.5,free
C00010,2025-02-19,W08,2025-03-29,feature_use,414.8,free
C00010,2025-02-19,W08,2025-03-26,page_view,270.4,basic
C00010,2025-02-19,W08,2025-03-31,search,257.9,free
C00010,2025-02-19,W08,2025-03-26,search,1293.3,free
C00010,2025-02-19,W08,2025-04-10,feature_use,295.4,basic
C00010,2025-02-19,W08,2025-04-11,page_view,202.3,free
C00010,2025-02-19,W08,2025-04-09,page_view,189.7,basic
