ccn,hospital_name,city,state,zip_code,county,beds,bed_size_tier,ownership,ownership_category,is_teaching,is_urban,census_region,peer_group,overall_rating
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,420.0,400-599,Government - Hospital District or Authority,Government,True,True,South,400-599_teaching_government,4
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,240.0,200-399,Government - Hospital District or Authority,Government,False,False,South,200-399_non_teaching_government,3
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,338.0,200-399,Proprietary,For-Profit,False,True,South,200-399_non_teaching_for_profit,2
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,99.0,25-99,Voluntary non-profit - Private,Nonprofit,False,False,South,25-99_non_teaching_nonprofit,1
010008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,65.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,Not Available
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,362.0,200-399,Voluntary non-profit - Private,Nonprofit,True,True,South,200-399_teaching_nonprofit,2
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,134.0,100-199,Proprietary,For-Profit,False,False,South,100-199_non_teaching_for_profit,3
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,252.0,200-399,Voluntary non-profit - Private,Nonprofit,False,True,South,200-399_non_teaching_nonprofit,2
010018,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,106.0,100-199,Voluntary non-profit - Private,Nonprofit,True,True,South,100-199_teaching_nonprofit,Not Available
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,COLBERT,185.0,100-199,Government - Hospital District or Authority,Government,False,True,South,100-199_non_teaching_government,2
010021,DALE MEDICAL CENTER,OZARK,AL,36360,DALE,89.0,25-99,Government - Hospital District or Authority,Government,False,False,South,25-99_non_teaching_government,3
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,CHEROKEE,60.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,Not Available
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,432.0,400-599,Government - Hospital District or Authority,Government,True,True,South,400-599_teaching_government,1
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,344.0,200-399,Voluntary non-profit - Private,Nonprofit,False,True,South,200-399_non_teaching_nonprofit,2
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,36801,LEE,429.0,400-599,Government - Hospital District or Authority,Government,False,True,South,400-599_non_teaching_government,3
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,1157.0,600+,Government - State,Government,True,True,South,600+_teaching_government,3
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,ELMORE,69.0,25-99,Voluntary non-profit - Private,Nonprofit,False,True,South,25-99_non_teaching_nonprofit,Not Available
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,CULLMAN,115.0,100-199,Government - Hospital District or Authority,Government,False,False,South,100-199_non_teaching_government,2
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,36420,COVINGTON,88.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,2
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,881.0,600+,Government - Hospital District or Authority,Government,True,True,South,600+_teaching_government,2
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,ETOWAH,346.0,200-399,Proprietary,For-Profit,False,True,South,200-399_non_teaching_for_profit,1
010044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,MARION,57.0,25-99,Voluntary non-profit - Private,Nonprofit,False,False,South,25-99_non_teaching_nonprofit,Not Available
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,FAYETTE,61.0,25-99,Voluntary non-profit - Other,Nonprofit,False,False,South,25-99_non_teaching_nonprofit,2
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,ETOWAH,281.0,200-399,Proprietary,For-Profit,False,True,South,200-399_non_teaching_for_profit,2
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,COFFEE,131.0,100-199,Proprietary,For-Profit,False,False,South,100-199_non_teaching_for_profit,3
010051,GREENE COUNTY HOSPITAL,EUTAW,AL,35462,GREENE,20.0,1-24,Voluntary non-profit - Other,Nonprofit,False,True,South,1-24_non_teaching_nonprofit,Not Available
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,36853,TALLAPOOSA,46.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,Not Available
010055,FLOWERS HOSPITAL,DOTHAN,AL,36302,HOUSTON,235.0,200-399,Proprietary,For-Profit,False,True,South,200-399_non_teaching_for_profit,2
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,JEFFERSON,409.0,400-599,Voluntary non-profit - Private,Nonprofit,False,True,South,400-599_non_teaching_nonprofit,3
010058,BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,35.0,25-99,Government - Hospital District or Authority,Government,False,True,South,25-99_non_teaching_government,Not Available
010059,LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,LAWRENCE,98.0,25-99,Government - Hospital District or Authority,Government,False,True,South,25-99_non_teaching_government,Not Available
010061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,JACKSON,170.0,100-199,Government - Hospital District or Authority,Government,False,False,South,100-199_non_teaching_government,3
