drg,drg_family,severity_tier,relative_weight,title
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,with_MCC,28.1664,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC
5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,with_MCC,10.6486,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT
11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY",with_MCC,5.3956,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC"
12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY",with_CC,4.1034,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC"
13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY",without_CC,2.6498,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC"
16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,with_CC,6.0355,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC
17,AUTOLOGOUS BONE MARROW TRANSPLANT,without_CC,6.0355,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC
20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,with_MCC,8.0605,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC
21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,with_CC,5.3405,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC
22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,without_CC,2.7618,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC
