drg_family,with_CC,with_MCC,without_CC,payment_without_CC,payment_with_CC,payment_with_MCC,cc_uplift,mcc_uplift
ACUTE AND SUBACUTE ENDOCARDITIS,1.5766,2.7313,0.979,6265.599999999999,10090.24,17480.32,3824.6400000000003,11214.720000000001
ACUTE LEUKEMIA,2.1358,5.5269,1.2423,7950.719999999999,13669.12,35372.16,5718.4000000000015,27421.440000000002
ACUTE MAJOR EYE INFECTIONS,,,0.6783,4341.12,,,,
ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,1.1631,,,,7443.84,,,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE",0.9218,1.6415,0.7251,4640.639999999999,5899.5199999999995,10505.6,1258.88,5864.960000000001
"ACUTE MYOCARDIAL INFARCTION, EXPIRED",0.7409,1.9554,0.5613,3592.32,4741.76,12514.56,1149.44,8922.24
ADRENAL AND PITUITARY PROCEDURES,,,1.4329,9170.560000000001,,,,
ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC,2.2788,,,,14584.32,,,
AFTERCARE,,,0.5861,3751.0399999999995,,,,
AFTERCARE WITH CC/MCC,1.0789,,,,6904.96,,,
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE",1.1388,1.8561,0.8176,5232.64,7288.320000000001,11879.04,2055.6800000000003,6646.400000000001
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY",,1.7808,,,,11397.119999999999,,
ALLERGIC REACTIONS,,1.7378,,,,11121.92,,
AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE,2.912,5.0365,1.5098,9662.72,18636.8,32233.600000000002,8974.08,22570.880000000005
AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS,2.1571,4.4844,1.163,7443.2,13805.439999999999,28700.16,6362.239999999999,21256.96
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS",1.9322,3.8649,1.245,7968.000000000001,12366.08,24735.36,4398.079999999999,16767.36
ANAL AND STOMAL PROCEDURES,1.2588,2.3666,0.8809,5637.76,8056.32,15146.24,2418.5599999999995,9508.48
AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON,,6.6672,,,,42670.08,,
APPENDIX PROCEDURES,1.5133,2.4776,1.1241,7194.240000000001,9685.12,15856.64,2490.88,8662.399999999998
ATHEROSCLEROSIS,,1.1632,,,,7444.4800000000005,,
AUTOLOGOUS BONE MARROW TRANSPLANT,,,6.0355,38627.2,,,,
AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.0355,,,,38627.2,,,
BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION,1.9717,,1.4331,9171.84,12618.88,,3447.039999999999,
BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,,3.5838,,,,22936.32,,
BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,2.397,3.6484,2.397,15340.8,15340.8,23349.760000000002,0.0,8008.960000000003
BENIGN PROSTATIC HYPERTROPHY,,1.2631,,,,8083.839999999999,,
BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY,,5.9904,,,,38338.56,,
BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E.,2.0963,3.5011,1.551,9926.4,13416.32,22407.04,3489.92,12480.640000000001
BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE,2.3384,3.4388,1.7757,11364.48,14965.76,22008.32,3601.2800000000007,10643.84
BONE DISEASES AND ARTHROPATHIES,,1.3063,,,,8360.32,,
"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES",,,1.985,12704.0,,,,
"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",2.0473,,,,13102.72,,,
BRONCHITIS AND ASTHMA,,,0.6963,4456.320000000001,,,,
BRONCHITIS AND ASTHMA WITH CC/MCC,0.9667,,,,6186.88,,,
"CARDIAC ARREST, UNEXPLAINED",0.7044,1.6383,0.4416,2826.24,4508.16,10485.12,1681.92,7658.880000000001
CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS,0.7393,1.206,0.5595,3580.8,4731.5199999999995,7718.4,1150.7199999999993,4137.599999999999
CARDIAC CONGENITAL AND VALVULAR DISORDERS,,1.4974,,,,9583.36,,
CARDIAC DEFIBRILLATOR IMPLANT WITH MCC OR CAROTID SINUS NEUROSTIMULATOR,,6.194,,,,39641.6,,
CARDIAC PACEMAKER DEVICE REPLACEMENT,,2.8054,,,,17954.56,,
CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,1.8974,3.4068,1.5177,9713.28,12143.36,21803.52,2430.08,12090.24
CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION,6.4574,9.6504,5.9491,38074.24,41327.36,61762.56,3253.1200000000026,23688.32
CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,5.2963,7.737,4.5923,29390.719999999998,33896.32,49516.8,4505.600000000002,20126.080000000005
CAROTID ARTERY STENT PROCEDURES,2.2746,3.8885,1.833,11731.199999999999,14557.44,24886.4,2826.2400000000016,13155.200000000003
CELLULITIS,,1.4694,,,,9404.16,,
CERVICAL SPINAL FUSION,2.897,4.857,2.3672,15150.08,18540.8,31084.800000000003,3390.7199999999993,15934.720000000003
CESAREAN SECTION WITH STERILIZATION,1.083,1.842,0.8749,5599.36,6931.2,11788.800000000001,1331.8400000000001,6189.440000000001
CESAREAN SECTION WITHOUT STERILIZATION,1.0618,1.6158,0.905,5792.0,6795.52,10341.119999999999,1003.5200000000004,4549.119999999999
CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS,,,1.3703,8769.92,,,,
CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS OR WITH HIGH DOSE CHEMOTHERAPY AGENT,,5.0068,,,,32043.52,,
CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC OR HIGH DOSE CHEMOTHERAPY AGENT,2.0281,,,,12979.839999999998,,,
CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS,1.2706,2.5536,0.8189,5240.96,8131.84,16343.039999999999,2890.88,11102.079999999998
CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E.,1.978,3.5036,1.3702,8769.28,12659.2,22423.04,3889.92,13653.76
CHOLECYSTECTOMY WITH C.D.E.,2.1315,2.7134,1.6624,10639.36,13641.6,17365.760000000002,3002.24,6726.4000000000015
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0.8591,1.1233,0.6472,4142.08,5498.24,7189.12,1356.1599999999999,3047.04
"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION",,2.2133,,,,14165.119999999999,,
CIRRHOSIS AND ALCOHOLIC HEPATITIS,1.0697,1.9591,0.6964,4456.96,6846.080000000001,12538.24,2389.120000000001,8081.28
COMBINED ANTERIOR AND POSTERIOR CERVICAL SPINAL FUSION,,8.34,,,,53376.0,,
COMPLICATED PEPTIC ULCER,1.0891,1.9243,0.7493,4795.5199999999995,6970.24,12315.519999999999,2174.7200000000003,7519.999999999999
COMPLICATIONS OF TREATMENT,1.0158,1.8234,0.6876,4400.64,6501.12,11669.76,2100.4799999999996,7269.12
CONCUSSION,1.0721,1.4106,0.8572,5486.08,6861.4400000000005,9027.84,1375.3600000000006,3541.76
CONNECTIVE TISSUE DISORDERS,1.1577,2.5267,0.7462,4775.68,7409.28,16170.88,2633.5999999999995,11395.199999999999
CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION,,7.8158,,,,50021.12,,
CORONARY BYPASS WITH PTCA,,8.4734,,,,54229.76,,
CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION,,5.8838,,,,37656.32,,
CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE,,4.2592,,,,27258.879999999997,,
CRANIAL AND PERIPHERAL NERVE DISORDERS,,1.5455,,,,9891.2,,
CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES,3.0584,4.472,2.4676,15792.64,19573.76,28620.800000000003,3781.119999999999,12828.160000000003
CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,,5.7047,,,,36510.08,,
"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION",,,1.0248,6558.719999999999,,,,
"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",1.9539,,,,12504.96,,,
DEEP VEIN THROMBOPHLEBITIS,,,0.7898,5054.719999999999,,,,
DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,1.2279,,,,7858.5599999999995,,,
DEGENERATIVE NERVOUS SYSTEM DISORDERS,,2.504,,,,16025.6,,
DENTAL AND ORAL DISEASES,0.9405,1.6374,0.6596,4221.44,6019.2,10479.36,1797.7600000000002,6257.920000000001
DIABETES,0.9172,1.4563,0.6266,4010.2400000000002,5870.08,9320.32,1859.8399999999997,5310.08
DIGESTIVE MALIGNANCY,1.2287,2.1115,0.8829,5650.56,7863.679999999999,13513.6,2213.119999999999,7863.04
"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS",0.9662,1.8903,0.7026,4496.64,6183.679999999999,12097.92,1687.039999999999,7601.28
DISORDERS OF PANCREAS EXCEPT MALIGNANCY,0.8602,1.6638,0.6151,3936.64,5505.28,10648.32,1568.6399999999999,6711.68
DISORDERS OF THE BILIARY TRACT,1.0844,1.6845,0.7972,5102.08,6940.16,10780.800000000001,1838.08,5678.720000000001
