ccn,discharges,total_charges,total_payments,total_medicare_payments,distinct_drgs,hospital_name,state,charge_to_payment_ratio,avg_payment_per_discharge
010001,2972,193461714.99926,42752905.9999661,36309558.0001097,91,Southeast Health Medical Center,AL,4.525112632096013,14385.230820984556
010005,787,16374595.000043001,7408886.000035,6101017.0000338,31,Marshall Medical Centers South Campus,AL,2.2101291611135125,9414.086404110547
010006,2652,148307098.00047,30459918.0000964,25358923.9999973,76,North Alabama Medical Center,AL,4.86892637071448,11485.640271529563
010007,126,1791428.0000103,1304988.0000089,1178733.9999941,7,Mizell Memorial Hospital,AL,1.37275438547947,10357.047619118253
010008,11,159035.000003,73076.0000003,58676.000000199994,1,Crenshaw Community Hospital,AL,2.176295911138364,6643.2727273
010011,1634,87152983.999969,20345810.9999099,16183132.0000722,52,St Vincent's East,AL,4.283583682181799,12451.536719651102
010012,255,18168569.999947,2962523.9999678,2596864.0000113,10,Dekalb Regional Medical Center,AL,6.132800949509431,11617.741176344314
010016,843,112450731.00012401,11799465.999931,9569318.0000063,32,Shelby Baptist Medical Center,AL,9.530154246029573,13996.994068720047
010019,997,25469740.000015,7760003.9999934,6440613.9999459,39,Helen Keller Memorial Hospital,AL,3.2821812978494167,7783.354062179939
010021,36,710942.000004,383517.0,340448.9999988,2,Dale Medical Center,AL,1.8537431196113863,10653.25
010022,63,903624.9999840001,540871.0000029,454759.0000002,1,Floyd Cherokee Medical Center,AL,1.6706848767620284,8585.2539683
010023,1553,94483134.999792,29120526.9998902,22780997.999938,65,Baptist Medical Center South,AL,3.2445544340646117,18751.14423689002
010024,1619,82171389.000249,17604726.0001287,14054853.999951601,58,Jackson Hospital & Clinic Inc,AL,4.667575570312669,10873.827053816369
010029,1539,51065252.000128,20522188.999940798,15951522.0000565,51,East Alabama Medical Center,AL,2.4882945966570778,13334.755685471604
010033,7815,1038080447.995868,235861978.9994726,166723126.0000403,226,University Of Alabama Hospital,AL,4.401219952445957,30180.675495773845
010035,1819,54349499.000104,17357172.9999569,14711367.999970801,58,Cullman Regional Medical Center,AL,3.131241418187107,9542.151181944419
010036,348,16483600.000023,3093911.9999908,2673458.0000125,16,Andalusia Health,AL,5.327753342716928,8890.551724111494
010039,9321,714239852.000382,135005936.9999261,111129802.0001406,212,Huntsville Hospital,AL,5.290432908893281,14484.061474082833
010040,1080,165110727.000827,10456929.9999958,8727183.9999485,38,Gadsden Regional Medical Center,AL,15.789598572515388,9682.342592588704
010044,18,341499.00000600005,297640.000008,273639.999996,1,Marion Regional Medical Center,AL,1.1473558661363432,16535.555556
010045,47,922700.0000080001,599583.9999972,543583.9999844,3,Fayette Medical Center,AL,1.5389003042314489,12757.106382919148
010046,1275,83369036.000113,12256334.0000605,10355671.000007499,46,Riverview Regional Medical Center,AL,6.802118480101918,9612.810980439608
010049,346,31972065.99991,3253990.0000201,2633892.0000263,15,Medical Center Enterprise,AL,9.825496083181728,9404.595375780635
010055,1961,237771011.99933898,22863772.9999379,18450677.999964,70,Flowers Hospital,AL,10.399465215123715,11659.241713379857
010056,2553,137594497.999867,31226151.9999021,25536402.9998998,85,St Vincent's Birmingham,AL,4.406386608260229,12231.160203643596
010061,211,5201642.999984,2242913.9999859,1974129.9999998,12,Highlands Medical Center,AL,2.3191450942910428,10629.924170549288
010062,25,323493.0,317537.0,299937.0,1,Wiregrass Medical Center,AL,1.0187568692782258,12701.48
010065,168,3045110.0000259,1926455.9999749,1666375.0000189,6,Russell Medical Center,AL,1.5806797560211991,11466.999999850595
010069,40,960530.999998,485505.0000018,432914.9999999,3,Medical Center Barbour,AL,1.9784162881833118,12137.625000045
010073,71,516326.0000001,851136.000006,772606.0000080001,1,Clay County Hospital,AL,0.6066316076355133,11987.830986
010078,1827,117148528.99994099,20184625.0000499,17053999.9998958,56,Northeast Alabama Regional Medical Center,AL,5.803849662783003,11047.961138505692
010079,594,15749989.9999,5870971.999953,4956588.9999393,27,Athens Limestone Hospital,AL,2.6826886587137677,9883.79124571212
010083,999,104255461.00034499,11278702.000023,9225343.0000339,42,South Baldwin Regional Medical Center,AL,9.24356907382892,11289.991992015015
010085,1323,36211254.000017,13613295.0001632,11302054.0000491,42,Decatur Morgan Hospital-Decatur Campus,AL,2.659991868212868,10289.716553411337
010086,138,3992802.9999720003,1418310.0000158001,1223906.9999751,6,Northwest Medical Center,AL,2.8151835634857822,10277.608695766667
010087,662,32685699.00005,16241855.999964,10669365.000022,33,Usa Health University Hospital,AL,2.012436201880034,24534.52567970393
010089,455,49058985.000024,5817609.9999863,4986218.9999874,17,Walker Baptist Medical Center,AL,8.432841837135786,12785.956043925935
010090,1452,59088378.999873005,16867706.0000469,14256357.0000182,51,Providence Hospital,AL,3.503047717319042,11616.877410500621
010092,3458,146314805.999973,45810810.9998501,38022437.9999539,97,Dch Regional Medical Center,AL,3.193892507173727,13247.776460338375
010097,47,233940.9999996,504359.99999,443610.9999977,2,Elmore Community Hospital,AL,0.4638373384174764,10731.063829574468
010099,43,686972.999992,349292.9999996,308093.0000005,3,D W Mcmillan Memorial Hospital,AL,1.9667528407176404,8123.093023246512
010100,1950,76094629.999963,23933907.000113398,19235955.0000382,67,Thomas Hospital,AL,3.1793651575399897,12273.798461596614
