ccn,hospital_name,state,beds,bed_size_tier,ownership_category,is_teaching,census_region,is_urban,cmi,peer_cmi_mean,cmi_gap,cmi_z_score,mcc_ratio,peer_mcc_ratio_mean,mcc_gap,avg_payment_per_discharge,payment_gap,beds,drg_diversity,cmi_gap_score,severity_score,payment_score,complexity_score,doc_gap_score,gap_tier
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,420.0,400-599,Government,True,South,True,2.0638,2.0628333333333333,0.0009666666666667,0.0030815230169367,0.7125748502994012,0.7026887347896961,0.009886115509705,14385.230820984556,-13127.65837252213,420.0,91.0,49.94864128305105,48.35231408171584,81.65721517913802,81.4873657350845,58.97,Medium
010005,MARSHALL MEDICAL CENTERS,AL,240.0,200-399,Government,False,South,False,1.545,1.7266673469387757,-0.1816673469387757,-0.8451709327734898,0.6164154103852596,0.7091120091206677,-0.0926965987354081,9414.086404110549,-4461.930660277922,240.0,31.0,64.0861822128915,65.44943312256801,60.75990058687623,54.08773035023417,62.83,Medium
010006,NORTH ALABAMA MEDICAL CENTER,AL,338.0,200-399,For-Profit,False,South,True,1.8479,1.8084778846153848,0.0394221153846152,0.1636953346715593,0.7160253287871408,0.733004691305163,-0.0169793625180222,11485.640271529564,-1962.1079305390283,338.0,76.0,47.27174442214068,52.829893753003695,54.73160339789018,74.5848233981538,53.16,Medium
010007,MIZELL MEMORIAL HOSPITAL,AL,99.0,25-99,Nonprofit,False,South,False,1.4097,1.515818125,-0.106118125,-0.2949272049495475,1.0,0.7401316099376859,0.2598683900623141,10357.047619118252,-2767.2716406231502,99.0,7.0,54.91545341582579,6.688601656280982,56.67324752826445,22.85433847485237,37.59,Low
010008,CRENSHAW COMMUNITY HOSPITAL,AL,65.0,25-99,For-Profit,False,South,False,1.0732,1.718724,-0.6455240000000002,-0.9308257526538009,0.0,0.5758501784646798,-0.5758501784646798,6643.2727273,-7937.866111252324,65.0,1.0,65.51376254423002,100.0,69.1420837148753,9.330669245910542,70.97,High
010011,ST. VINCENT'S EAST,AL,362.0,200-399,Nonprofit,True,South,True,1.8657,1.8303667785234896,0.03533322147651,0.130343530167939,0.7819198508853681,0.7249154433719711,0.0570044075133969,12451.536719651102,-3887.080664483509,362.0,52.0,47.82760783053435,40.49926541443385,59.373655645380694,69.65961828887531,50.12,Medium
010012,DEKALB REGIONAL MEDICAL CENTER,AL,134.0,100-199,For-Profit,False,South,False,1.627,1.6162340579710146,0.0107659420289853,0.0525745610690425,0.9471153846153844,0.7289705647139448,0.2181448199014395,11617.741176344314,-1003.7186671117688,134.0,10.0,49.12375731551595,13.642530016426749,52.42045739783904,30.867694970474446,37.31,Low
010016,SHELBY BAPTIST MEDICAL CENTER,AL,252.0,200-399,Nonprofit,False,South,True,2.1498,1.783802614379085,0.3659973856209149,1.7013795198255235,0.8784916201117319,0.725716822594089,0.1527747975176429,13996.994068720049,-191.17777706518245,252.0,32.0,21.643674669574608,24.537533747059516,50.46102327271783,55.558153889228265,31.67,Low
010018,CALLAHAN EYE HOSPITAL,AL,106.0,100-199,Nonprofit,True,South,True,1.3173,1.6551137931034483,-0.3378137931034484,-1.2776133949913158,0.0,0.7068098863140996,-0.7068098863140996,,,106.0,,71.2935565831886,100.0,50.0,50.0,73.52,High
010019,HELEN KELLER HOSPITAL,AL,185.0,100-199,Government,False,South,True,1.3869,1.5425122807017544,-0.1556122807017543,-0.985383154853722,0.6676557863501483,0.7850368542436631,-0.1173810678935147,7783.354062179939,-4895.733974071113,185.0,39.0,66.42305258089537,69.56351131558579,61.80601288356116,52.570489080635305,65.06,High
