variable,coefficient,odds_ratio
Nonprofit (vs. For-Profit),0.029087765643421266,1.0295149465518647
Government (vs. For-Profit),0.15605869744210563,1.1688948122118268
Other (vs. For-Profit),-0.24108370600640874,0.7857758494771305
Teaching Hospital,0.11903561182795049,1.1264100310943326
Resident-to-Bed Ratio,-0.39756690265894046,0.6719529857023097
Log(Beds),-0.7225356457785498,0.48551958812190016
Urban,0.09516367489787132,1.099838856407353
Wage Index,-0.7064282019243365,0.4934033911313729
DSH Percentage,0.5227534085019525,1.6866653407290817
DRG Diversity,0.9158139229932593,2.498808261935985
Clinical Staff per Bed,-1.1223292876074504,0.3255206795827106
RN Skill Mix,-0.14065398520203318,0.8687898738478684
Physician per Bed,0.31717025964774115,1.3732363587613698
CMS Star Rating,-0.02045696651428446,0.9797508576618779
Readmission % Worse,-0.2341613257091565,0.7912341591868666
Safety % Worse,-0.06529081729557028,0.9367949875741955
Quality Score (Composite),-0.33354558678760726,0.7163792404672982
