variable,coefficient,std_error,t_statistic,p_value
Intercept,48.83499019607844,0.18669845759577391,261.57147104992396,0.0
Nonprofit (vs. For-Profit),0.5783362469760093,0.24238850986963376,2.3859887058469136,0.01709409629933716
Government (vs. For-Profit),0.15677835675073296,0.23299374900847428,0.6728865363037303,0.501070589497
Other (vs. For-Profit),0.1704844650752784,0.20291135446256447,0.8401918440041334,0.4008668601636943
Teaching Hospital,0.9709533907466723,0.22260450439103655,4.361786808415405,1.3329047845129606e-05
Resident-to-Bed Ratio,-1.8782264636270554,0.22606862360066116,-8.308213823360326,1.4448607745788838e-16
Log(Beds),0.06779058218347075,0.3034748128480156,0.22338124718581248,0.8232537971469388
Urban,0.8748081274806455,0.21371292158959465,4.093379665458836,4.36189650856884e-05
Wage Index,-2.767677319092832,0.20306298130978975,-13.629649782746498,4.1962343107336186e-41
DSH Percentage,0.3540116829278068,0.22550581402302564,1.5698561230517094,0.11655258997483003
DRG Diversity,5.0059422899094175,0.29735840118225093,16.834709461735624,7.122666028359111e-61
Clinical Staff per Bed,-0.3550413205902274,0.20140741108002777,-1.7628016699403097,0.07803434385113409
RN Skill Mix,-0.7168143911288293,0.19687192376960458,-3.641018878688377,0.00027608622205423984
Physician per Bed,0.02706323740382203,0.19966099884516472,0.1355459381669693,0.8921892141829135
CMS Star Rating,-0.45659429537045637,0.23694814641451045,-1.9269798151182964,0.05407517937647603
Readmission % Worse,-0.8263913720432619,0.2368870448547337,-3.4885460813191793,0.0004925451228134052
Safety % Worse,-0.43552658403417366,0.20426515995388378,-2.132162842319762,0.03307334832570136
Quality Score (Composite),-1.9386370063766214,0.27774913439931004,-6.979812954482559,3.6132834560032808e-12
