Yr,Performers
1967,"University of Arizona Symphonic Marching Band & Grambling State University Marching Band, Al Hirt, Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls"
1968,Grambling State University Marching Band
1969,Florida A&M University and Miami area High School Bands
1970,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band"
1971,Southeast Missouri State Marching Band
1972,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, & U.S. Marine Corps Drill Team"
1973,University of Michigan Marching Band & Woody Herman & Andy Williams
1974,University of Texas Longhorn Band and Judy Mallett (Miss Texas 1973) on fiddle
1975,Mercer Ellington & Grambling State University Marching Bands
1976,Up with People
1977,Los Angeles Unified All-City Band with the New Mouseketeers & Audience card stunt
1978,"Tyler Apache Belles Drill Team, the Apache Band, Pete Fountain & Al Hirt"
1979,"Ken Hamilton, various Caribbean bands, including Grammacks out of Dominica"
1980,"Up with People, Grambling State University Marching Bands"
1981,"Southern University Marching Band, Helen O'Connell"
1982,Up with People
1983,Los Angeles Super Drill Team
1984,University of Florida and Florida State University Marching Bands
1985,Tops In Blue
1986,Up with People
1987,"George Burns, Mickey Rooney, Grambling State University and USC Marching Bands, Disney characters, Southern California-area high school drill teams and dancers"
1988,"Chubby Checker, The Rockettes, 88 grand pianos, and the combined San Diego State University Marching Aztecs and USC Marching Bands"
1989,"Elvis Presto, South Florida-area dancers and performers"
1990,"Pete Fountain, Doug Kershaw, Irma Thomas, Nicholls State University Marching Band, Southern University Marching Band, USL Marching Band"
1991,"New Kids on the Block (NKOTB), Disney characters, Warren Moon, 2,000 local children, audience card stunt"
1992,"Gloria Estefan, Olympic Figure skaters Brian Boitano and Dorothy Hamill, members of the 1980 US Olympic Hockey Team, and the University of Minnesota Marching Band"
1993,Michael Jackson
1994,"Clint Black, Tanya Tucker, Travis Tritt, The Judds"
1995,"Patti Labelle, Indiana Jones & Marion Ravenwood, Teddy Pendergrass, Tony Bennett, Arturo Sandoval, Miami Sound Machine"
1996,Diana Ross
1997,"The Blues Brothers (Dan Aykroyd, John Goodman and James Belushi), ZZ Top, James Brown, Catherine Crier (""news"" intro)"
1998,"Boyz II Men, Smokey Robinson, Martha Reeves, The Temptations, Queen Latifah, Grambling State University Marching Band"
1999,"Gloria Estefan, Stevie Wonder, Big Bad Voodoo Daddy, Savion Glover"
2000,"Phil Collins, Christina Aguilera, Enrique Iglesias, Toni Braxton, 80-person choir, Edward James Olmos (narrator)"
2001,"Aerosmith, NSYNC, Britney Spears, Mary J. Blige, Nelly"
2002,U2
2003,"Shania Twain, No Doubt, Sting"
2004,"Jessica Simpson, Janet Jackson, P. Diddy, Nelly, Kid Rock and Justin Timberlake"
2005,Paul McCartney
2006,The Rolling Stones
2007,"Prince, Florida A&M University Marching 100 Band"
2008,Tom Petty & the Heartbreakers
2009,Bruce Springsteen and the E Street Band
2010,The Who
2011,The Black Eyed Peas
2012,"Madonna, LMFAO, Cirque du Soleil, Nicki Minaj, M.I.A., Cee Lo Green, Andy Lewis, Avon High School Drumline, Center Grove High School Drumline, Fishers High School Drumline, Franklin Central High School Drumline, Southern University Dancing Dolls, 200 Person Choir consisting of Indianapolis locals"
2013,"Beyoncé, Destiny's Child"
2014,"Bruno Mars, Red Hot Chili Peppers"
2015,"Katy Perry, Lenny Kravitz, Missy Elliott, and Arizona State University Sun Devil Marching Band"
2016,"Coldplay, Beyoncé, Bruno Mars, Mark Ronson, Gustavo Dudamel, University of California Marching Band and Youth Orchestra L.A."
2017,Lady Gaga
2018,"Justin Timberlake, The Tennessee Kids and University of Minnesota Marching Band"
2019,"Maroon 5, Travis Scott, Big Boi, and Georgia State University Marching Band"
2020,"Shakira, Jennifer Lopez,  Bad Bunny, J Balvin, and Emme Muñiz"
2021,The Weeknd
