Date,Teams,Outcome
Feb 7 2021,Tampa Bay Buccaneers,Win
Feb 2 2020,Kansas City Chiefs,Win
Feb 3 2019,New England Patriots,Win
Feb 4 2018,Philadelphia Eagles,Win
Feb 5 2017,New England Patriots,Win
Feb 7 2016,Denver Broncos,Win
Feb 1 2015,New England Patriots,Win
Feb 2 2014,Seattle Seahawks,Win
Feb 3 2013,Baltimore Ravens,Win
Feb 5 2012,New York Giants,Win
Feb 6 2011,Green Bay Packers,Win
Feb 7 2010,New Orleans Saints,Win
Feb 1 2009,Pittsburgh Steelers,Win
Feb 3 2008,New York Giants,Win
Feb 4 2007,Indianapolis Colts,Win
Feb 5 2006,Pittsburgh Steelers,Win
Feb 6 2005,New England Patriots,Win
Feb 1 2004,New England Patriots,Win
Jan 26 2003,Tampa Bay Buccaneers,Win
Feb 3 2002,New England Patriots,Win
Jan 28 2001,Baltimore Ravens,Win
Jan 30 2000,St. Louis Rams,Win
Jan 31 1999,Denver Broncos,Win
Jan 25 1998,Denver Broncos,Win
Jan 26 1997,Green Bay Packers,Win
Jan 28 1996,Dallas Cowboys,Win
Jan 29 1995,San Francisco 49ers,Win
Jan 30 1994,Dallas Cowboys,Win
Jan 31 1993,Dallas Cowboys,Win
Jan 26 1992,Washington Redskins,Win
Jan 27 1991,New York Giants,Win
Jan 28 1990,San Francisco 49ers,Win
Jan 22 1989,San Francisco 49ers,Win
Jan 31 1988,Washington Redskins,Win
Jan 25 1987,New York Giants,Win
Jan 26 1986,Chicago Bears,Win
Jan 20 1985,San Francisco 49ers,Win
Jan 22 1984,Los Angeles Raiders,Win
Jan 30 1983,Washington Redskins,Win
Jan 24 1982,San Francisco 49ers,Win
Jan 25 1981,Oakland Raiders,Win
Jan 20 1980,Pittsburgh Steelers,Win
Jan 21 1979,Pittsburgh Steelers,Win
Jan 15 1978,Dallas Cowboys,Win
Jan 9 1977,Oakland Raiders,Win
Jan 18 1976,Pittsburgh Steelers,Win
Jan 12 1975,Pittsburgh Steelers,Win
Jan 13 1974,Miami Dolphins,Win
Jan 14 1973,Miami Dolphins,Win
Jan 16 1972,Dallas Cowboys,Win
Jan 17 1971,Baltimore Colts,Win
Jan 11 1970,Kansas City Chiefs,Win
Jan 12 1969,New York Jets,Win
Jan 14 1968,Green Bay Packers,Win
Jan 15 1967,Green Bay Packers,Win
Feb 7 2021,Kansas City Chiefs,Loss
Feb 2 2020,San Francisco 49ers,Loss
Feb 3 2019,Los Angeles Rams,Loss
Feb 4 2018,New England Patriots,Loss
Feb 5 2017,Atlanta Falcons,Loss
Feb 7 2016,Carolina Panthers,Loss
Feb 1 2015,Seattle Seahawks,Loss
Feb 2 2014,Denver Broncos,Loss
Feb 3 2013,San Francisco 49ers,Loss
Feb 5 2012,New England Patriots,Loss
Feb 6 2011,Pittsburgh Steelers,Loss
Feb 7 2010,Indianapolis Colts,Loss
Feb 1 2009,Arizona Cardinals,Loss
Feb 3 2008,New England Patriots,Loss
Feb 4 2007,Chicago Bears,Loss
Feb 5 2006,Seattle Seahawks,Loss
Feb 6 2005,Philadelphia Eagles,Loss
Feb 1 2004,Carolina Panthers,Loss
Jan 26 2003,Oakland Raiders,Loss
Feb 3 2002,St. Louis Rams,Loss
Jan 28 2001,New York Giants,Loss
Jan 30 2000,Tennessee Titans,Loss
Jan 31 1999,Atlanta Falcons,Loss
Jan 25 1998,Green Bay Packers,Loss
Jan 26 1997,New England Patriots,Loss
Jan 28 1996,Pittsburgh Steelers,Loss
Jan 29 1995,San Diego Chargers,Loss
Jan 30 1994,Buffalo Bills,Loss
Jan 31 1993,Buffalo Bills,Loss
Jan 26 1992,Buffalo Bills,Loss
Jan 27 1991,Buffalo Bills,Loss
Jan 28 1990,Denver Broncos,Loss
Jan 22 1989,Cincinnati Bengals,Loss
Jan 31 1988,Denver Broncos,Loss
Jan 25 1987,Denver Broncos,Loss
Jan 26 1986,New England Patriots,Loss
Jan 20 1985,Miami Dolphins,Loss
Jan 22 1984,Washington Redskins,Loss
Jan 30 1983,Miami Dolphins,Loss
Jan 24 1982,Cincinnati Bengals,Loss
Jan 25 1981,Philadelphia Eagles,Loss
Jan 20 1980,Los Angeles Rams,Loss
Jan 21 1979,Dallas Cowboys,Loss
Jan 15 1978,Denver Broncos,Loss
Jan 9 1977,Minnesota Vikings,Loss
Jan 18 1976,Dallas Cowboys,Loss
Jan 12 1975,Minnesota Vikings,Loss
Jan 13 1974,Minnesota Vikings,Loss
Jan 14 1973,Washington Redskins,Loss
Jan 16 1972,Miami Dolphins,Loss
Jan 17 1971,Dallas Cowboys,Loss
Jan 11 1970,Minnesota Vikings,Loss
Jan 12 1969,Baltimore Colts,Loss
Jan 14 1968,Oakland Raiders,Loss
Jan 15 1967,Kansas City Chiefs,Loss
